run,logs/wastesorting/scene_01_step50/thres_0-0,logs/wastesorting/scene_02_step50/thres_0-0,logs/wastesorting/scene_03_step50/thres_0-0,logs/wastesorting/scene_04_step50/thres_0-0,logs/wastesorting/scene_05_step50/thres_0-0
1,0,1,1,0,0
2,0,0,1,0,1
3,1,1,0,0,0
4,1,1,1,1,1
5,1,0,1,1,0
6,0,1,1,1,0
7,1,1,0,1,1
8,0,1,0,0,1
9,0,0,1,1,1
10,0,1,0,1,0
11,0,1,0,1,1
12,0,1,0,1,0
13,1,1,1,0,1
14,1,1,1,1,1
15,1,1,0,0,1
16,0,1,1,0,1
17,0,0,1,0,1
18,1,1,1,1,1
19,1,1,1,1,1
20,1,1,1,1,0
21,1,1,1,1,1
22,0,1,1,1,1
23,0,0,1,1,1
24,1,0,1,1,1
25,1,1,1,1,1
26,1,1,1,1,1
27,0,1,1,1,0
28,0,1,1,0,0
29,1,1,0,0,0
30,1,1,0,0,1
31,0,1,0,1,1
32,1,1,1,0,0
33,1,1,0,0,1
34,1,1,1,0,1
35,0,1,0,1,1
36,0,1,0,0,1
37,0,1,0,0,0
38,0,0,1,0,1
39,0,1,0,1,0
40,1,0,1,0,0
95% confidence interval,0.3431~0.6569,0.6745~0.9255,0.4731~0.7769,0.3939~0.7061,0.5003~0.7997
success rate,0.5000,0.8000,0.6250,0.5500,0.6500
