run,logs/wastesorting/scene_01_step50/thres_0-0,logs/wastesorting/scene_02_step50/thres_0-0,logs/wastesorting/scene_03_step50/thres_0-0,logs/wastesorting/scene_04_step50/thres_0-0,logs/wastesorting/scene_05_step50/thres_0-0
1,6,11,9,3,9
2,10,4,11,10,20
3,10,10,5,10,4
4,9,11,19,9,11
5,10,4,11,12,9
6,5,9,10,10,9
7,17,13,3,10,13
8,6,10,3,6,12
9,3,6,9,13,16
10,7,12,8,11,5
11,3,9,7,12,10
12,11,14,3,18,3
13,11,12,12,17,10
14,13,13,9,10,14
15,14,15,7,4,19
16,5,12,13,11,16
17,5,5,11,3,12
18,15,15,9,11,12
19,17,11,14,14,15
20,13,14,9,11,6
21,16,9,12,13,11
22,4,10,9,11,13
23,4,7,14,11,12
24,10,3,10,14,11
25,10,12,18,15,12
26,14,12,12,13,14
27,5,11,13,11,4
28,5,11,13,8,8
29,11,14,4,5,9
30,12,11,6,11,10
31,3,9,8,12,14
32,11,9,13,8,3
33,10,9,3,3,11
34,10,11,17,5,10
35,7,13,5,10,13
36,6,9,5,11,17
37,9,14,3,7,3
38,5,6,9,3,12
39,8,10,3,9,5
40,10,4,10,6,8
95% confidence interval,7.7664~10.2336,9.1105~11.0895,7.9055~10.5445,8.6123~10.9377,9.3014~11.9486
average step,9.0000,10.1000,9.2250,9.7750,10.6250
