folder,action_schema,action_count,question_count,expected_questions_per_action
logs/wastesorting/scene_01_step50/thres_0-0,detect_waste,99,0,0.0000
logs/wastesorting/scene_01_step50/thres_0-0,pick,129,0,0.0000
logs/wastesorting/scene_01_step50/thres_0-0,place_can_bin,32,0,0.0000
logs/wastesorting/scene_01_step50/thres_0-0,place_gw_bin,35,0,0.0000
logs/wastesorting/scene_01_step50/thres_0-0,place_paper_bin,38,0,0.0000
logs/wastesorting/scene_01_step50/thres_0-0,place_plastic_bin,27,0,0.0000
logs/wastesorting/scene_01_step50/thres_0-0,ALL,360,0,0.0000
logs/wastesorting/scene_02_step50/thres_0-0,detect_waste,104,0,0.0000
logs/wastesorting/scene_02_step50/thres_0-0,pick,146,0,0.0000
logs/wastesorting/scene_02_step50/thres_0-0,place_can_bin,69,0,0.0000
logs/wastesorting/scene_02_step50/thres_0-0,place_gw_bin,41,0,0.0000
logs/wastesorting/scene_02_step50/thres_0-0,place_paper_bin,42,0,0.0000
logs/wastesorting/scene_02_step50/thres_0-0,place_plastic_bin,2,0,0.0000
logs/wastesorting/scene_02_step50/thres_0-0,ALL,404,0,0.0000
logs/wastesorting/scene_03_step50/thres_0-0,detect_waste,96,0,0.0000
logs/wastesorting/scene_03_step50/thres_0-0,pick,131,0,0.0000
logs/wastesorting/scene_03_step50/thres_0-0,place_can_bin,3,0,0.0000
logs/wastesorting/scene_03_step50/thres_0-0,place_gw_bin,34,0,0.0000
logs/wastesorting/scene_03_step50/thres_0-0,place_paper_bin,36,0,0.0000
logs/wastesorting/scene_03_step50/thres_0-0,place_plastic_bin,69,0,0.0000
logs/wastesorting/scene_03_step50/thres_0-0,ALL,369,0,0.0000
logs/wastesorting/scene_04_step50/thres_0-0,detect_waste,106,0,0.0000
logs/wastesorting/scene_04_step50/thres_0-0,pick,142,0,0.0000
logs/wastesorting/scene_04_step50/thres_0-0,place_can_bin,34,0,0.0000
logs/wastesorting/scene_04_step50/thres_0-0,place_gw_bin,34,0,0.0000
logs/wastesorting/scene_04_step50/thres_0-0,place_paper_bin,68,0,0.0000
logs/wastesorting/scene_04_step50/thres_0-0,place_plastic_bin,7,0,0.0000
logs/wastesorting/scene_04_step50/thres_0-0,ALL,391,0,0.0000
logs/wastesorting/scene_05_step50/thres_0-0,detect_waste,137,0,0.0000
logs/wastesorting/scene_05_step50/thres_0-0,pick,148,0,0.0000
logs/wastesorting/scene_05_step50/thres_0-0,place_can_bin,62,0,0.0000
logs/wastesorting/scene_05_step50/thres_0-0,place_gw_bin,5,0,0.0000
logs/wastesorting/scene_05_step50/thres_0-0,place_paper_bin,69,0,0.0000
logs/wastesorting/scene_05_step50/thres_0-0,place_plastic_bin,4,0,0.0000
logs/wastesorting/scene_05_step50/thres_0-0,ALL,425,0,0.0000
TOTAL,detect_waste,542,0,0.0000
TOTAL,pick,696,0,0.0000
TOTAL,place_can_bin,200,0,0.0000
TOTAL,place_gw_bin,149,0,0.0000
TOTAL,place_paper_bin,253,0,0.0000
TOTAL,place_plastic_bin,109,0,0.0000
TOTAL,ALL,1949,0,0.0000
