domain,condition,order,metric,metric_label,n_attempted,n_valid,n_execution_errors,n_missing_metric,success_only,numerator,value,sd,lower,upper,error_minus,error_plus,error_type,source_csv
tomato,0.3,4,steps,Physical/planning steps,50,50,0,0,0,806.0,16.12,8.65822718338943,14.895541769114327,17.344458230885675,1.2244582308856735,1.2244582308856735,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.3,4,seconds,Logged episode time (s),50,50,0,0,0,90.53049999999998,1.81061,1.7806206052087226,1.5587922190672836,2.0624277809327163,0.25181778093271645,0.25181778093271623,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.3,4,questions_success_only,Questions (successful episodes),50,47,0,0,1,483.0,10.27659574468085,1.8962448894726291,10.0,10.553191489361701,0.2765957446808507,0.2765957446808507,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.3,4,steps_success_only,Steps (successful episodes),50,47,0,0,1,656.0,13.957446808510639,0.46426411188828615,13.889726927777277,14.025166689244001,0.0677198807333621,0.0677198807333621,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.3,4,reward,Cumulative reward,50,50,0,0,0,310.0,6.2,42.505221768048926,0.18885389039491063,12.211146109605089,6.0111461096050895,6.011146109605089,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.4,5,success,Task success (%),50,50,0,0,0,50.0,100.0,0.0,92.86524008666413,100,7.13475991333587,0,95% Wilson CI,01_processed/episodes.csv
tomato,0.4,5,questions,Questions per episode,50,50,0,0,0,527.0,10.54,1.5146899729930592,10.325790489740267,10.75420951025973,0.21420951025973167,0.21420951025973167,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.4,5,steps,Physical/planning steps,50,50,0,0,0,769.0,15.38,4.261311477726555,14.777359551470298,15.982640448529704,0.6026404485297032,0.6026404485297032,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.4,5,seconds,Logged episode time (s),50,50,0,0,0,97.3039,1.946078,0.9866815482562687,1.80654015727127,2.0856158427287297,0.13953784272872993,0.1395378427287297,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.4,5,questions_success_only,Questions (successful episodes),50,50,0,0,1,527.0,10.54,1.5146899729930592,10.325790489740267,10.75420951025973,0.21420951025973167,0.21420951025973167,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.4,5,steps_success_only,Steps (successful episodes),50,50,0,0,1,769.0,15.38,4.261311477726555,14.777359551470298,15.982640448529704,0.6026404485297032,0.6026404485297032,mean +/- 1 SE,01_processed/episodes.csv
tomato,0.4,5,reward,Cumulative reward,50,50,0,0,0,460.0,9.2,19.466349825023798,6.447042406755221,11.952957593244777,2.752957593244778,2.752957593244778,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,0.0,0,success,Task success (%),50,50,0,0,0,50.0,100.0,0.0,92.86524008666413,100,7.13475991333587,0,95% Wilson CI,01_processed/episodes.csv
wastesorting,0.0,0,questions,Questions per episode,50,50,0,0,0,1166.0,23.32,1.9319018862145105,23.046787815134127,23.593212184865873,0.27321218486587284,0.27321218486587284,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,0.0,0,steps,Physical/planning steps,50,50,0,0,0,805.0,16.1,0.3030457633656632,16.057142857142857,16.142857142857146,0.04285714285714448,0.04285714285714448,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,0.0,0,seconds,Logged episode time (s),50,50,0,0,0,35.600899999999996,0.712018,0.07452388109231312,0.7014787316638571,0.722557268336143,0.010539268336142937,0.010539268336142937,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,0.0,0,questions_success_only,Questions (successful episodes),50,50,0,0,1,1166.0,23.32,1.9319018862145105,23.046787815134127,23.593212184865873,0.27321218486587284,0.27321218486587284,mean +/- 1 SE,01_processed/episodes.csv
