run,logs/tomato/scene_01_step50/thres_0-0,logs/tomato/scene_02_step50/thres_0-0,logs/tomato/scene_03_step50/thres_0-0,logs/tomato/scene_04_step50/thres_0-0,logs/tomato/scene_05_step50/thres_0-0
1,,2.3767,7.4667,6.3794,3.2243
2,,4.7062,5.7455,2.3928,8.7355
3,,6.2755,2.3508,7.3273,3.6331
4,,9.6864,3.866,2.276,4.8101
5,,2.2586,3.318,5.5923,8.4946
6,,5.051,2.3006,4.8365,5.264
7,,2.8203,6.1878,5.7217,3.0155
8,,8.0781,3.1309,5.7619,4.4622
9,,5.479,4.7648,2.4274,4.8514
10,,3.0495,6.1097,8.5728,7.9916
11,,4.5147,2.3982,2.4734,5.6021
12,,7.5521,2.3579,9.6937,2.2803
13,,3.0998,3.7353,5.4798,4.8173
14,,4.7846,7.1431,2.4397,5.6729
15,,4.8527,3.0914,2.2989,4.578
16,,2.3347,8.1916,3.772,3.8268
17,,5.3528,6.5698,5.0284,9.1583
18,,4.6576,2.2392,6.2427,4.5447
19,,4.8657,3.159,2.9221,4.8402
20,,2.212,3.0448,5.7462,2.5405
21,,4.8958,2.8795,6.6596,2.325
22,,4.8317,2.3699,2.4536,2.2329
23,,2.322,2.306,3.7363,5.6239
24,,2.243,5.0048,2.3778,4.9251
25,,3.0855,5.5446,2.2558,3.1946
26,,2.2761,2.3002,2.2122,3.0074
27,,3.7386,4.7273,2.2724,4.6908
28,,11.0489,10.6387,2.426,2.295
29,,2.3504,5.4999,6.7376,3.6818
30,,2.2507,4.8188,3.9182,5.3519
31,,3.0841,3.7388,4.7277,3.7636
32,,2.1981,4.0379,2.4167,7.4532
33,,4.9319,3.785,10.6021,5.5894
34,,2.4872,4.8627,2.4841,6.6226
35,,7.7973,5.7361,9.1184,6.2278
36,,5.7899,2.3481,6.8159,
37,,14.9364,2.4186,,
38,,2.2727,2.3643,,
39,,,4.9211,,
95% confidence interval,,3.7585~5.5335,3.6779~4.9104,3.8923~5.4743,4.2138~5.4622
average elapsed time,,4.6460,4.2942,4.6833,4.8380
