run,logs/tomato/scene_01_step50/thres_0-0,logs/tomato/scene_02_step50/thres_0-0,logs/tomato/scene_03_step50/thres_0-0,logs/tomato/scene_04_step50/thres_0-0,logs/tomato/scene_05_step50/thres_0-0
1,,3,9,8,4
2,,6,7,3,11
3,,8,3,9,5
4,,12,5,3,6
5,,3,4,7,10
6,,6,3,6,7
7,,4,8,7,4
8,,10,4,7,6
9,,7,6,3,6
10,,4,8,10,10
11,,6,3,3,7
12,,9,3,12,3
13,,4,5,7,6
14,,6,9,3,7
15,,6,4,3,6
16,,3,10,5,5
17,,7,8,6,12
18,,6,3,8,6
19,,6,4,4,6
20,,3,4,8,3
21,,6,4,8,3
22,,6,3,3,3
23,,3,3,5,7
24,,3,6,3,6
25,,4,7,3,4
26,,3,3,3,4
27,,5,6,3,6
28,,14,13,3,3
29,,3,7,8,5
30,,3,6,5,7
31,,4,5,6,5
32,,3,5,3,9
33,,6,5,12,7
34,,3,6,3,8
35,,9,8,11,8
36,,7,3,8,
37,,19,3,,
38,,3,3,,
39,,,6,,
95% confidence interval,,4.7740~6.9628,4.6849~6.1869,4.8789~6.7322,5.3800~6.9057
average step,,5.8684,5.4359,5.8056,6.1429
