run,logs/tomato/scene_01_step50/thres_0-0,logs/tomato/scene_02_step50/thres_0-0,logs/tomato/scene_03_step50/thres_0-0,logs/tomato/scene_04_step50/thres_0-0,logs/tomato/scene_05_step50/thres_0-0
1,,0.0,5.0,5.0,0.0
2,,5.0,5.0,0.0,0.0
3,,5.0,0.0,10.0,0.0
4,,0.0,0.0,0.0,5.0
5,,0.0,0.0,0.0,0.0
6,,0.0,0.0,0.0,0.0
7,,0.0,0.0,5.0,0.0
8,,5.0,0.0,0.0,0.0
9,,0.0,0.0,0.0,5.0
10,,0.0,0.0,0.0,0.0
11,,0.0,0.0,0.0,5.0
12,,0.0,0.0,5.0,0.0
13,,0.0,0.0,0.0,0.0
14,,5.0,5.0,0.0,0.0
15,,5.0,0.0,0.0,5.0
16,,0.0,5.0,0.0,0.0
17,,0.0,0.0,5.0,0.0
18,,0.0,0.0,5.0,0.0
19,,0.0,0.0,0.0,5.0
20,,0.0,0.0,0.0,0.0
21,,0.0,0.0,5.0,0.0
22,,0.0,0.0,0.0,0.0
23,,0.0,0.0,0.0,0.0
24,,0.0,0.0,0.0,0.0
25,,0.0,5.0,0.0,0.0
26,,0.0,0.0,0.0,0.0
27,,0.0,0.0,0.0,0.0
28,,5.0,0.0,0.0,0.0
29,,0.0,0.0,5.0,0.0
30,,0.0,5.0,0.0,0.0
31,,0.0,0.0,0.0,0.0
32,,0.0,0.0,0.0,0.0
33,,0.0,0.0,0.0,0.0
34,,0.0,0.0,0.0,0.0
35,,0.0,0.0,0.0,0.0
36,,0.0,0.0,5.0,
37,,5.0,0.0,,
38,,0.0,0.0,,
39,,,0.0,,
95% confidence interval,,0.2965~1.5456,0.1956~1.3428,0.5505~2.2273,0.1262~1.3024
average reward,,0.9211,0.7692,1.3889,0.7143
