run,logs/tomato/scene_01_step50/thres_0-6,logs/tomato/scene_02_step50/thres_0-6,logs/tomato/scene_03_step50/thres_0-6,logs/tomato/scene_04_step50/thres_0-6,logs/tomato/scene_05_step50/thres_0-6
1,50,50,22,21,50
2,50,50,24,50,50
3,50,15,50,50,14
4,50,15,50,50,50
5,16,50,19,50,50
6,14,50,50,18,50
7,50,15,15,20,30
8,50,50,50,50,50
9,50,24,50,50,50
10,50,17,50,50,50
11,50,50,50,21,50
12,50,50,50,50,50
13,50,50,50,50,50
14,50,50,50,50,50
15,50,24,50,50,13
16,50,24,27,50,50
17,18,50,50,18,50
18,50,50,50,50,50
19,12,50,50,50,17
20,50,15,21,50,15
21,13,50,8,50,18
22,50,16,50,50,50
23,50,19,50,50,18
24,50,50,50,50,50
25,12,50,50,15,50
26,50,50,50,50,17
27,21,50,50,50,14
28,50,14,50,50,50
29,26,50,15,50,14
30,50,13,6,50,50
31,50,50,50,50,50
32,50,21,50,50,50
33,50,19,14,16,50
34,50,21,50,50,50
35,50,50,50,50,50
36,50,14,50,10,50
37,11,11,50,20,13
38,50,50,50,19,50
39,50,50,50,50,14
40,50,50,5,50,21
95% confidence interval,37.8000~46.8500,31.0626~41.2874,35.7462~45.5538,37.5449~46.3551,34.2504~44.1496
average step,42.3250,36.1750,40.6500,41.9500,39.2000
