run,logs/tomato/scene_01_step50/thres_0-6,logs/tomato/scene_02_step50/thres_0-6,logs/tomato/scene_03_step50/thres_0-6,logs/tomato/scene_04_step50/thres_0-6,logs/tomato/scene_05_step50/thres_0-6
1,9,11,12,22,13
2,16,9,8,9,19
3,12,10,20,9,7
4,16,9,13,10,8
5,12,16,11,6,12
6,11,9,30,14,17
7,11,10,15,15,16
8,19,10,12,15,13
9,13,13,14,10,10
10,15,11,10,12,13
11,16,16,11,21,14
12,17,12,8,10,25
13,13,10,5,15,12
14,13,7,14,12,9
15,12,14,9,9,7
16,16,15,29,10,5
17,9,14,15,22,19
18,11,18,14,7,18
19,5,16,10,27,7
20,7,11,8,20,8
21,10,13,0,17,12
22,9,7,13,11,10
23,9,13,20,14,13
24,13,8,12,16,12
25,5,14,20,11,8
26,27,15,10,14,12
27,7,21,14,22,11
28,16,13,20,12,15
29,10,11,7,19,14
30,14,8,2,19,12
31,12,14,10,12,7
32,18,21,9,5,12
33,14,8,8,8,9
34,15,10,19,13,7
35,10,21,32,16,15
36,34,4,17,3,5
37,4,3,2,13,7
38,30,9,10,13,12
39,13,16,10,10,10
40,13,9,4,19,14
95% confidence interval,11.5172~15.2828,10.6687~13.2813,10.4832~14.8668,11.9223~15.1777,10.4102~13.0398
average question,13.4000,11.9750,12.6750,13.5500,11.7250
