run,logs/tomato/scene_01_step50/thres_0-6,logs/tomato/scene_02_step50/thres_0-6,logs/tomato/scene_03_step50/thres_0-6,logs/tomato/scene_04_step50/thres_0-6,logs/tomato/scene_05_step50/thres_0-6
1,0,0,1,1,0
2,0,0,1,0,0
3,0,1,0,0,1
4,0,1,0,0,0
5,1,0,1,0,0
6,1,0,0,1,0
7,0,1,1,1,1
8,0,0,0,0,0
9,0,1,0,0,0
10,0,1,0,0,0
11,0,0,0,1,0
12,0,0,0,0,0
13,0,0,0,0,0
14,0,0,0,0,0
15,0,1,0,0,1
16,0,1,1,0,0
17,1,0,0,1,0
18,0,0,0,0,0
19,1,0,0,0,1
20,0,1,1,0,1
21,1,0,0,0,1
22,0,1,0,0,0
23,0,1,0,0,1
24,0,0,0,0,0
25,1,0,0,1,0
26,0,0,0,0,1
27,1,0,0,0,1
28,0,1,0,0,0
29,1,0,1,0,1
30,0,1,0,0,0
31,0,0,0,0,0
32,0,1,0,0,0
33,0,1,1,1,0
34,0,1,0,0,0
35,0,0,0,0,0
36,0,1,0,0,0
37,1,1,0,1,1
38,0,0,0,1,0
39,0,0,0,0,1
40,0,0,0,0,1
95% confidence interval,0.0939~0.3561,0.2698~0.5802,0.0745~0.3255,0.0939~0.3561,0.1780~0.4720
success rate,0.2250,0.4250,0.2000,0.2250,0.3250
