global_index,domain,scene,answer_type,noisy_oracle_accuracy,noisy_oracle_error_rate,threshold,seed_mode,max_step,runner
1,wastesorting,01,noisy-oracle,0.5,0.5,0.8,random,50,ours
2,wastesorting,01,noisy-oracle,0.5,0.5,0.8,random,50,ours
3,wastesorting,01,noisy-oracle,0.5,0.5,0.8,random,50,ours
4,wastesorting,01,noisy-oracle,0.5,0.5,0.8,random,50,ours
5,wastesorting,01,noisy-oracle,0.5,0.5,0.8,random,50,ours
6,wastesorting,01,noisy-oracle,0.5,0.5,0.8,random,50,ours
7,wastesorting,01,noisy-oracle,0.5,0.5,0.8,random,50,ours
8,wastesorting,01,noisy-oracle,0.5,0.5,0.8,random,50,ours
9,wastesorting,01,noisy-oracle,0.5,0.5,0.8,random,50,ours
10,wastesorting,01,noisy-oracle,0.5,0.5,0.8,random,50,ours
11,wastesorting,01,noisy-oracle,0.5,0.5,0.8,random,50,ours
12,wastesorting,01,noisy-oracle,0.5,0.5,0.8,random,50,ours
13,wastesorting,01,noisy-oracle,0.5,0.5,0.8,random,50,ours
14,wastesorting,01,noisy-oracle,0.5,0.5,0.8,random,50,ours
15,wastesorting,01,noisy-oracle,0.5,0.5,0.8,random,50,ours
16,wastesorting,01,noisy-oracle,0.5,0.5,0.8,random,50,ours
17,wastesorting,01,noisy-oracle,0.5,0.5,0.8,random,50,ours
18,wastesorting,01,noisy-oracle,0.5,0.5,0.8,random,50,ours
19,wastesorting,01,noisy-oracle,0.5,0.5,0.8,random,50,ours
20,wastesorting,01,noisy-oracle,0.5,0.5,0.8,random,50,ours
21,wastesorting,01,noisy-oracle,0.5,0.5,0.8,random,50,ours
22,wastesorting,01,noisy-oracle,0.5,0.5,0.8,random,50,ours
23,wastesorting,01,noisy-oracle,0.5,0.5,0.8,random,50,ours
24,wastesorting,01,noisy-oracle,0.5,0.5,0.8,random,50,ours
25,wastesorting,01,noisy-oracle,0.5,0.5,0.8,random,50,ours
26,wastesorting,01,noisy-oracle,0.5,0.5,0.8,random,50,ours
27,wastesorting,01,noisy-oracle,0.5,0.5,0.8,random,50,ours
28,wastesorting,01,noisy-oracle,0.5,0.5,0.8,random,50,ours
29,wastesorting,01,noisy-oracle,0.5,0.5,0.8,random,50,ours
30,wastesorting,01,noisy-oracle,0.5,0.5,0.8,random,50,ours
31,wastesorting,01,noisy-oracle,0.5,0.5,0.8,random,50,ours
32,wastesorting,01,noisy-oracle,0.5,0.5,0.8,random,50,ours
33,wastesorting,01,noisy-oracle,0.5,0.5,0.8,random,50,ours
34,wastesorting,01,noisy-oracle,0.5,0.5,0.8,random,50,ours
35,wastesorting,01,noisy-oracle,0.5,0.5,0.8,random,50,ours
36,wastesorting,01,noisy-oracle,0.5,0.5,0.8,random,50,ours
37,wastesorting,01,noisy-oracle,0.5,0.5,0.8,random,50,ours
38,wastesorting,01,noisy-oracle,0.5,0.5,0.8,random,50,ours
39,wastesorting,01,noisy-oracle,0.5,0.5,0.8,random,50,ours
40,wastesorting,01,noisy-oracle,0.5,0.5,0.8,random,50,ours
41,wastesorting,01,noisy-oracle,0.7,0.3,0.8,random,50,ours
42,wastesorting,01,noisy-oracle,0.7,0.3,0.8,random,50,ours
43,wastesorting,01,noisy-oracle,0.7,0.3,0.8,random,50,ours
44,wastesorting,01,noisy-oracle,0.7,0.3,0.8,random,50,ours
45,wastesorting,01,noisy-oracle,0.7,0.3,0.8,random,50,ours
46,wastesorting,01,noisy-oracle,0.7,0.3,0.8,random,50,ours
47,wastesorting,01,noisy-oracle,0.7,0.3,0.8,random,50,ours
48,wastesorting,01,noisy-oracle,0.7,0.3,0.8,random,50,ours
49,wastesorting,01,noisy-oracle,0.7,0.3,0.8,random,50,ours
50,wastesorting,01,noisy-oracle,0.7,0.3,0.8,random,50,ours
51,wastesorting,01,noisy-oracle,0.7,0.3,0.8,random,50,ours
52,wastesorting,01,noisy-oracle,0.7,0.3,0.8,random,50,ours
53,wastesorting,01,noisy-oracle,0.7,0.3,0.8,random,50,ours
54,wastesorting,01,noisy-oracle,0.7,0.3,0.8,random,50,ours
55,wastesorting,01,noisy-oracle,0.7,0.3,0.8,random,50,ours
56,wastesorting,01,noisy-oracle,0.7,0.3,0.8,random,50,ours
57,wastesorting,01,noisy-oracle,0.7,0.3,0.8,random,50,ours
58,wastesorting,01,noisy-oracle,0.7,0.3,0.8,random,50,ours
59,wastesorting,01,noisy-oracle,0.7,0.3,0.8,random,50,ours
60,wastesorting,01,noisy-oracle,0.7,0.3,0.8,random,50,ours
61,wastesorting,01,noisy-oracle,0.7,0.3,0.8,random,50,ours
62,wastesorting,01,noisy-oracle,0.7,0.3,0.8,random,50,ours
63,wastesorting,01,noisy-oracle,0.7,0.3,0.8,random,50,ours
64,wastesorting,01,noisy-oracle,0.7,0.3,0.8,random,50,ours
65,wastesorting,01,noisy-oracle,0.7,0.3,0.8,random,50,ours
66,wastesorting,01,noisy-oracle,0.7,0.3,0.8,random,50,ours
67,wastesorting,01,noisy-oracle,0.7,0.3,0.8,random,50,ours
68,wastesorting,01,noisy-oracle,0.7,0.3,0.8,random,50,ours
69,wastesorting,01,noisy-oracle,0.7,0.3,0.8,random,50,ours
70,wastesorting,01,noisy-oracle,0.7,0.3,0.8,random,50,ours
71,wastesorting,01,noisy-oracle,0.7,0.3,0.8,random,50,ours
72,wastesorting,01,noisy-oracle,0.7,0.3,0.8,random,50,ours
73,wastesorting,01,noisy-oracle,0.7,0.3,0.8,random,50,ours
74,wastesorting,01,noisy-oracle,0.7,0.3,0.8,random,50,ours
75,wastesorting,01,noisy-oracle,0.7,0.3,0.8,random,50,ours
76,wastesorting,01,noisy-oracle,0.7,0.3,0.8,random,50,ours
77,wastesorting,01,noisy-oracle,0.7,0.3,0.8,random,50,ours
78,wastesorting,01,noisy-oracle,0.7,0.3,0.8,random,50,ours
79,wastesorting,01,noisy-oracle,0.7,0.3,0.8,random,50,ours
80,wastesorting,01,noisy-oracle,0.7,0.3,0.8,random,50,ours
81,wastesorting,01,noisy-oracle,0.9,0.1,0.8,random,50,ours
82,wastesorting,01,noisy-oracle,0.9,0.1,0.8,random,50,ours
83,wastesorting,01,noisy-oracle,0.9,0.1,0.8,random,50,ours
84,wastesorting,01,noisy-oracle,0.9,0.1,0.8,random,50,ours
85,wastesorting,01,noisy-oracle,0.9,0.1,0.8,random,50,ours
86,wastesorting,01,noisy-oracle,0.9,0.1,0.8,random,50,ours
87,wastesorting,01,noisy-oracle,0.9,0.1,0.8,random,50,ours
88,wastesorting,01,noisy-oracle,0.9,0.1,0.8,random,50,ours
89,wastesorting,01,noisy-oracle,0.9,0.1,0.8,random,50,ours
90,wastesorting,01,noisy-oracle,0.9,0.1,0.8,random,50,ours
91,wastesorting,01,noisy-oracle,0.9,0.1,0.8,random,50,ours
92,wastesorting,01,noisy-oracle,0.9,0.1,0.8,random,50,ours
93,wastesorting,01,noisy-oracle,0.9,0.1,0.8,random,50,ours
94,wastesorting,01,noisy-oracle,0.9,0.1,0.8,random,50,ours
95,wastesorting,01,noisy-oracle,0.9,0.1,0.8,random,50,ours
96,wastesorting,01,noisy-oracle,0.9,0.1,0.8,random,50,ours
97,wastesorting,01,noisy-oracle,0.9,0.1,0.8,random,50,ours
98,wastesorting,01,noisy-oracle,0.9,0.1,0.8,random,50,ours
99,wastesorting,01,noisy-oracle,0.9,0.1,0.8,random,50,ours
100,wastesorting,01,noisy-oracle,0.9,0.1,0.8,random,50,ours
101,wastesorting,01,noisy-oracle,0.9,0.1,0.8,random,50,ours
102,wastesorting,01,noisy-oracle,0.9,0.1,0.8,random,50,ours
103,wastesorting,01,noisy-oracle,0.9,0.1,0.8,random,50,ours
104,wastesorting,01,noisy-oracle,0.9,0.1,0.8,random,50,ours
105,wastesorting,01,noisy-oracle,0.9,0.1,0.8,random,50,ours
106,wastesorting,01,noisy-oracle,0.9,0.1,0.8,random,50,ours
107,wastesorting,01,noisy-oracle,0.9,0.1,0.8,random,50,ours
108,wastesorting,01,noisy-oracle,0.9,0.1,0.8,random,50,ours
109,wastesorting,01,noisy-oracle,0.9,0.1,0.8,random,50,ours
110,wastesorting,01,noisy-oracle,0.9,0.1,0.8,random,50,ours
111,wastesorting,01,noisy-oracle,0.9,0.1,0.8,random,50,ours
112,wastesorting,01,noisy-oracle,0.9,0.1,0.8,random,50,ours
113,wastesorting,01,noisy-oracle,0.9,0.1,0.8,random,50,ours
114,wastesorting,01,noisy-oracle,0.9,0.1,0.8,random,50,ours
115,wastesorting,01,noisy-oracle,0.9,0.1,0.8,random,50,ours
116,wastesorting,01,noisy-oracle,0.9,0.1,0.8,random,50,ours
117,wastesorting,01,noisy-oracle,0.9,0.1,0.8,random,50,ours
118,wastesorting,01,noisy-oracle,0.9,0.1,0.8,random,50,ours
119,wastesorting,01,noisy-oracle,0.9,0.1,0.8,random,50,ours
120,wastesorting,01,noisy-oracle,0.9,0.1,0.8,random,50,ours
121,wastesorting,01,human-proxy,0.0,0.0,0.8,random,50,ours
122,wastesorting,01,human-proxy,0.0,0.0,0.8,random,50,ours
123,wastesorting,01,human-proxy,0.0,0.0,0.8,random,50,ours
