domain,metric,test,comparison,condition_a,condition_b,n_complete_subjects,n_nonzero_pairs,W,p_raw,p_bonferroni,significant_p_lt_05,stars,rank_biserial,mean_difference_a_minus_b,median_difference_a_minus_b,n_conditions,conditions_included,mcnemar_b_over_c
Waste,SAGAT2,Wilcoxon signed-rank exact,C3 vs C5,C3,C5,12,9,13.5,0.398438,1,no,,0.4,0.222222,0.5,5,"C1,C2,C3,C4,C5",
Waste,SAGAT2,Wilcoxon signed-rank exact,C4 vs C5,C4,C5,12,7,2,0.0625,0.625,no,,-0.857143,-0.642857,-1,5,"C1,C2,C3,C4,C5",
Waste,SAGAT3,Wilcoxon signed-rank exact,C1 vs C2,C1,C2,12,9,0,0.00390625,0.0390625,yes,*,-1,-0.555556,-0.5,5,"C1,C2,C3,C4,C5",
Waste,SAGAT3,Wilcoxon signed-rank exact,C1 vs C3,C1,C3,12,7,0,0.015625,0.15625,no,,-1,-0.642857,-0.5,5,"C1,C2,C3,C4,C5",
Waste,SAGAT3,Wilcoxon signed-rank exact,C1 vs C4,C1,C4,12,7,3.5,0.109375,1,no,,-0.75,-0.428571,-0.5,5,"C1,C2,C3,C4,C5",
Waste,SAGAT3,Wilcoxon signed-rank exact,C1 vs C5,C1,C5,12,9,10,0.179688,1,no,,-0.555556,-0.277778,-0.5,5,"C1,C2,C3,C4,C5",
Waste,SAGAT3,Wilcoxon signed-rank exact,C2 vs C3,C2,C3,12,7,12,1,1,no,,0.142857,0.0714286,0.5,5,"C1,C2,C3,C4,C5",
Waste,SAGAT3,Wilcoxon signed-rank exact,C2 vs C4,C2,C4,12,6,5.5,0.40625,1,no,,0.47619,0.333333,0.5,5,"C1,C2,C3,C4,C5",
Waste,SAGAT3,Wilcoxon signed-rank exact,C2 vs C5,C2,C5,12,8,9,0.226562,1,no,,0.5,0.3125,0.5,5,"C1,C2,C3,C4,C5",
Waste,SAGAT3,Wilcoxon signed-rank exact,C3 vs C4,C3,C4,12,10,20,0.589844,1,no,,0.272727,0.15,0.5,5,"C1,C2,C3,C4,C5",
Waste,SAGAT3,Wilcoxon signed-rank exact,C3 vs C5,C3,C5,12,9,14,0.304688,1,no,,0.377778,0.222222,0.5,5,"C1,C2,C3,C4,C5",
Waste,SAGAT3,Wilcoxon signed-rank exact,C4 vs C5,C4,C5,12,7,12,1,1,no,,0.142857,0.0714286,0.5,5,"C1,C2,C3,C4,C5",
Waste,Fatigue,Wilcoxon signed-rank exact,C1 vs C2,C1,C2,12,9,16,0.484375,1,no,,0.288889,0.111111,1,5,"C1,C2,C3,C4,C5",
Waste,Fatigue,Wilcoxon signed-rank exact,C1 vs C3,C1,C3,12,7,6,0.25,1,no,,-0.571429,-0.714286,-1,5,"C1,C2,C3,C4,C5",
Waste,Fatigue,Wilcoxon signed-rank exact,C1 vs C4,C1,C4,12,4,4,1,1,no,,-0.2,-0.25,0,5,"C1,C2,C3,C4,C5",
Waste,Fatigue,Wilcoxon signed-rank exact,C1 vs C5,C1,C5,12,7,5.5,0.171875,1,no,,-0.607143,-1,-1,5,"C1,C2,C3,C4,C5",
Waste,Fatigue,Wilcoxon signed-rank exact,C2 vs C3,C2,C3,12,11,22,0.345703,1,no,,-0.333333,-0.545455,-1,5,"C1,C2,C3,C4,C5",
Waste,Fatigue,Wilcoxon signed-rank exact,C2 vs C4,C2,C4,12,7,10,0.59375,1,no,,-0.285714,-0.285714,-1,5,"C1,C2,C3,C4,C5",
Waste,Fatigue,Wilcoxon signed-rank exact,C2 vs C5,C2,C5,12,11,19,0.216797,1,no,,-0.424242,-0.727273,-1,5,"C1,C2,C3,C4,C5",
Waste,Fatigue,Wilcoxon signed-rank exact,C3 vs C4,C3,C4,12,7,7,0.359375,1,no,,0.5,0.571429,1,5,"C1,C2,C3,C4,C5",
Waste,Fatigue,Wilcoxon signed-rank exact,C3 vs C5,C3,C5,12,5,5,0.75,1,no,,-0.333333,-0.4,-1,5,"C1,C2,C3,C4,C5",
Waste,Fatigue,Wilcoxon signed-rank exact,C4 vs C5,C4,C5,12,8,7,0.171875,1,no,,-0.611111,-0.75,-1,5,"C1,C2,C3,C4,C5",
Waste,NASA-RTLX,Wilcoxon signed-rank exact,C1 vs C2,C1,C2,12,7,3,0.078125,0.78125,no,,0.785714,0.690474,0.5,5,"C1,C2,C3,C4,C5",
Waste,NASA-RTLX,Wilcoxon signed-rank exact,C1 vs C3,C1,C3,12,10,19,0.414062,1,no,,-0.309091,-0.25,-0.25,5,"C1,C2,C3,C4,C5",
Waste,NASA-RTLX,Wilcoxon signed-rank exact,C1 vs C4,C1,C4,12,7,9,0.46875,1,no,,0.357143,0.285713,0.16667,5,"C1,C2,C3,C4,C5",
Waste,NASA-RTLX,Wilcoxon signed-rank exact,C1 vs C5,C1,C5,12,10,8.5,0.0507812,0.507812,no,,-0.690909,-0.583333,-0.75,5,"C1,C2,C3,C4,C5",
Waste,NASA-RTLX,Wilcoxon signed-rank exact,C2 vs C3,C2,C3,12,11,9,0.0292969,0.292969,no,,-0.727273,-0.666665,-0.5,5,"C1,C2,C3,C4,C5",
Waste,NASA-RTLX,Wilcoxon signed-rank exact,C2 vs C4,C2,C4,12,9,12.5,0.261719,1,no,,-0.444444,-0.314814,-0.16667,5,"C1,C2,C3,C4,C5",
Waste,NASA-RTLX,Wilcoxon signed-rank exact,C2 vs C5,C2,C5,12,10,0,0.00195312,0.0195312,yes,*,-1,-1.06666,-0.666665,5,"C1,C2,C3,C4,C5",
Waste,NASA-RTLX,Wilcoxon signed-rank exact,C3 vs C4,C3,C4,12,8,2,0.0234375,0.234375,no,,0.888889,0.562499,0.33333,5,"C1,C2,C3,C4,C5",
Waste,NASA-RTLX,Wilcoxon signed-rank exact,C3 vs C5,C3,C5,12,12,20,0.149414,1,no,,-0.487179,-0.277778,-0.416665,5,"C1,C2,C3,C4,C5",
Waste,NASA-RTLX,Wilcoxon signed-rank exact,C4 vs C5,C4,C5,12,11,0,0.000976562,0.00976562,yes,**,-1,-0.71212,-0.66667,5,"C1,C2,C3,C4,C5",
Waste,SART,Wilcoxon signed-rank exact,C1 vs C2,C1,C2,12,11,14,0.0996094,0.996094,no,,-0.575758,-0.309091,-0.5,5,"C1,C2,C3,C4,C5",
Waste,SART,Wilcoxon signed-rank exact,C1 vs C3,C1,C3,12,12,7.5,0.00976562,0.0976562,no,,-0.807692,-0.3,-0.35,5,"C1,C2,C3,C4,C5",
Waste,SART,Wilcoxon signed-rank exact,C1 vs C4,C1,C4,12,12,22,0.193359,1,no,,-0.435897,-0.108333,-0.1,5,"C1,C2,C3,C4,C5",
Waste,SART,Wilcoxon signed-rank exact,C1 vs C5,C1,C5,12,11,18.5,0.213867,1,no,,-0.439394,-0.263636,-0.1,5,"C1,C2,C3,C4,C5",
Waste,SART,Wilcoxon signed-rank exact,C2 vs C3,C2,C3,12,12,38,0.966309,1,no,,-0.025641,-0.0166667,0.05,5,"C1,C2,C3,C4,C5",
Waste,SART,Wilcoxon signed-rank exact,C2 vs C4,C2,C4,12,11,18.5,0.214844,1,no,,0.439394,0.190909,0.3,5,"C1,C2,C3,C4,C5",
Waste,SART,Wilcoxon signed-rank exact,C2 vs C5,C2,C5,12,10,24.5,0.791016,1,no,,0.109091,0.05,0.15,5,"C1,C2,C3,C4,C5",
Waste,SART,Wilcoxon signed-rank exact,C3 vs C4,C3,C4,12,12,14,0.0488281,0.488281,no,,0.641026,0.191667,0.3,5,"C1,C2,C3,C4,C5",
Waste,SART,Wilcoxon signed-rank exact,C3 vs C5,C3,C5,12,12,34,0.718262,1,no,,0.128205,0.0583333,0.15,5,"C1,C2,C3,C4,C5",
Waste,SART,Wilcoxon signed-rank exact,C4 vs C5,C4,C5,12,10,18.5,0.390625,1,no,,-0.327273,-0.16,-0.2,5,"C1,C2,C3,C4,C5",
Tomato,조작성공률 (%),McNemar exact,C1 vs C3,C1,C3,12,5,nan,1,1,no,,-0.2,-8.33333,0,4,"C1,C3,C4,C5",2/3
Tomato,조작성공률 (%),McNemar exact,C1 vs C4,C1,C4,12,1,nan,1,1,no,,-1,-8.33333,0,4,"C1,C3,C4,C5",0/1
Tomato,조작성공률 (%),McNemar exact,C1 vs C5,C1,C5,12,4,nan,0.125,0.75,no,,-1,-33.3333,0,4,"C1,C3,C4,C5",0/4
Tomato,조작성공률 (%),McNemar exact,C3 vs C4,C3,C4,12,4,nan,1,1,no,,0,0,0,4,"C1,C3,C4,C5",2/2
Tomato,조작성공률 (%),McNemar exact,C3 vs C5,C3,C5,12,3,nan,0.25,1,no,,-1,-25,0,4,"C1,C3,C4,C5",0/3
Tomato,조작성공률 (%),McNemar exact,C4 vs C5,C4,C5,12,3,nan,0.25,1,no,,-1,-25,0,4,"C1,C3,C4,C5",0/3
Tomato,조작시간 (s),Wilcoxon signed-rank exact,C1 vs C3,C1,C3,11,11,18.5,0.214844,1,no,,0.439394,7.90909,15,4,"C1,C3,C4,C5",
Tomato,조작시간 (s),Wilcoxon signed-rank exact,C1 vs C4,C1,C4,11,11,2,0.00292969,0.0175781,yes,*,0.939394,18.1818,21,4,"C1,C3,C4,C5",
Tomato,조작시간 (s),Wilcoxon signed-rank exact,C1 vs C5,C1,C5,11,10,5,0.0195312,0.117188,no,,0.818182,11.8,14,4,"C1,C3,C4,C5",
Tomato,조작시간 (s),Wilcoxon signed-rank exact,C3 vs C4,C3,C4,11,11,16,0.145508,0.873047,no,,0.515152,10.2727,6,4,"C1,C3,C4,C5",
Tomato,조작시간 (s),Wilcoxon signed-rank exact,C3 vs C5,C3,C5,11,11,30,0.833008,1,no,,0.0909091,2.81818,1,4,"C1,C3,C4,C5",
Tomato,조작시간 (s),Wilcoxon signed-rank exact,C4 vs C5,C4,C5,11,11,21,0.30957,1,no,,-0.363636,-7.45455,-2,4,"C1,C3,C4,C5",
Tomato,SAGAT1,Wilcoxon signed-rank exact,C1 vs C2,C1,C2,12,7,8,0.453125,1,no,,0.428571,0.214286,0.5,5,"C1,C2,C3,C4,C5",
Tomato,SAGAT1,Wilcoxon signed-rank exact,C1 vs C3,C1,C3,12,8,4.5,0.0703125,0.703125,no,,0.75,0.375,0.5,5,"C1,C2,C3,C4,C5",
Tomato,SAGAT1,Wilcoxon signed-rank exact,C1 vs C4,C1,C4,12,7,4,0.125,1,no,,0.714286,0.357143,0.5,5,"C1,C2,C3,C4,C5",
Tomato,SAGAT1,Wilcoxon signed-rank exact,C1 vs C5,C1,C5,12,6,0,0.03125,0.3125,no,,1,0.5,0.5,5,"C1,C2,C3,C4,C5",
Tomato,SAGAT1,Wilcoxon signed-rank exact,C2 vs C3,C2,C3,12,3,0,0.25,1,no,,1,0.5,0.5,5,"C1,C2,C3,C4,C5",
Tomato,SAGAT1,Wilcoxon signed-rank exact,C2 vs C4,C2,C4,12,8,13.5,0.726562,1,no,,0.25,0.125,0.5,5,"C1,C2,C3,C4,C5",
Tomato,SAGAT1,Wilcoxon signed-rank exact,C2 vs C5,C2,C5,12,5,3,0.375,1,no,,0.6,0.3,0.5,5,"C1,C2,C3,C4,C5",
Tomato,SAGAT1,Wilcoxon signed-rank exact,C3 vs C4,C3,C4,12,5,6,1,1,no,,-0.2,-0.1,-0.5,5,"C1,C2,C3,C4,C5",
Tomato,SAGAT1,Wilcoxon signed-rank exact,C3 vs C5,C3,C5,12,2,1.5,1,1,no,,0,0,0,5,"C1,C2,C3,C4,C5",
Tomato,SAGAT1,Wilcoxon signed-rank exact,C4 vs C5,C4,C5,12,5,6,1,1,no,,0.2,0.1,0.5,5,"C1,C2,C3,C4,C5",
Tomato,SAGAT2,Wilcoxon signed-rank exact,C1 vs C2,C1,C2,12,8,9,0.289062,1,no,,0.5,0.25,0.5,5,"C1,C2,C3,C4,C5",
Tomato,SAGAT2,Wilcoxon signed-rank exact,C1 vs C3,C1,C3,12,4,4,1,1,no,,0.2,0.125,0,5,"C1,C2,C3,C4,C5",
Tomato,SAGAT2,Wilcoxon signed-rank exact,C1 vs C4,C1,C4,12,9,22.5,1,1,no,,0,0,-0.5,5,"C1,C2,C3,C4,C5",
Tomato,SAGAT2,Wilcoxon signed-rank exact,C1 vs C5,C1,C5,12,7,12,1,1,no,,-0.142857,-0.0714286,-0.5,5,"C1,C2,C3,C4,C5",
Tomato,SAGAT2,Wilcoxon signed-rank exact,C2 vs C3,C2,C3,12,9,15,0.507812,1,no,,-0.333333,-0.166667,-0.5,5,"C1,C2,C3,C4,C5",
Tomato,SAGAT2,Wilcoxon signed-rank exact,C2 vs C4,C2,C4,12,7,8.5,0.46875,1,no,,-0.392857,-0.285714,-0.5,5,"C1,C2,C3,C4,C5",
Tomato,SAGAT2,Wilcoxon signed-rank exact,C2 vs C5,C2,C5,12,8,8,0.234375,1,no,,-0.555556,-0.3125,-0.5,5,"C1,C2,C3,C4,C5",
Tomato,SAGAT2,Wilcoxon signed-rank exact,C3 vs C4,C3,C4,12,9,20.5,0.972656,1,no,,-0.0888889,-0.0555556,-0.5,5,"C1,C2,C3,C4,C5",
Tomato,SAGAT2,Wilcoxon signed-rank exact,C3 vs C5,C3,C5,12,6,7.5,0.53125,1,no,,-0.285714,-0.166667,0,5,"C1,C2,C3,C4,C5",
Tomato,SAGAT2,Wilcoxon signed-rank exact,C4 vs C5,C4,C5,12,8,17,1,1,no,,-0.0555556,-0.0625,-0.5,5,"C1,C2,C3,C4,C5",
