subject,domain,condition,condition_short,metric,value
p005,Tomato,C4: Ours2,C4,SAGAT3,1
p005,Tomato,C4: Ours2,C4,Fatigue,1
p005,Tomato,C4: Ours2,C4,NASA-RTLX,1.5
p005,Tomato,C4: Ours2,C4,SART,4.1
p006,Tomato,C4: Ours2,C4,조작성공률 (%),100
p006,Tomato,C4: Ours2,C4,조작시간 (s),30
p006,Tomato,C4: Ours2,C4,SAGAT1,1
p006,Tomato,C4: Ours2,C4,SAGAT2,0.5
p006,Tomato,C4: Ours2,C4,SAGAT3,1
p006,Tomato,C4: Ours2,C4,Fatigue,1
p006,Tomato,C4: Ours2,C4,NASA-RTLX,1.83333
p006,Tomato,C4: Ours2,C4,SART,2.6
p007,Tomato,C4: Ours2,C4,조작성공률 (%),100
p007,Tomato,C4: Ours2,C4,SAGAT1,0.5
p007,Tomato,C4: Ours2,C4,SAGAT2,0
p007,Tomato,C4: Ours2,C4,SAGAT3,1
p007,Tomato,C4: Ours2,C4,Fatigue,2
p007,Tomato,C4: Ours2,C4,NASA-RTLX,1.16667
p007,Tomato,C4: Ours2,C4,SART,2
p008,Tomato,C4: Ours2,C4,조작성공률 (%),100
p008,Tomato,C4: Ours2,C4,조작시간 (s),14
p008,Tomato,C4: Ours2,C4,SAGAT1,1
p008,Tomato,C4: Ours2,C4,SAGAT2,0
p008,Tomato,C4: Ours2,C4,SAGAT3,1
p008,Tomato,C4: Ours2,C4,Fatigue,3
p008,Tomato,C4: Ours2,C4,NASA-RTLX,2.33333
p008,Tomato,C4: Ours2,C4,SART,2.9
p005,Waste,C5: KnowNo,C5,조작성공률 (%),0
p005,Waste,C5: KnowNo,C5,조작시간 (s),27
p005,Waste,C5: KnowNo,C5,SAGAT1,0.5
p005,Waste,C5: KnowNo,C5,SAGAT2,1
p005,Waste,C5: KnowNo,C5,SAGAT3,1
p005,Waste,C5: KnowNo,C5,Fatigue,3
p005,Waste,C5: KnowNo,C5,NASA-RTLX,2.33333
p005,Waste,C5: KnowNo,C5,SART,4.3
p006,Waste,C5: KnowNo,C5,조작성공률 (%),0
p006,Waste,C5: KnowNo,C5,조작시간 (s),32
p006,Waste,C5: KnowNo,C5,SAGAT1,0.5
p006,Waste,C5: KnowNo,C5,SAGAT2,0
p006,Waste,C5: KnowNo,C5,SAGAT3,0
p006,Waste,C5: KnowNo,C5,Fatigue,3
p006,Waste,C5: KnowNo,C5,NASA-RTLX,1.66667
p006,Waste,C5: KnowNo,C5,SART,2
p007,Waste,C5: KnowNo,C5,조작성공률 (%),0
p007,Waste,C5: KnowNo,C5,SAGAT1,1
p007,Waste,C5: KnowNo,C5,SAGAT2,0.5
p007,Waste,C5: KnowNo,C5,SAGAT3,1
p007,Waste,C5: KnowNo,C5,Fatigue,1
p007,Waste,C5: KnowNo,C5,NASA-RTLX,1.33333
p007,Waste,C5: KnowNo,C5,SART,1.8
p008,Waste,C5: KnowNo,C5,조작성공률 (%),0
p008,Waste,C5: KnowNo,C5,조작시간 (s),25
p008,Waste,C5: KnowNo,C5,SAGAT1,1
p008,Waste,C5: KnowNo,C5,SAGAT2,1
p008,Waste,C5: KnowNo,C5,SAGAT3,1
p008,Waste,C5: KnowNo,C5,Fatigue,3
p008,Waste,C5: KnowNo,C5,NASA-RTLX,3
p008,Waste,C5: KnowNo,C5,SART,3.4
p005,Tomato,C5: KnowNo,C5,조작성공률 (%),100
p005,Tomato,C5: KnowNo,C5,조작시간 (s),17
p005,Tomato,C5: KnowNo,C5,SAGAT1,0.5
p005,Tomato,C5: KnowNo,C5,SAGAT2,0.5
p005,Tomato,C5: KnowNo,C5,SAGAT3,0.5
p005,Tomato,C5: KnowNo,C5,Fatigue,2
p005,Tomato,C5: KnowNo,C5,NASA-RTLX,1.5
p005,Tomato,C5: KnowNo,C5,SART,3.8
p006,Tomato,C5: KnowNo,C5,조작성공률 (%),100
p006,Tomato,C5: KnowNo,C5,조작시간 (s),19
p006,Tomato,C5: KnowNo,C5,SAGAT1,0.5
p006,Tomato,C5: KnowNo,C5,SAGAT2,0.5
p006,Tomato,C5: KnowNo,C5,SAGAT3,0.5
p006,Tomato,C5: KnowNo,C5,Fatigue,1
p006,Tomato,C5: KnowNo,C5,NASA-RTLX,1.66667
p006,Tomato,C5: KnowNo,C5,SART,2
p007,Tomato,C5: KnowNo,C5,조작성공률 (%),100
p007,Tomato,C5: KnowNo,C5,SAGAT1,0.5
p007,Tomato,C5: KnowNo,C5,SAGAT2,0.5
p007,Tomato,C5: KnowNo,C5,SAGAT3,1
p007,Tomato,C5: KnowNo,C5,Fatigue,1
p007,Tomato,C5: KnowNo,C5,NASA-RTLX,1
p007,Tomato,C5: KnowNo,C5,SART,1.4
p008,Tomato,C5: KnowNo,C5,조작성공률 (%),100
p008,Tomato,C5: KnowNo,C5,조작시간 (s),36
p008,Tomato,C5: KnowNo,C5,SAGAT1,1
p008,Tomato,C5: KnowNo,C5,SAGAT2,1
p008,Tomato,C5: KnowNo,C5,SAGAT3,1
p008,Tomato,C5: KnowNo,C5,Fatigue,2
p008,Tomato,C5: KnowNo,C5,NASA-RTLX,1.5
p008,Tomato,C5: KnowNo,C5,SART,3.8
p009,Waste,C1: All,C1,조작성공률 (%),100
p009,Waste,C1: All,C1,SAGAT1,1
p009,Waste,C1: All,C1,SAGAT2,0
p009,Waste,C1: All,C1,SAGAT3,0
p009,Waste,C1: All,C1,Fatigue,5
p009,Waste,C1: All,C1,NASA-RTLX,2.33333
p009,Waste,C1: All,C1,SART,2.5
p010,Waste,C1: All,C1,조작성공률 (%),100
p010,Waste,C1: All,C1,조작시간 (s),24
p010,Waste,C1: All,C1,SAGAT1,1
p010,Waste,C1: All,C1,SAGAT2,0.5
p010,Waste,C1: All,C1,SAGAT3,0.5
p010,Waste,C1: All,C1,Fatigue,3
p010,Waste,C1: All,C1,NASA-RTLX,1.66667
p010,Waste,C1: All,C1,SART,3.1
p011,Waste,C1: All,C1,조작성공률 (%),0
p011,Waste,C1: All,C1,조작시간 (s),79
p011,Waste,C1: All,C1,SAGAT1,1
p011,Waste,C1: All,C1,SAGAT2,0.5
p011,Waste,C1: All,C1,SAGAT3,0.5
p011,Waste,C1: All,C1,Fatigue,2
p011,Waste,C1: All,C1,NASA-RTLX,1.83333
p011,Waste,C1: All,C1,SART,3.9
p012,Waste,C1: All,C1,조작성공률 (%),100
p012,Waste,C1: All,C1,조작시간 (s),15
p012,Waste,C1: All,C1,SAGAT1,1
p012,Waste,C1: All,C1,SAGAT2,0
p012,Waste,C1: All,C1,SAGAT3,0.5
p012,Waste,C1: All,C1,Fatigue,3
p012,Waste,C1: All,C1,NASA-RTLX,2.16667
p012,Waste,C1: All,C1,SART,3.3
p009,Tomato,C1: All,C1,조작성공률 (%),100
p009,Tomato,C1: All,C1,SAGAT1,1
p009,Tomato,C1: All,C1,SAGAT2,0.5
p009,Tomato,C1: All,C1,SAGAT3,0.5
p009,Tomato,C1: All,C1,Fatigue,5
p009,Tomato,C1: All,C1,NASA-RTLX,2.16667
p009,Tomato,C1: All,C1,SART,2.4
p010,Tomato,C1: All,C1,조작성공률 (%),100
p010,Tomato,C1: All,C1,조작시간 (s),42
p010,Tomato,C1: All,C1,SAGAT1,1
p010,Tomato,C1: All,C1,SAGAT2,0.5
p010,Tomato,C1: All,C1,SAGAT3,1
p010,Tomato,C1: All,C1,Fatigue,4
p010,Tomato,C1: All,C1,NASA-RTLX,2.16667
p010,Tomato,C1: All,C1,SART,3.2
p011,Tomato,C1: All,C1,조작성공률 (%),0
p011,Tomato,C1: All,C1,조작시간 (s),36
p011,Tomato,C1: All,C1,SAGAT1,0.5
p011,Tomato,C1: All,C1,SAGAT2,0.5
p011,Tomato,C1: All,C1,SAGAT3,1
p011,Tomato,C1: All,C1,Fatigue,2
p011,Tomato,C1: All,C1,NASA-RTLX,2.5
p011,Tomato,C1: All,C1,SART,3.8
p012,Tomato,C1: All,C1,조작성공률 (%),0
p012,Tomato,C1: All,C1,조작시간 (s),32
p012,Tomato,C1: All,C1,SAGAT1,1
p012,Tomato,C1: All,C1,SAGAT2,0.5
p012,Tomato,C1: All,C1,SAGAT3,0
p012,Tomato,C1: All,C1,Fatigue,2
p012,Tomato,C1: All,C1,NASA-RTLX,2.16667
p012,Tomato,C1: All,C1,SART,3.3
p009,Waste,C2: No,C2,SAGAT1,0.5
p009,Waste,C2: No,C2,SAGAT2,0.5
p009,Waste,C2: No,C2,SAGAT3,1
p009,Waste,C2: No,C2,Fatigue,4
p009,Waste,C2: No,C2,NASA-RTLX,1.83333
p009,Waste,C2: No,C2,SART,3.2
p010,Waste,C2: No,C2,조작시간 (s),0
p010,Waste,C2: No,C2,SAGAT1,1
p010,Waste,C2: No,C2,SAGAT2,0
p010,Waste,C2: No,C2,SAGAT3,1
p010,Waste,C2: No,C2,Fatigue,1
p010,Waste,C2: No,C2,NASA-RTLX,1.16667
p010,Waste,C2: No,C2,SART,3.7
p011,Waste,C2: No,C2,조작시간 (s),0
p011,Waste,C2: No,C2,SAGAT1,1
p011,Waste,C2: No,C2,SAGAT2,0.5
p011,Waste,C2: No,C2,SAGAT3,0.5
p011,Waste,C2: No,C2,Fatigue,2
p011,Waste,C2: No,C2,NASA-RTLX,1.83333
p011,Waste,C2: No,C2,SART,4.4
p012,Waste,C2: No,C2,조작시간 (s),2
p012,Waste,C2: No,C2,SAGAT1,1
p012,Waste,C2: No,C2,SAGAT2,0
p012,Waste,C2: No,C2,SAGAT3,1
p012,Waste,C2: No,C2,Fatigue,1
p012,Waste,C2: No,C2,NASA-RTLX,1.16667
p012,Waste,C2: No,C2,SART,3.3
p009,Tomato,C2: No,C2,SAGAT1,0.5
p009,Tomato,C2: No,C2,SAGAT2,0
p009,Tomato,C2: No,C2,SAGAT3,1
p009,Tomato,C2: No,C2,Fatigue,5
p009,Tomato,C2: No,C2,NASA-RTLX,2.33333
p009,Tomato,C2: No,C2,SART,2.8
p010,Tomato,C2: No,C2,조작시간 (s),0
p010,Tomato,C2: No,C2,SAGAT1,1
p010,Tomato,C2: No,C2,SAGAT2,0
p010,Tomato,C2: No,C2,SAGAT3,1
p010,Tomato,C2: No,C2,Fatigue,2
p010,Tomato,C2: No,C2,NASA-RTLX,1.5
p010,Tomato,C2: No,C2,SART,3
p011,Tomato,C2: No,C2,조작시간 (s),0
p011,Tomato,C2: No,C2,SAGAT1,0.5
p011,Tomato,C2: No,C2,SAGAT2,0.5
p011,Tomato,C2: No,C2,SAGAT3,1
p011,Tomato,C2: No,C2,Fatigue,2
p011,Tomato,C2: No,C2,NASA-RTLX,1.66667
p011,Tomato,C2: No,C2,SART,3.8
p012,Tomato,C2: No,C2,조작시간 (s),3
p012,Tomato,C2: No,C2,SAGAT1,1
p012,Tomato,C2: No,C2,SAGAT2,1
p012,Tomato,C2: No,C2,SAGAT3,1
p012,Tomato,C2: No,C2,Fatigue,2
p012,Tomato,C2: No,C2,NASA-RTLX,1.16667
p012,Tomato,C2: No,C2,SART,3.2
p009,Waste,C3: Ours1,C3,조작성공률 (%),100
p009,Waste,C3: Ours1,C3,SAGAT1,0.5
p009,Waste,C3: Ours1,C3,SAGAT2,0.5
p009,Waste,C3: Ours1,C3,SAGAT3,1
p009,Waste,C3: Ours1,C3,Fatigue,5
p009,Waste,C3: Ours1,C3,NASA-RTLX,2.5
p009,Waste,C3: Ours1,C3,SART,2.8
p010,Waste,C3: Ours1,C3,조작성공률 (%),100
p010,Waste,C3: Ours1,C3,조작시간 (s),10
p010,Waste,C3: Ours1,C3,SAGAT1,1
p010,Waste,C3: Ours1,C3,SAGAT2,0.5
p010,Waste,C3: Ours1,C3,SAGAT3,1
p010,Waste,C3: Ours1,C3,Fatigue,3
p010,Waste,C3: Ours1,C3,NASA-RTLX,2
p010,Waste,C3: Ours1,C3,SART,3.5
p011,Waste,C3: Ours1,C3,조작성공률 (%),100
p011,Waste,C3: Ours1,C3,조작시간 (s),8
p011,Waste,C3: Ours1,C3,SAGAT1,1
p011,Waste,C3: Ours1,C3,SAGAT2,1
p011,Waste,C3: Ours1,C3,SAGAT3,0.5
p011,Waste,C3: Ours1,C3,Fatigue,1
p011,Waste,C3: Ours1,C3,NASA-RTLX,2.33333
p011,Waste,C3: Ours1,C3,SART,4
p012,Waste,C3: Ours1,C3,조작성공률 (%),100
p012,Waste,C3: Ours1,C3,조작시간 (s),17
p012,Waste,C3: Ours1,C3,SAGAT1,0
p012,Waste,C3: Ours1,C3,SAGAT2,1
p012,Waste,C3: Ours1,C3,SAGAT3,1
p012,Waste,C3: Ours1,C3,Fatigue,5
p012,Waste,C3: Ours1,C3,NASA-RTLX,3.66667
p012,Waste,C3: Ours1,C3,SART,3.7
p009,Tomato,C3: Ours1,C3,조작성공률 (%),100
p009,Tomato,C3: Ours1,C3,SAGAT1,0.5
p009,Tomato,C3: Ours1,C3,SAGAT2,0.5
p009,Tomato,C3: Ours1,C3,SAGAT3,0.5
p009,Tomato,C3: Ours1,C3,Fatigue,5
p009,Tomato,C3: Ours1,C3,NASA-RTLX,2
p009,Tomato,C3: Ours1,C3,SART,1.7
p010,Tomato,C3: Ours1,C3,조작성공률 (%),100
p010,Tomato,C3: Ours1,C3,조작시간 (s),18
p010,Tomato,C3: Ours1,C3,SAGAT1,0.5
p010,Tomato,C3: Ours1,C3,SAGAT2,0.5
p010,Tomato,C3: Ours1,C3,SAGAT3,1
p010,Tomato,C3: Ours1,C3,Fatigue,4
p010,Tomato,C3: Ours1,C3,NASA-RTLX,1.83333
p010,Tomato,C3: Ours1,C3,SART,3.4
p011,Tomato,C3: Ours1,C3,조작성공률 (%),100
p011,Tomato,C3: Ours1,C3,조작시간 (s),15
p011,Tomato,C3: Ours1,C3,SAGAT1,0.5
p011,Tomato,C3: Ours1,C3,SAGAT2,0.5
p011,Tomato,C3: Ours1,C3,SAGAT3,0.5
p011,Tomato,C3: Ours1,C3,Fatigue,2
p011,Tomato,C3: Ours1,C3,NASA-RTLX,1.83333
p011,Tomato,C3: Ours1,C3,SART,3.9
p012,Tomato,C3: Ours1,C3,조작성공률 (%),0
p012,Tomato,C3: Ours1,C3,조작시간 (s),40
p012,Tomato,C3: Ours1,C3,SAGAT1,0.5
p012,Tomato,C3: Ours1,C3,SAGAT2,0.5
p012,Tomato,C3: Ours1,C3,SAGAT3,1
p012,Tomato,C3: Ours1,C3,Fatigue,1
p012,Tomato,C3: Ours1,C3,NASA-RTLX,1.5
p012,Tomato,C3: Ours1,C3,SART,3.3
p009,Waste,C4: Ours2,C4,조작성공률 (%),100
p009,Waste,C4: Ours2,C4,SAGAT1,1
p009,Waste,C4: Ours2,C4,SAGAT2,0
p009,Waste,C4: Ours2,C4,SAGAT3,0.5
p009,Waste,C4: Ours2,C4,Fatigue,5
p009,Waste,C4: Ours2,C4,NASA-RTLX,2.33333
p009,Waste,C4: Ours2,C4,SART,2.9
p010,Waste,C4: Ours2,C4,조작성공률 (%),100
p010,Waste,C4: Ours2,C4,조작시간 (s),11
p010,Waste,C4: Ours2,C4,SAGAT1,1
p010,Waste,C4: Ours2,C4,SAGAT2,0.5
p010,Waste,C4: Ours2,C4,SAGAT3,0.5
p010,Waste,C4: Ours2,C4,Fatigue,2
p010,Waste,C4: Ours2,C4,NASA-RTLX,1.66667
p010,Waste,C4: Ours2,C4,SART,3.2
p011,Waste,C4: Ours2,C4,조작성공률 (%),100
p011,Waste,C4: Ours2,C4,조작시간 (s),10
p011,Waste,C4: Ours2,C4,SAGAT1,1
p011,Waste,C4: Ours2,C4,SAGAT2,0
p011,Waste,C4: Ours2,C4,SAGAT3,0.5
p011,Waste,C4: Ours2,C4,Fatigue,2
p011,Waste,C4: Ours2,C4,NASA-RTLX,1.66667
p011,Waste,C4: Ours2,C4,SART,3.6
p012,Waste,C4: Ours2,C4,조작성공률 (%),100
p012,Waste,C4: Ours2,C4,조작시간 (s),9
p012,Waste,C4: Ours2,C4,SAGAT1,1
p012,Waste,C4: Ours2,C4,SAGAT2,0.5
p012,Waste,C4: Ours2,C4,SAGAT3,0
p012,Waste,C4: Ours2,C4,Fatigue,5
p012,Waste,C4: Ours2,C4,NASA-RTLX,2.83333
p012,Waste,C4: Ours2,C4,SART,3.9
p009,Tomato,C4: Ours2,C4,조작성공률 (%),100
p009,Tomato,C4: Ours2,C4,SAGAT1,1
p009,Tomato,C4: Ours2,C4,SAGAT2,0
p009,Tomato,C4: Ours2,C4,SAGAT3,1
p009,Tomato,C4: Ours2,C4,Fatigue,5
p009,Tomato,C4: Ours2,C4,NASA-RTLX,1.83333
p009,Tomato,C4: Ours2,C4,SART,2.4
p010,Tomato,C4: Ours2,C4,조작성공률 (%),100
p010,Tomato,C4: Ours2,C4,조작시간 (s),17
p010,Tomato,C4: Ours2,C4,SAGAT1,0.5
p010,Tomato,C4: Ours2,C4,SAGAT2,1
p010,Tomato,C4: Ours2,C4,SAGAT3,1
p010,Tomato,C4: Ours2,C4,Fatigue,4
p010,Tomato,C4: Ours2,C4,NASA-RTLX,1.33333
p010,Tomato,C4: Ours2,C4,SART,3.1
p011,Tomato,C4: Ours2,C4,조작성공률 (%),100
p011,Tomato,C4: Ours2,C4,조작시간 (s),9
p011,Tomato,C4: Ours2,C4,SAGAT1,0.5
p011,Tomato,C4: Ours2,C4,SAGAT2,1
p011,Tomato,C4: Ours2,C4,SAGAT3,0.5
p011,Tomato,C4: Ours2,C4,Fatigue,2
p011,Tomato,C4: Ours2,C4,NASA-RTLX,1.83333
p011,Tomato,C4: Ours2,C4,SART,3.9
p012,Tomato,C4: Ours2,C4,조작성공률 (%),0
p012,Tomato,C4: Ours2,C4,조작시간 (s),20
p012,Tomato,C4: Ours2,C4,SAGAT1,0.5
p012,Tomato,C4: Ours2,C4,SAGAT2,0
p012,Tomato,C4: Ours2,C4,SAGAT3,1
p012,Tomato,C4: Ours2,C4,Fatigue,3
p012,Tomato,C4: Ours2,C4,NASA-RTLX,1.66667
p012,Tomato,C4: Ours2,C4,SART,3.2
p009,Waste,C5: KnowNo,C5,조작성공률 (%),0
p009,Waste,C5: KnowNo,C5,SAGAT1,0.5
p009,Waste,C5: KnowNo,C5,SAGAT2,1
p009,Waste,C5: KnowNo,C5,SAGAT3,0
p009,Waste,C5: KnowNo,C5,Fatigue,6
p009,Waste,C5: KnowNo,C5,NASA-RTLX,3.33333
p009,Waste,C5: KnowNo,C5,SART,3.2
p010,Waste,C5: KnowNo,C5,조작성공률 (%),0
p010,Waste,C5: KnowNo,C5,조작시간 (s),66
p010,Waste,C5: KnowNo,C5,SAGAT1,0.5
p010,Waste,C5: KnowNo,C5,SAGAT2,0.5
p010,Waste,C5: KnowNo,C5,SAGAT3,0.5
p010,Waste,C5: KnowNo,C5,Fatigue,3
p010,Waste,C5: KnowNo,C5,NASA-RTLX,2.83333
p010,Waste,C5: KnowNo,C5,SART,4.2
p011,Waste,C5: KnowNo,C5,조작성공률 (%),0
p011,Waste,C5: KnowNo,C5,조작시간 (s),15
p011,Waste,C5: KnowNo,C5,SAGAT1,0.5
p011,Waste,C5: KnowNo,C5,SAGAT2,1
p011,Waste,C5: KnowNo,C5,SAGAT3,1
p011,Waste,C5: KnowNo,C5,Fatigue,3
p011,Waste,C5: KnowNo,C5,NASA-RTLX,1.83333
p011,Waste,C5: KnowNo,C5,SART,3.6
p012,Waste,C5: KnowNo,C5,조작성공률 (%),0
p012,Waste,C5: KnowNo,C5,조작시간 (s),47
p012,Waste,C5: KnowNo,C5,SAGAT1,1
p012,Waste,C5: KnowNo,C5,SAGAT2,0
p012,Waste,C5: KnowNo,C5,SAGAT3,0
p012,Waste,C5: KnowNo,C5,Fatigue,5
p012,Waste,C5: KnowNo,C5,NASA-RTLX,4
p012,Waste,C5: KnowNo,C5,SART,4.3
p009,Tomato,C5: KnowNo,C5,조작성공률 (%),100
p009,Tomato,C5: KnowNo,C5,SAGAT1,0.5
p009,Tomato,C5: KnowNo,C5,SAGAT2,0.5
p009,Tomato,C5: KnowNo,C5,SAGAT3,0.5
p009,Tomato,C5: KnowNo,C5,Fatigue,6
p009,Tomato,C5: KnowNo,C5,NASA-RTLX,1.33333
p009,Tomato,C5: KnowNo,C5,SART,1.8
p010,Tomato,C5: KnowNo,C5,조작성공률 (%),100
p010,Tomato,C5: KnowNo,C5,조작시간 (s),19
p010,Tomato,C5: KnowNo,C5,SAGAT1,0.5
p010,Tomato,C5: KnowNo,C5,SAGAT2,0
p010,Tomato,C5: KnowNo,C5,SAGAT3,0.5
p010,Tomato,C5: KnowNo,C5,Fatigue,4
p010,Tomato,C5: KnowNo,C5,NASA-RTLX,1.83333
p010,Tomato,C5: KnowNo,C5,SART,3.3
p011,Tomato,C5: KnowNo,C5,조작성공률 (%),100
p011,Tomato,C5: KnowNo,C5,조작시간 (s),36
p011,Tomato,C5: KnowNo,C5,SAGAT1,0.5
p011,Tomato,C5: KnowNo,C5,SAGAT2,0
p011,Tomato,C5: KnowNo,C5,SAGAT3,0.5
p011,Tomato,C5: KnowNo,C5,Fatigue,2
p011,Tomato,C5: KnowNo,C5,NASA-RTLX,2.16667
p011,Tomato,C5: KnowNo,C5,SART,3.7
p012,Tomato,C5: KnowNo,C5,조작성공률 (%),100
p012,Tomato,C5: KnowNo,C5,조작시간 (s),14
p012,Tomato,C5: KnowNo,C5,SAGAT1,0.5
p012,Tomato,C5: KnowNo,C5,SAGAT2,0.5
p012,Tomato,C5: KnowNo,C5,SAGAT3,1
p012,Tomato,C5: KnowNo,C5,Fatigue,3
p012,Tomato,C5: KnowNo,C5,NASA-RTLX,1.83333
p012,Tomato,C5: KnowNo,C5,SART,3.2
