subject,domain,condition,condition_short,metric,value
p002,Waste,C3: Ours1,C3,조작시간 (s),14
p002,Waste,C3: Ours1,C3,SAGAT1,1
p002,Waste,C3: Ours1,C3,SAGAT2,0.5
p002,Waste,C3: Ours1,C3,SAGAT3,1
p002,Waste,C3: Ours1,C3,Fatigue,1
p002,Waste,C3: Ours1,C3,NASA-RTLX,1.33333
p002,Waste,C3: Ours1,C3,SART,3.7
p003,Waste,C3: Ours1,C3,조작성공률 (%),100
p003,Waste,C3: Ours1,C3,SAGAT1,1
p003,Waste,C3: Ours1,C3,SAGAT2,0.5
p003,Waste,C3: Ours1,C3,SAGAT3,0.5
p003,Waste,C3: Ours1,C3,Fatigue,3
p003,Waste,C3: Ours1,C3,NASA-RTLX,1.83333
p003,Waste,C3: Ours1,C3,SART,3.2
p004,Waste,C3: Ours1,C3,조작성공률 (%),100
p004,Waste,C3: Ours1,C3,조작시간 (s),9
p004,Waste,C3: Ours1,C3,SAGAT1,1
p004,Waste,C3: Ours1,C3,SAGAT2,0.5
p004,Waste,C3: Ours1,C3,SAGAT3,0.5
p004,Waste,C3: Ours1,C3,Fatigue,5
p004,Waste,C3: Ours1,C3,NASA-RTLX,3.5
p004,Waste,C3: Ours1,C3,SART,3.4
p001,Tomato,C3: Ours1,C3,조작성공률 (%),100
p001,Tomato,C3: Ours1,C3,조작시간 (s),15
p001,Tomato,C3: Ours1,C3,SAGAT1,1
p001,Tomato,C3: Ours1,C3,SAGAT2,0.5
p001,Tomato,C3: Ours1,C3,SAGAT3,0.5
p001,Tomato,C3: Ours1,C3,Fatigue,5
p001,Tomato,C3: Ours1,C3,NASA-RTLX,2.16667
p001,Tomato,C3: Ours1,C3,SART,3.2
p002,Tomato,C3: Ours1,C3,조작성공률 (%),100
p002,Tomato,C3: Ours1,C3,조작시간 (s),28
p002,Tomato,C3: Ours1,C3,SAGAT1,1
p002,Tomato,C3: Ours1,C3,SAGAT2,0.5
p002,Tomato,C3: Ours1,C3,SAGAT3,1
p002,Tomato,C3: Ours1,C3,Fatigue,1
p002,Tomato,C3: Ours1,C3,NASA-RTLX,1.16667
p002,Tomato,C3: Ours1,C3,SART,3.7
p003,Tomato,C3: Ours1,C3,조작성공률 (%),0
p003,Tomato,C3: Ours1,C3,SAGAT1,0.5
p003,Tomato,C3: Ours1,C3,SAGAT2,0
p003,Tomato,C3: Ours1,C3,SAGAT3,1
p003,Tomato,C3: Ours1,C3,Fatigue,2
p003,Tomato,C3: Ours1,C3,NASA-RTLX,2.16667
p003,Tomato,C3: Ours1,C3,SART,3.2
p004,Tomato,C3: Ours1,C3,조작성공률 (%),100
p004,Tomato,C3: Ours1,C3,조작시간 (s),6
p004,Tomato,C3: Ours1,C3,SAGAT1,1
p004,Tomato,C3: Ours1,C3,SAGAT2,0
p004,Tomato,C3: Ours1,C3,SAGAT3,1
p004,Tomato,C3: Ours1,C3,Fatigue,5
p004,Tomato,C3: Ours1,C3,NASA-RTLX,3.66667
p004,Tomato,C3: Ours1,C3,SART,3.4
p001,Waste,C4: Ours2,C4,조작성공률 (%),100
p001,Waste,C4: Ours2,C4,조작시간 (s),9
p001,Waste,C4: Ours2,C4,SAGAT1,1
p001,Waste,C4: Ours2,C4,SAGAT2,0
p001,Waste,C4: Ours2,C4,SAGAT3,1
p001,Waste,C4: Ours2,C4,Fatigue,5
p001,Waste,C4: Ours2,C4,NASA-RTLX,1.83333
p001,Waste,C4: Ours2,C4,SART,3.6
p002,Waste,C4: Ours2,C4,조작성공률 (%),100
p002,Waste,C4: Ours2,C4,조작시간 (s),13
p002,Waste,C4: Ours2,C4,SAGAT1,1
p002,Waste,C4: Ours2,C4,SAGAT2,0
p002,Waste,C4: Ours2,C4,SAGAT3,0.5
p002,Waste,C4: Ours2,C4,Fatigue,1
p002,Waste,C4: Ours2,C4,NASA-RTLX,1
p002,Waste,C4: Ours2,C4,SART,3.4
p003,Waste,C4: Ours2,C4,조작성공률 (%),100
p003,Waste,C4: Ours2,C4,SAGAT1,1
p003,Waste,C4: Ours2,C4,SAGAT2,0
p003,Waste,C4: Ours2,C4,SAGAT3,1
p003,Waste,C4: Ours2,C4,Fatigue,2
p003,Waste,C4: Ours2,C4,NASA-RTLX,2
