figure,domain,metric,comparison,condition_a,condition_b,shown_on_figure,stars,test,n_complete_subjects,n_nonzero_pairs,W,p_raw,p_bonferroni,rank_biserial,mean_difference_a_minus_b,median_difference_a_minus_b,conditions_included
figures/waste_sagat2.png,Waste,SAGAT2,C2 vs C4,C2,C4,no,,Wilcoxon signed-rank exact,12,6,5,0.34375,1,0.52381,0.333333,0.5,"C1,C2,C3,C4,C5"
figures/waste_sagat2.png,Waste,SAGAT2,C2 vs C5,C2,C5,no,,Wilcoxon signed-rank exact,12,7,6,0.25,1,-0.571429,-0.357143,-0.5,"C1,C2,C3,C4,C5"
figures/waste_sagat2.png,Waste,SAGAT2,C3 vs C4,C3,C4,yes,**,Wilcoxon signed-rank exact,12,11,0,0.000976562,0.00976562,1,0.590909,0.5,"C1,C2,C3,C4,C5"
figures/waste_sagat2.png,Waste,SAGAT2,C3 vs C5,C3,C5,no,,Wilcoxon signed-rank exact,12,9,13.5,0.398438,1,0.4,0.222222,0.5,"C1,C2,C3,C4,C5"
figures/waste_sagat2.png,Waste,SAGAT2,C4 vs C5,C4,C5,no,,Wilcoxon signed-rank exact,12,7,2,0.0625,0.625,-0.857143,-0.642857,-1,"C1,C2,C3,C4,C5"
figures/waste_sagat3.png,Waste,SAGAT3,C1 vs C2,C1,C2,yes,*,Wilcoxon signed-rank exact,12,9,0,0.00390625,0.0390625,-1,-0.555556,-0.5,"C1,C2,C3,C4,C5"
figures/waste_sagat3.png,Waste,SAGAT3,C1 vs C3,C1,C3,no,,Wilcoxon signed-rank exact,12,7,0,0.015625,0.15625,-1,-0.642857,-0.5,"C1,C2,C3,C4,C5"
figures/waste_sagat3.png,Waste,SAGAT3,C1 vs C4,C1,C4,no,,Wilcoxon signed-rank exact,12,7,3.5,0.109375,1,-0.75,-0.428571,-0.5,"C1,C2,C3,C4,C5"
figures/waste_sagat3.png,Waste,SAGAT3,C1 vs C5,C1,C5,no,,Wilcoxon signed-rank exact,12,9,10,0.179688,1,-0.555556,-0.277778,-0.5,"C1,C2,C3,C4,C5"
figures/waste_sagat3.png,Waste,SAGAT3,C2 vs C3,C2,C3,no,,Wilcoxon signed-rank exact,12,7,12,1,1,0.142857,0.0714286,0.5,"C1,C2,C3,C4,C5"
figures/waste_sagat3.png,Waste,SAGAT3,C2 vs C4,C2,C4,no,,Wilcoxon signed-rank exact,12,6,5.5,0.40625,1,0.47619,0.333333,0.5,"C1,C2,C3,C4,C5"
figures/waste_sagat3.png,Waste,SAGAT3,C2 vs C5,C2,C5,no,,Wilcoxon signed-rank exact,12,8,9,0.226562,1,0.5,0.3125,0.5,"C1,C2,C3,C4,C5"
figures/waste_sagat3.png,Waste,SAGAT3,C3 vs C4,C3,C4,no,,Wilcoxon signed-rank exact,12,10,20,0.589844,1,0.272727,0.15,0.5,"C1,C2,C3,C4,C5"
figures/waste_sagat3.png,Waste,SAGAT3,C3 vs C5,C3,C5,no,,Wilcoxon signed-rank exact,12,9,14,0.304688,1,0.377778,0.222222,0.5,"C1,C2,C3,C4,C5"
figures/waste_sagat3.png,Waste,SAGAT3,C4 vs C5,C4,C5,no,,Wilcoxon signed-rank exact,12,7,12,1,1,0.142857,0.0714286,0.5,"C1,C2,C3,C4,C5"
figures/waste_fatigue.png,Waste,Fatigue,C1 vs C2,C1,C2,no,,Wilcoxon signed-rank exact,12,9,16,0.484375,1,0.288889,0.111111,1,"C1,C2,C3,C4,C5"
figures/waste_fatigue.png,Waste,Fatigue,C1 vs C3,C1,C3,no,,Wilcoxon signed-rank exact,12,7,6,0.25,1,-0.571429,-0.714286,-1,"C1,C2,C3,C4,C5"
figures/waste_fatigue.png,Waste,Fatigue,C1 vs C4,C1,C4,no,,Wilcoxon signed-rank exact,12,4,4,1,1,-0.2,-0.25,0,"C1,C2,C3,C4,C5"
figures/waste_fatigue.png,Waste,Fatigue,C1 vs C5,C1,C5,no,,Wilcoxon signed-rank exact,12,7,5.5,0.171875,1,-0.607143,-1,-1,"C1,C2,C3,C4,C5"
