figure,domain,metric,condition,condition_short,plotted,n,mean,sd,se
figures/waste_sagat3.png,Waste,SAGAT3,C5: KnowNo,C5,yes,12,0.583333,0.417424,0.1205
figures/waste_fatigue.png,Waste,Fatigue,C1: All,C1,yes,12,2.66667,1.77525,0.512471
figures/waste_fatigue.png,Waste,Fatigue,C2: No,C2,yes,12,2.58333,1.72986,0.499368
figures/waste_fatigue.png,Waste,Fatigue,C3: Ours1,C3,yes,12,3.08333,1.62135,0.468045
figures/waste_fatigue.png,Waste,Fatigue,C4: Ours2,C4,yes,12,2.75,1.71226,0.494286
figures/waste_fatigue.png,Waste,Fatigue,C5: KnowNo,C5,yes,12,3.25,1.54479,0.445941
figures/waste_nasa_rtlx.png,Waste,NASA-RTLX,C1: All,C1,yes,12,2.05556,0.817526,0.236
figures/waste_nasa_rtlx.png,Waste,NASA-RTLX,C2: No,C2,yes,12,1.65278,0.55258,0.159516
figures/waste_nasa_rtlx.png,Waste,NASA-RTLX,C3: Ours1,C3,yes,12,2.26389,0.973016,0.280886
figures/waste_nasa_rtlx.png,Waste,NASA-RTLX,C4: Ours2,C4,yes,12,1.88889,0.736265,0.212541
figures/waste_nasa_rtlx.png,Waste,NASA-RTLX,C5: KnowNo,C5,yes,12,2.54167,0.995255,0.287305
figures/waste_sart.png,Waste,SART,C1: All,C1,yes,12,3.10833,0.732937,0.211581
figures/waste_sart.png,Waste,SART,C2: No,C2,yes,12,3.39167,0.644499,0.186051
figures/waste_sart.png,Waste,SART,C3: Ours1,C3,yes,12,3.40833,0.615642,0.177721
figures/waste_sart.png,Waste,SART,C4: Ours2,C4,yes,12,3.21667,0.643617,0.185796
figures/waste_sart.png,Waste,SART,C5: KnowNo,C5,yes,12,3.35,0.811844,0.234359
figures/tomato_task_success.png,Tomato,조작성공률 (%),C1: All,C1,yes,12,66.6667,49.2366,14.2134
figures/tomato_task_success.png,Tomato,조작성공률 (%),C2: No,C2,no,0,nan,nan,nan
figures/tomato_task_success.png,Tomato,조작성공률 (%),C3: Ours1,C3,yes,12,75,45.2267,13.0558
figures/tomato_task_success.png,Tomato,조작성공률 (%),C4: Ours2,C4,yes,12,75,45.2267,13.0558
figures/tomato_task_success.png,Tomato,조작성공률 (%),C5: KnowNo,C5,yes,12,100,0,0
figures/tomato_operation_time.png,Tomato,조작시간 (s),C1: All,C1,yes,9,35.2222,9.66667,3.22222
figures/tomato_operation_time.png,Tomato,조작시간 (s),C2: No,C2,no,0,nan,nan,nan
figures/tomato_operation_time.png,Tomato,조작시간 (s),C3: Ours1,C3,yes,9,21.4444,10.6079,3.53597
figures/tomato_operation_time.png,Tomato,조작시간 (s),C4: Ours2,C4,yes,9,17.5556,6.67291,2.2243
figures/tomato_operation_time.png,Tomato,조작시간 (s),C5: KnowNo,C5,yes,9,25.8889,16.2822,5.42741
figures/tomato_sagat1.png,Tomato,SAGAT1,C1: All,C1,yes,12,0.875,0.226134,0.0652791
figures/tomato_sagat1.png,Tomato,SAGAT1,C2: No,C2,yes,12,0.75,0.261116,0.0753778
figures/tomato_sagat1.png,Tomato,SAGAT1,C3: Ours1,C3,yes,12,0.625,0.226134,0.0652791
figures/tomato_sagat1.png,Tomato,SAGAT1,C4: Ours2,C4,yes,12,0.666667,0.246183,0.0710669
figures/tomato_sagat1.png,Tomato,SAGAT1,C5: KnowNo,C5,yes,12,0.625,0.226134,0.0652791
figures/tomato_sagat2.png,Tomato,SAGAT2,C1: All,C1,yes,12,0.458333,0.334279,0.096498
figures/tomato_sagat2.png,Tomato,SAGAT2,C2: No,C2,yes,12,0.291667,0.334279,0.096498
figures/tomato_sagat2.png,Tomato,SAGAT2,C3: Ours1,C3,yes,12,0.416667,0.288675,0.0833333
figures/tomato_sagat2.png,Tomato,SAGAT2,C4: Ours2,C4,yes,12,0.458333,0.450168,0.129952
figures/tomato_sagat2.png,Tomato,SAGAT2,C5: KnowNo,C5,yes,12,0.5,0.301511,0.0870388
figures/tomato_sagat3.png,Tomato,SAGAT3,C1: All,C1,yes,12,0.708333,0.334279,0.096498
