folder,action_schema,action_count,question_count,expected_questions_per_action
logs/tomato/scene_01_step50/thres_0-1,ALL,0,0,0.0000
logs/tomato/scene_02_step50/thres_0-1,detect,39,0,0.0000
logs/tomato/scene_02_step50/thres_0-1,discard,4,0,0.0000
logs/tomato/scene_02_step50/thres_0-1,navigate,68,0,0.0000
logs/tomato/scene_02_step50/thres_0-1,pick,55,4,0.0727
logs/tomato/scene_02_step50/thres_0-1,place,16,0,0.0000
logs/tomato/scene_02_step50/thres_0-1,scan,21,0,0.0000
logs/tomato/scene_02_step50/thres_0-1,ALL,203,4,0.0197
logs/tomato/scene_03_step50/thres_0-1,detect,35,0,0.0000
logs/tomato/scene_03_step50/thres_0-1,discard,7,0,0.0000
logs/tomato/scene_03_step50/thres_0-1,navigate,57,0,0.0000
logs/tomato/scene_03_step50/thres_0-1,pick,52,1,0.0192
logs/tomato/scene_03_step50/thres_0-1,place,13,0,0.0000
logs/tomato/scene_03_step50/thres_0-1,scan,20,0,0.0000
logs/tomato/scene_03_step50/thres_0-1,ALL,184,1,0.0054
logs/tomato/scene_04_step50/thres_0-1,detect,38,0,0.0000
logs/tomato/scene_04_step50/thres_0-1,discard,11,0,0.0000
logs/tomato/scene_04_step50/thres_0-1,navigate,77,0,0.0000
logs/tomato/scene_04_step50/thres_0-1,pick,53,3,0.0566
logs/tomato/scene_04_step50/thres_0-1,place,9,0,0.0000
logs/tomato/scene_04_step50/thres_0-1,scan,20,0,0.0000
logs/tomato/scene_04_step50/thres_0-1,ALL,208,3,0.0144
logs/tomato/scene_05_step50/thres_0-1,detect,44,0,0.0000
logs/tomato/scene_05_step50/thres_0-1,discard,10,0,0.0000
logs/tomato/scene_05_step50/thres_0-1,navigate,76,0,0.0000
logs/tomato/scene_05_step50/thres_0-1,pick,60,5,0.0833
logs/tomato/scene_05_step50/thres_0-1,place,19,0,0.0000
logs/tomato/scene_05_step50/thres_0-1,scan,29,0,0.0000
logs/tomato/scene_05_step50/thres_0-1,ALL,238,5,0.0210
TOTAL,detect,156,0,0.0000
TOTAL,discard,32,0,0.0000
TOTAL,navigate,278,0,0.0000
TOTAL,pick,220,13,0.0591
TOTAL,place,57,0,0.0000
TOTAL,scan,90,0,0.0000
TOTAL,ALL,833,13,0.0156
