run,logs/tomato/scene_01_step50/thres_0-1,logs/tomato/scene_02_step50/thres_0-1,logs/tomato/scene_03_step50/thres_0-1,logs/tomato/scene_04_step50/thres_0-1,logs/tomato/scene_05_step50/thres_0-1
1,,3,7,5,3
2,,5,6,10,9
3,,5,3,3,11
4,,3,6,6,10
5,,5,6,3,9
6,,4,3,3,3
7,,4,10,9,7
8,,6,3,7,4
9,,3,13,3,5
10,,5,6,3,8
11,,4,7,8,18
12,,6,3,3,8
13,,9,10,5,7
14,,7,4,3,3
15,,7,3,9,6
16,,10,7,3,6
17,,6,3,3,6
18,,4,6,6,9
19,,5,6,3,6
20,,6,8,11,6
21,,6,4,6,9
22,,12,3,3,4
23,,6,3,13,6
24,,6,5,3,3
25,,3,3,4,7
26,,5,8,3,3
27,,8,9,13,6
28,,3,3,10,3
29,,3,5,9,6
30,,6,3,4,3
31,,3,9,3,5
32,,6,3,3,6
33,,6,6,15,6
34,,3,,3,8
35,,3,,7,11
36,,3,,3,8
37,,3,,,
38,,8,,,
39,,3,,,
95% confidence interval,,4.5290~5.8813,4.6770~6.4746,4.6325~6.9231,5.6164~7.6059
average step,,5.2051,5.5758,5.7778,6.6111
