run,logs/tomato/scene_01_step50/thres_0-1,logs/tomato/scene_02_step50/thres_0-1,logs/tomato/scene_03_step50/thres_0-1,logs/tomato/scene_04_step50/thres_0-1,logs/tomato/scene_05_step50/thres_0-1
1,,0,0,0,0
2,,0,0,0,0
3,,0,0,0,1
4,,0,0,0,0
5,,0,0,0,0
6,,0,0,0,0
7,,0,0,0,0
8,,0,0,0,0
9,,0,0,0,0
10,,1,0,0,1
11,,0,0,0,0
12,,0,0,0,0
13,,0,0,0,0
14,,0,0,0,0
15,,0,0,0,0
16,,0,0,0,0
17,,0,0,0,0
18,,0,0,1,0
19,,1,0,0,0
20,,0,1,0,0
21,,0,0,0,1
22,,1,0,0,0
23,,0,0,0,0
24,,0,0,0,0
25,,0,0,0,0
26,,1,0,0,0
27,,0,0,0,0
28,,0,0,0,0
29,,0,0,0,0
30,,0,0,0,0
31,,0,0,0,0
32,,0,0,0,0
33,,0,0,1,0
34,,0,,0,1
35,,0,,1,0
36,,0,,0,1
37,,0,,,
38,,0,,,
39,,0,,,
95% confidence interval,,0.0061~0.1990,-0.0291~0.0897,-0.0082~0.1749,0.0243~0.2535
average question,,0.1026,0.0303,0.0833,0.1389
