domain,baseline,comparison,paired_n,success_difference_pp,improved_pairs,worsened_pairs,mcnemar_exact_p
wastesorting,KnowNo,Ours,200,64.0,128,0,5.8774718e-39
wastesorting,IntroPlan,Ours,200,69.5,139,0,2.8698593e-42
wastesorting,Query-Action POMCP,Ours,200,11.0,22,0,4.7683716e-07
wastesorting,KnowNo,IntroPlan,200,-5.5,5,16,0.026603699
tomato,KnowNo,Ours,200,56.0,113,1,1.1074097e-32
tomato,IntroPlan,Ours,200,42.5,86,1,1.1373733e-24
tomato,Query-Action POMCP,Ours,200,44.5,90,1,7.4317008e-26
tomato,KnowNo,IntroPlan,200,13.5,37,10,9.8488785e-05
