run,logs/wastesorting/scene_01_step50/thres_0-9,logs/wastesorting/scene_02_step50/thres_0-9,logs/wastesorting/scene_03_step50/thres_0-9,logs/wastesorting/scene_04_step50/thres_0-9,logs/wastesorting/scene_05_step50/thres_0-9
1,10,13,9,9,12
2,12,10,10,13,11
3,11,10,13,3,11
4,11,12,12,3,9
5,10,11,15,12,9
6,16,10,12,14,10
7,15,13,9,9,14
8,10,9,9,9,15
9,9,14,11,12,9
10,11,14,9,11,12
11,12,15,10,17,13
12,16,10,9,9,9
13,11,11,10,10,10
14,18,9,9,11,12
15,10,10,11,9,11
16,9,13,10,9,9
17,11,17,17,11,9
18,10,12,14,13,9
19,12,15,11,10,11
20,9,9,12,9,11
21,13,14,18,12,13
22,9,12,11,9,14
23,13,13,13,9,12
24,15,9,13,10,11
25,9,10,9,11,9
26,11,11,10,10,13
27,13,14,5,10,11
28,13,10,20,9,11
29,11,21,9,9,10
30,3,13,14,9,16
31,13,10,10,9,11
32,9,11,12,10,10
33,9,9,12,14,14
34,14,10,3,17,9
35,13,9,10,5,14
36,10,3,10,10,9
37,16,9,12,13,16
38,11,13,3,9,14
39,15,11,9,15,13
40,18,10,12,10,12
95% confidence interval,10.8722~12.6778,10.5818~12.3682,9.8998~11.9502,9.4225~11.2275,10.8070~12.0930
average step,11.7750,11.4750,10.9250,10.3250,11.4500
