run,logs/wastesorting/scene_01_step50/thres_0-9,logs/wastesorting/scene_02_step50/thres_0-9,logs/wastesorting/scene_03_step50/thres_0-9,logs/wastesorting/scene_04_step50/thres_0-9,logs/wastesorting/scene_05_step50/thres_0-9
1,9.1143,12.031,8.3277,8.7044,10.595
2,10.9314,9.4634,8.9161,11.4692,10.1572
3,9.8378,8.8875,11.4502,2.7987,9.9697
4,10.042,10.4407,10.7826,2.7914,8.4865
5,9.1461,10.2705,12.8116,10.9188,8.4133
6,14.1133,8.7719,10.8207,12.4449,8.8496
7,13.0512,11.2801,8.004,8.1898,12.5521
8,8.7576,8.0428,7.9087,8.1862,13.0997
9,8.1944,12.1109,9.6795,10.4864,8.2924
10,9.8469,12.2622,8.1815,10.1867,10.7359
11,10.8823,13.2101,8.8222,15.3257,11.4475
12,14.0766,9.3511,7.9811,8.3082,8.2847
13,9.9217,9.7584,9.1481,8.7817,9.5555
14,15.9915,8.3833,8.1911,9.9484,11.1278
15,8.9444,9.1002,9.5879,8.4967,9.9466
16,8.0243,11.2472,8.787,8.0475,8.0065
17,9.9164,14.8097,15.0158,9.959,8.3412
18,9.1303,10.8562,12.1159,12.1897,8.2252
19,10.8181,13.4538,9.5636,9.18,9.9011
20,8.1225,8.1224,10.7051,8.648,10.0859
21,10.9673,12.1724,15.9396,10.5643,11.3818
22,8.2519,10.8056,9.7135,8.0204,11.6811
23,11.9917,10.724,11.431,7.8947,10.7584
24,13.5787,8.2048,11.3064,8.7369,9.6561
25,8.3397,8.639,8.2801,9.7926,8.5801
26,9.7958,10.1229,9.2419,9.21,11.3704
27,11.4937,12.8411,4.2698,9.267,10.4495
28,11.7805,9.2651,17.4174,7.7922,10.0689
29,9.3189,17.6097,8.1198,8.2591,9.2735
30,2.6758,11.6552,12.1945,7.9651,14.3833
31,11.7249,9.2337,9.1354,7.9636,9.8405
32,8.1404,9.9281,10.5134,9.4174,9.0645
33,8.5433,8.4241,10.617,12.7679,12.885
34,11.7121,9.2731,2.7732,14.6105,8.8658
35,11.9002,8.1296,8.7535,4.5066,12.5519
36,9.4056,2.8318,9.17,9.1343,8.0828
37,14.2275,8.0399,9.9991,11.9812,14.4441
38,9.9706,10.9244,2.7766,8.6492,12.4371
39,13.1757,10.0935,8.0626,13.8079,11.7193
40,15.9897,8.6194,11.0789,8.9416,10.6462
95% confidence interval,9.7660~11.3263,9.4976~10.9720,8.8071~10.5726,8.5582~10.1590,9.8198~10.8909
average elapsed time,10.5462,10.2348,9.6899,9.3586,10.3553
