run,logs/wastesorting/scene_01_step50/thres_0-9,logs/wastesorting/scene_02_step50/thres_0-9,logs/wastesorting/scene_03_step50/thres_0-9,logs/wastesorting/scene_04_step50/thres_0-9,logs/wastesorting/scene_05_step50/thres_0-9
1,5,12,5,8,7
2,14,6,7,13,11
3,10,8,12,6,8
4,8,12,10,4,5
5,6,9,15,10,5
6,16,7,10,14,6
7,12,12,6,6,14
8,7,4,7,6,14
9,4,14,8,12,5
10,10,14,6,9,8
11,10,17,7,16,11
12,18,8,6,5,5
13,8,13,7,9,5
14,14,5,7,7,8
15,5,6,10,5,7
16,5,10,6,6,6
17,6,16,15,7,7
18,8,8,13,15,5
19,8,12,7,5,10
20,4,6,10,4,8
21,15,11,15,10,10
22,4,12,7,5,12
23,10,8,16,5,10
24,13,4,14,8,10
25,7,8,4,8,6
26,8,8,6,5,13
27,10,12,6,7,14
28,11,5,18,5,7
29,9,20,7,4,8
30,5,10,14,5,14
31,11,8,6,5,7
32,4,12,9,6,7
33,4,6,10,11,12
34,13,9,5,13,5
35,10,5,10,4,12
36,6,5,6,5,4
37,14,5,8,12,13
38,8,10,4,5,14
39,10,8,4,13,9
40,17,6,9,6,9
95% confidence interval,7.9699~10.3801,8.1070~10.4430,7.6571~9.9429,6.6584~8.7916,7.7988~9.7512
average question,9.1750,9.2750,8.8000,7.7250,8.7750
