run,logs/tomato/scene_01_step50/thres_0-2,logs/tomato/scene_02_step50/thres_0-2,logs/tomato/scene_03_step50/thres_0-2,logs/tomato/scene_04_step50/thres_0-2,logs/tomato/scene_05_step50/thres_0-2
1,2,3,0,4,4
2,3,3,3,4,3
3,3,2,2,4,3
4,4,3,1,4,3
5,1,4,4,2,4
6,5,2,3,3,3
7,2,1,3,0,2
8,3,4,9,4,4
9,4,4,2,3,3
10,3,4,3,3,3
11,0,3,5,2,2
12,0,3,5,3,2
13,2,1,2,3,1
14,3,9,5,3,2
15,3,3,1,3,3
16,3,5,4,3,3
17,2,3,4,3,3
18,2,2,4,4,8
19,4,0,1,2,3
20,1,9,3,5,3
21,1,2,5,3,3
22,3,3,4,3,1
23,3,3,3,2,4
24,4,3,2,2,5
25,5,4,4,4,3
26,3,2,4,4,3
27,0,4,5,3,3
28,4,5,3,3,3
29,3,5,1,3,3
30,2,4,2,4,3
31,4,1,3,3,4
32,5,3,3,3,3
33,4,4,1,3,4
34,3,2,3,3,2
35,4,1,4,4,0
36,3,3,3,1,2
37,4,6,13,0,3
38,4,4,3,3,4
39,2,4,3,4,3
40,2,2,4,3,3
95% confidence interval,2.4165~3.2335,2.7575~3.8925,2.7378~4.1122,2.6784~3.3216,2.6439~3.4061
average question,2.8250,3.3250,3.4250,3.0000,3.0250
