run,logs/tomato/scene_01_step50/thres_0-2,logs/tomato/scene_02_step50/thres_0-2,logs/tomato/scene_03_step50/thres_0-2,logs/tomato/scene_04_step50/thres_0-2,logs/tomato/scene_05_step50/thres_0-2
1,10.0,5.0,0.0,5.0,5.0
2,10.0,5.0,10.0,10.0,5.0
3,15.0,10.0,5.0,10.0,15.0
4,10.0,5.0,0.0,10.0,10.0
5,0.0,0.0,20.0,5.0,0.0
6,5.0,10.0,15.0,5.0,10.0
7,0.0,0.0,5.0,0.0,0.0
8,15.0,5.0,5.0,10.0,15.0
9,5.0,20.0,5.0,10.0,10.0
10,0.0,10.0,5.0,10.0,0.0
11,0.0,10.0,10.0,10.0,0.0
12,0.0,5.0,10.0,10.0,0.0
13,5.0,0.0,10.0,5.0,5.0
14,15.0,10.0,10.0,10.0,10.0
15,10.0,5.0,0.0,10.0,10.0
16,5.0,5.0,10.0,0.0,15.0
17,10.0,10.0,10.0,0.0,0.0
18,5.0,10.0,10.0,0.0,0.0
19,10.0,0.0,0.0,10.0,5.0
20,5.0,10.0,5.0,10.0,5.0
21,5.0,5.0,5.0,5.0,5.0
22,5.0,5.0,5.0,10.0,5.0
23,5.0,10.0,10.0,5.0,15.0
24,5.0,5.0,5.0,0.0,15.0
25,5.0,5.0,5.0,15.0,10.0
26,10.0,5.0,0.0,15.0,10.0
27,0.0,5.0,5.0,5.0,0.0
28,15.0,15.0,5.0,5.0,5.0
29,15.0,15.0,0.0,5.0,0.0
30,0.0,15.0,0.0,5.0,10.0
31,5.0,5.0,10.0,5.0,5.0
32,5.0,5.0,0.0,5.0,5.0
33,10.0,15.0,5.0,0.0,15.0
34,0.0,5.0,5.0,5.0,5.0
35,10.0,5.0,15.0,15.0,0.0
36,10.0,10.0,15.0,0.0,10.0
37,10.0,10.0,5.0,0.0,5.0
38,10.0,10.0,5.0,5.0,15.0
39,10.0,5.0,5.0,10.0,10.0
40,10.0,0.0,10.0,5.0,10.0
95% confidence interval,5.5196~8.4804,5.8053~8.6947,5.0030~7.9970,5.1320~7.8680,5.2409~8.5091
average reward,7.0000,7.2500,6.5000,6.5000,6.8750
