run,logs/tomato/scene_01_step50/thres_0-2,logs/tomato/scene_02_step50/thres_0-2,logs/tomato/scene_03_step50/thres_0-2,logs/tomato/scene_04_step50/thres_0-2,logs/tomato/scene_05_step50/thres_0-2
1,0,1,0,0,0
2,0,0,1,0,1
3,0,0,0,0,0
4,1,1,0,0,0
5,0,1,0,0,0
6,0,0,1,0,0
7,0,0,0,0,0
8,0,0,0,0,0
9,0,0,0,1,0
10,1,0,1,1,0
11,0,1,0,0,0
12,0,0,0,0,0
13,0,0,0,1,0
14,0,0,0,1,0
15,0,1,0,1,0
16,1,0,0,1,0
17,0,1,0,1,1
18,0,0,0,0,0
19,0,0,0,0,1
20,0,0,0,0,1
21,0,0,0,0,1
22,0,1,0,0,0
23,1,0,1,0,0
24,0,1,1,0,0
25,0,0,0,0,1
26,0,0,0,0,1
27,0,0,0,0,1
28,0,0,0,0,0
29,1,0,0,0,0
30,0,0,0,0,0
31,0,0,1,0,0
32,0,1,0,0,0
33,0,0,0,1,0
34,0,0,0,1,0
35,0,0,0,0,0
36,0,1,1,0,0
37,0,0,0,0,0
38,0,0,1,0,0
39,0,0,1,0,1
40,0,0,0,0,0
95% confidence interval,0.0212~0.2288,0.1141~0.3859,0.0939~0.3561,0.0939~0.3561,0.0939~0.3561
success rate,0.1250,0.2500,0.2250,0.2250,0.2250
