조건,도메인,P002,,,,,,,,P005,,,,,,,,P006,,,,,,,,P007,,,,,,,
,,조작성공률 (%),조작시간 (s),SAGAT1,SAGAT2,SAGAT3,Fatigue,NASA-RTLX,SART,조작성공률 (%),조작시간 (s),SAGAT1,SAGAT2,SAGAT3,Fatigue,NASA-RTLX,SART,조작성공률 (%),조작시간 (s),SAGAT1,SAGAT2,SAGAT3,Fatigue,NASA-RTLX,SART,조작성공률 (%),조작시간 (s),SAGAT1,SAGAT2,SAGAT3,Fatigue,NASA-RTLX,SART
C1: All,Waste,100,32,1,0,0,1,1,3.5,100,31,1,0,0.5,2,1.5,4.2,100,14,1,1,0.5,1,2.83333,1.6,100,27,1,1,0.5,1,1,2.1
,Tomato,100,33,1,0,1,1,1.16667,3.9,0,15,1,0.5,0.5,3,1.66667,4.3,100,32,1,0,1,1,1.83333,1.7,100,31,0.5,1,0.5,1,1.33333,2
C2: No,Waste,,0,1,0,0.5,2,1,3.3,,1,1,0,1,1,1.5,3.6,,1,1,0,1,1,1.16667,2.5,,0,1,1,0.5,2,1,2.2
,Tomato,,0,1,0,1,1,1,3.2,,0,0.5,0.5,0.5,1,1.33333,4,,0,0.5,0,1,1,1.5,3.6,,0,1,0.5,1,2,1.16667,2
C3: Ours1,Waste,100,14,1,0.5,1,1,1.33333,3.7,100,10,1,0.5,0.5,3,1.66667,4.1,100,18,1,0.5,1,2,1.5,2.8,100,5,1,1,1,1,1,2
,Tomato,100,28,1,0.5,1,1,1.16667,3.7,100,34,0.5,0.5,1,2,1.5,4.2,100,17,0.5,0.5,1,2,1.66667,1.7,0,,0.5,1,0.5,2,1,2.1
C4: Ours2,Waste,100,13,1,0,0.5,1,1,3.4,100,5,1,0,0.5,2,1.66667,3.8,100,18,0.5,0,0.5,1,1.16667,1.8,100,6,0.5,0,0.5,2,1,2.2
,Tomato,100,12,0.5,0,1,1,1,3.2,0,20,0.5,0.5,1,1,1.5,4.1,100,30,1,0.5,1,1,1.83333,2.6,100,13,0.5,0,1,2,1.16667,2
C5: KnowNo,Waste,0,15,1,0,0.5,1,1,3.4,0,27,0.5,1,1,3,2.33333,4.3,0,32,0.5,0,0,3,1.66667,2,0,27,1,0.5,1,1,1.33333,1.8
,Tomato,100,27,1,0.5,0.5,1,1.5,3.3,100,17,0.5,0.5,0.5,2,1.5,3.8,100,19,0.5,0.5,0.5,1,1.66667,2,100,10,0.5,0.5,1,1,1,1.4


조건,도메인,P009,,,,,,,,P012,,,,,,,
,,조작성공률 (%),조작시간 (s),SAGAT1,SAGAT2,SAGAT3,Fatigue,NASA-RTLX,SART,조작성공률 (%),조작시간 (s),SAGAT1,SAGAT2,SAGAT3,Fatigue,NASA-RTLX,SART
C1: All,Waste,100,19,1,0,0,5,2.33333,2.5,100,15,1,0,0.5,3,2.16667,3.3
,Tomato,100,24,1,0.5,0.5,5,2.16667,2.4,0,32,1,0.5,0,2,2.16667,3.3
C2: No,Waste,,0,0.5,0.5,1,4,1.83333,3.2,,2,1,0,1,1,1.16667,3.3
,Tomato,,0,0.5,0,1,5,2.33333,2.8,,3,1,1,1,2,1.16667,3.2
C3: Ours1,Waste,100,3,0.5,0.5,1,5,2.5,2.8,100,17,0,1,1,5,3.66667,3.7
,Tomato,100,11,0.5,0.5,0.5,5,2,1.7,0,40,0.5,0.5,1,1,1.5,3.3
C4: Ours2,Waste,100,12,1,0,0.5,5,2.33333,2.9,100,9,1,0.5,0,5,2.83333,3.9
,Tomato,100,3,1,0,1,5,1.83333,2.4,0,20,0.5,0,1,3,1.66667,3.2
C5: KnowNo,Waste,0,13,0.5,1,0,6,3.33333,3.2,0,47,1,0,0,5,4,4.3
,Tomato,100,5,0.5,0.5,0.5,6,1.33333,1.8,100,14,0.5,0.5,1,3,1.83333,3.2


조건,도메인,P_ALL,,,,,,,,,P_ALL_outlier_removed,,,,,,,
,,조작성공률 (%),조작시간 (s),SAGAT1,SAGAT2,SAGAT3,Fatigue,NASA-RTLX,SART,,조작성공률 (%),조작시간 (s),SAGAT1,SAGAT2,SAGAT3,Fatigue,NASA-RTLX,SART
C1: All,Waste,100,23,1,0.333333,0.333333,2.16667,1.80556,2.86667,,100,23,1,0.25,0.375,1.75,1.75,2.85
,Tomato,66.67,27.83,0.916667,0.416667,0.583333,2.16667,1.72222,2.93333,,75,29.75,1,0.375,0.625,1.75,1.75,2.9
C2: No,Waste,,0.67,0.916667,0.25,0.833333,1.83333,1.27778,3.01667,,,0.5,1,0.125,0.875,1.5,1.20833,3.075
,Tomato,,0.5,0.75,0.333333,0.916667,2,1.41667,3.13333,,,0,0.75,0.25,1,1.5,1.29167,3.2
C3: Ours1,Waste,100,11.17,0.75,0.666667,0.916667,2.83333,1.94444,3.18333,,100,11.5,0.875,0.625,1,2.75,1.75,3.25
,Tomato,66.67,26,0.583333,0.583333,0.833333,2.16667,1.47222,2.78333,,75,26.33,0.5,0.5,0.875,1.75,1.45833,2.7
C4: Ours2,Waste,100,10.5,0.833333,0.0833333,0.416667,2.66667,1.66667,3,,100,10,0.875,0,0.5,2.5,1.54167,3.075
,Tomato,66.67,16.33,0.666667,0.166667,1,2.16667,1.5,2.91667,,75,16.25,0.625,0.125,1,1.75,1.54167,2.85
C5: KnowNo,Waste,0,26.83,0.75,0.416667,0.416667,3.16667,2.27778,3.16667,,0,25.25,0.75,0.375,0.375,3,2.16667,3.225
,Tomato,100,15.33,0.583333,0.5,0.666667,2.33333,1.47222,2.58333,,100,15,0.5,0.5,0.625,1.75,1.5,2.575
