run,logs/wastesorting/scene_01_step50/thres_1-0,logs/wastesorting/scene_02_step50/thres_1-0,logs/wastesorting/scene_03_step50/thres_1-0,logs/wastesorting/scene_04_step50/thres_1-0,logs/wastesorting/scene_05_step50/thres_1-0
1,20.0,5.0,20.0,20.0,25.0
2,20.0,25.0,0.0,10.0,25.0
3,15.0,0.0,5.0,15.0,0.0
4,20.0,15.0,20.0,15.0,15.0
5,20.0,25.0,25.0,10.0,0.0
6,20.0,15.0,15.0,0.0,25.0
7,15.0,20.0,15.0,25.0,0.0
8,5.0,10.0,10.0,25.0,20.0
9,10.0,20.0,30.0,20.0,10.0
10,10.0,0.0,20.0,20.0,20.0
11,25.0,30.0,25.0,15.0,25.0
12,25.0,20.0,20.0,20.0,25.0
13,5.0,5.0,25.0,15.0,25.0
14,20.0,20.0,20.0,20.0,15.0
15,25.0,20.0,0.0,20.0,20.0
16,20.0,25.0,25.0,20.0,20.0
17,10.0,25.0,25.0,25.0,10.0
18,15.0,20.0,20.0,20.0,30.0
19,20.0,15.0,20.0,10.0,10.0
20,10.0,20.0,5.0,15.0,10.0
21,20.0,15.0,20.0,15.0,10.0
22,15.0,20.0,5.0,10.0,10.0
23,20.0,20.0,20.0,20.0,5.0
24,15.0,20.0,0.0,30.0,25.0
25,20.0,20.0,15.0,20.0,25.0
26,20.0,15.0,10.0,15.0,30.0
27,25.0,5.0,20.0,20.0,15.0
28,25.0,0.0,10.0,25.0,20.0
29,20.0,25.0,30.0,25.0,15.0
30,25.0,20.0,30.0,25.0,15.0
31,15.0,20.0,20.0,25.0,20.0
32,10.0,10.0,30.0,15.0,20.0
33,0.0,0.0,25.0,15.0,20.0
34,15.0,30.0,15.0,25.0,15.0
35,20.0,15.0,30.0,10.0,20.0
36,20.0,5.0,0.0,15.0,0.0
37,20.0,15.0,25.0,15.0,5.0
38,20.0,5.0,25.0,5.0,15.0
39,0.0,25.0,5.0,10.0,15.0
40,0.0,15.0,25.0,25.0,20.0
41,5.0,,,,
42,20.0,,,,
95% confidence interval,14.0309~18.3500,13.2518~18.4982,14.7317~20.5183,15.6404~19.6096,13.6774~18.8226
average reward,16.1905,15.8750,17.6250,17.6250,16.2500
