run,logs/wastesorting/scene_01_step50/thres_1-0,logs/wastesorting/scene_02_step50/thres_1-0,logs/wastesorting/scene_03_step50/thres_1-0,logs/wastesorting/scene_04_step50/thres_1-0,logs/wastesorting/scene_05_step50/thres_1-0
1,12,19,15,16,12
2,22,15,8,15,16
3,15,14,16,14,8
4,13,18,13,13,13
5,18,28,12,23,7
6,12,13,18,15,12
7,18,18,18,15,12
8,14,18,12,20,16
9,13,20,19,13,8
10,13,16,16,18,14
11,12,14,17,16,14
12,14,12,18,12,12
13,17,16,15,18,17
14,16,19,17,16,18
15,24,12,7,18,12
16,13,12,14,16,13
17,14,18,16,12,16
18,15,14,22,14,18
19,13,13,17,12,16
20,16,16,21,16,27
21,24,14,13,18,13
22,19,18,13,16,13
23,14,12,19,18,6
24,13,16,6,19,16
25,13,16,27,15,12
26,14,15,15,15,16
27,13,15,18,16,14
28,12,6,9,18,15
29,17,14,19,12,14
30,13,12,12,12,14
31,13,24,16,15,12
32,25,12,16,16,12
33,16,8,22,14,23
34,15,21,16,25,16
35,25,13,14,13,18
36,16,9,13,12,12
37,17,20,18,12,13
38,15,9,14,14,19
39,18,14,12,23,13
40,6,12,31,13,13
41,17,,,,
42,15,,,,
95% confidence interval,14.3932~16.7497,13.8117~16.4383,14.3604~17.3396,14.7145~16.6855,12.9213~15.3287
average question,15.5714,15.1250,15.8500,15.7000,14.1250
