domain,scene,file,timestamp,model,prompt_version,seed,qhat,success,stop_reason,planning_length,planning_iterations,question_count,autonomous_action_count,fallback_in_prediction_count,action_failure_count,average_candidate_count,average_candidate_count_when_asked,average_prediction_set_size,average_prediction_set_size_when_asked,total_elapsed_seconds,token_generation,token_scoring,token_overall
wastesorting,scene_02,scripts/baseline/logs/waste/scene_02/knowno_wastesorting_20260616_152030.txt,2026-06-16 15:20:30,gpt-4o,v2,628840494,0.92,True,success,9,9,0,9,0,0,5.0,0.0,1.0,0.0,14.46921226500126,6930,2053,8983
wastesorting,scene_02,scripts/baseline/logs/waste/scene_02/knowno_wastesorting_20260616_160702.txt,2026-06-16 16:07:02,gpt-4o,v2,2329865345,0.92,True,success,10,10,3,7,0,0,5.0,5.0,1.4,2.3333333333333335,20.89477391600667,7867,2452,10319
wastesorting,scene_02,scripts/baseline/logs/waste/scene_02/knowno_wastesorting_20260616_160727.txt,2026-06-16 16:07:27,gpt-4o,v2,4143312831,0.92,False,Dead-end: true can waste waste1 was placed into paper bin.,3,3,0,3,0,0,5.0,0.0,1.0,0.0,4.180728356004693,2311,687,2998
wastesorting,scene_02,scripts/baseline/logs/waste/scene_02/knowno_wastesorting_20260616_160734.txt,2026-06-16 16:07:34,gpt-4o,v2,4253111140,0.92,True,success,11,11,3,8,0,0,5.0,5.0,1.3636363636363635,2.3333333333333335,24.475802608008962,8690,2732,11422
wastesorting,scene_02,scripts/baseline/logs/waste/scene_02/knowno_wastesorting_20260616_160802.txt,2026-06-16 16:08:02,gpt-4o,v2,1537321354,0.92,False,Dead-end: true paper waste waste3 was placed into plastic bin.,8,8,4,4,0,0,5.0,5.0,1.5,2.0,24.242544039996574,6277,1944,8221
wastesorting,scene_02,scripts/baseline/logs/waste/scene_02/knowno_wastesorting_20260616_160829.txt,2026-06-16 16:08:29,gpt-4o,v2,3180050014,0.92,True,success,10,10,3,7,0,0,5.0,5.0,1.3,2.0,24.232032590996823,7893,2477,10370
wastesorting,scene_02,scripts/baseline/logs/waste/scene_02/knowno_wastesorting_20260616_160856.txt,2026-06-16 16:08:56,gpt-4o,v2,259965771,0.92,False,invalid place without held object,5,6,2,4,0,0,5.0,5.0,1.5,2.5,19.170154747989727,4688,1439,6127
wastesorting,scene_02,scripts/baseline/logs/waste/scene_02/knowno_wastesorting_20260616_160923.txt,2026-06-16 16:09:23,gpt-4o,v2,2659356492,0.92,True,success,11,11,6,5,0,0,5.0,5.0,1.5454545454545454,2.0,24.58530880199396,8703,2745,11448
wastesorting,scene_02,scripts/baseline/logs/waste/scene_02/knowno_wastesorting_20260616_160950.txt,2026-06-16 16:09:50,gpt-4o,v2,979685244,0.92,True,success,10,10,5,5,0,0,5.0,5.0,1.5,2.0,22.58003923400247,7891,2474,10365
wastesorting,scene_02,scripts/baseline/logs/waste/scene_02/knowno_wastesorting_20260616_161016.txt,2026-06-16 16:10:16,gpt-4o,v2,3163582602,0.92,False,Dead-end: true paper waste waste3 was placed into can bin.,5,5,2,3,0,0,5.0,5.0,1.4,2.0,18.923505462997127,3891,1183,5074
