domain,scene,run_count,parsed_log_count,success_count,failure_count,success_probability,success_planning_length_mean,success_planning_length_std,failure_planning_length_mean,failure_planning_length_std,overall_planning_length_mean,overall_planning_length_std,planning_iterations_mean,question_count_mean,question_count_std,query_probability_per_step,fallback_in_prediction_mean,action_failure_mean,avg_candidate_count_mean,avg_candidate_count_when_asked_mean,avg_prediction_set_size_mean,avg_prediction_set_size_when_asked_mean,elapsed_seconds_mean,token_overall_mean,prompt_versions,models,qhat_values,top_stop_reasons,first_timestamp,last_timestamp
wastesorting,scene_01,20,20,5,15,0.250000,9.000000,0.000000,5.933333,2.404361,6.700000,2.473012,6.700000,1.450000,1.145931,0.216418,0.050000,0.000000,5.000000,5.000000,1.264008,2.379310,16.767665,6749.350000,v2 (20),gpt-4o (20),0.92 (20),success (5); Dead-end: true paper waste waste1 was placed into general bin. (3); Dead-end: true paper waste waste1 was placed into plastic bin. (3),2026-06-16 15:59:49,2026-06-16 16:06:31
wastesorting,scene_02,20,20,11,9,0.550000,10.181818,0.603023,4.888889,2.027588,7.800000,3.036619,7.850000,2.600000,1.759186,0.333333,0.000000,0.000000,5.000000,5.000000,1.360844,2.153846,19.680166,8079.400000,v2 (20),gpt-4o (20),0.92 (20),success (11); Dead-end: true paper waste waste3 was placed into can bin. (2); Dead-end: true can waste waste1 was placed into general bin. (2),2026-06-16 15:20:30,2026-06-17 13:39:03
wastesorting,scene_03,20,20,9,11,0.450000,10.000000,0.500000,4.727273,2.195036,7.100000,3.143916,7.100000,1.800000,1.105013,0.253521,0.000000,0.000000,5.000000,5.000000,1.294113,2.111111,16.687527,7271.850000,v2 (20),gpt-4o (20),0.92 (20),success (9); Dead-end: true plastic waste waste2 was placed into paper bin. (3); Dead-end: true plastic waste waste1 was placed into paper bin. (3),2026-06-16 15:45:02,2026-06-17 13:41:35
wastesorting,scene_04,20,20,9,11,0.450000,10.444444,0.726483,5.272727,3.068906,7.600000,3.485308,7.650000,1.950000,1.503505,0.256579,0.050000,0.000000,5.000000,5.000000,1.283106,2.128205,20.460212,7917.450000,v2 (20),gpt-4o (20),0.92 (20),success (9); Dead-end: true paper waste waste2 was placed into plastic bin. (3); Dead-end: true general waste waste4 was placed into paper bin. (2),2026-06-16 15:47:21,2026-06-16 16:25:11
wastesorting,scene_05,23,23,9,14,0.391304,10.000000,0.000000,5.714286,2.867016,7.391304,3.070966,7.434783,2.391304,1.269901,0.323529,0.000000,0.000000,5.000000,5.000000,1.346981,2.036364,26.829074,7684.956522,v2 (23),gpt-4o (23),0.92 (23),success (9); Dead-end: true paper waste waste1 was placed into can bin. (3); Dead-end: true paper waste waste2 was placed into general bin. (2),2026-06-16 15:52:42,2026-06-17 13:49:23
wastesorting,total,103,103,43,60,0.417476,10.023256,0.635774,5.383333,2.525072,7.320388,3.023482,7.349515,2.048544,1.409899,0.279841,0.019417,0.000000,5.000000,5.000000,1.310893,2.142180,20.281360,7544.805825,v2 (103),gpt-4o (103),0.92 (103),success (43); Dead-end: true paper waste waste1 was placed into general bin. (6); Dead-end: true paper waste waste1 was placed into can bin. (5),2026-06-16 15:20:30,2026-06-17 13:49:23
