run,logs/tomato/scene_01_step50/thres_1-0,logs/tomato/scene_02_step50/thres_1-0,logs/tomato/scene_03_step50/thres_1-0,logs/tomato/scene_04_step50/thres_1-0,logs/tomato/scene_05_step50/thres_1-0
1,50,20,19,22,17
2,21,19,14,41,19
3,30,19,30,36,19
4,48,22,22,25,30
5,31,19,22,18,16
6,22,20,19,25,20
7,20,17,17,19,35
8,14,22,22,19,22
9,20,29,16,23,16
10,22,18,28,23,28
11,18,24,20,22,35
12,20,19,17,21,19
13,28,15,22,22,19
14,19,17,22,24,25
15,23,30,16,18,18
16,13,18,38,21,42
17,29,24,13,17,31
18,15,15,19,50,23
19,23,50,18,24,22
20,18,18,25,25,17
21,33,16,40,15,29
22,21,20,23,23,20
23,35,17,19,20,21
24,18,25,13,29,26
25,14,34,41,43,18
26,29,24,24,16,21
27,23,50,19,25,19
28,23,17,21,18,17
29,27,15,50,38,19
30,30,27,24,22,19
31,20,15,33,17,20
32,18,19,19,23,20
33,31,19,7,31,20
34,22,39,35,21,25
35,31,15,21,28,22
36,17,19,17,29,18
37,29,15,24,26,19
38,19,39,22,39,17
39,27,16,22,36,31
40,21,14,15,35,26
95% confidence interval,21.8037~26.7963,19.4873~25.0127,20.0553~25.3447,23.1830~28.2670,20.6406~24.3594
average step,24.3000,22.2500,22.7000,25.7250,22.5000
