run,logs/tomato/scene_01_step50/thres_1-0,logs/tomato/scene_02_step50/thres_1-0,logs/tomato/scene_03_step50/thres_1-0,logs/tomato/scene_04_step50/thres_1-0,logs/tomato/scene_05_step50/thres_1-0
1,121,33,34,39,27
2,43,37,21,95,40
3,51,31,54,72,28
4,115,35,36,55,66
5,66,29,35,33,29
6,37,45,33,48,39
7,31,30,25,28,78
8,21,39,50,35,41
9,30,62,23,36,26
10,37,30,48,44,52
11,26,52,33,42,64
12,28,36,27,33,38
13,52,21,42,50,31
14,30,27,35,35,49
15,53,73,31,28,28
16,19,30,92,47,77
17,60,49,20,26,70
18,21,29,35,76,29
19,31,125,31,41,44
20,28,30,55,43,29
21,65,27,93,27,64
22,38,40,51,49,33
23,67,29,33,31,32
24,31,43,21,71,43
25,21,75,83,88,30
26,57,37,45,32,40
27,34,78,33,44,27
28,43,25,38,32,30
29,50,28,72,83,42
30,63,52,40,37,32
31,28,23,64,27,32
32,30,26,27,43,36
33,56,38,16,67,30
34,36,76,82,36,44
35,45,28,42,48,34
36,26,34,30,48,32
37,49,27,41,50,36
38,33,78,39,83,38
39,54,25,37,80,63
40,46,22,25,82,45
95% confidence interval,37.4860~51.1140,34.7024~47.9976,35.7813~47.8187,42.9997~55.2003,36.6909~45.7091
average question,44.3000,41.3500,41.8000,49.1000,41.2000
