run,logs/tomato/scene_01_step50/thres_1-0,logs/tomato/scene_02_step50/thres_1-0,logs/tomato/scene_03_step50/thres_1-0,logs/tomato/scene_04_step50/thres_1-0,logs/tomato/scene_05_step50/thres_1-0
1,48.5093,17.5715,16.5762,20.9263,15.7612
2,18.5594,17.0743,12.1667,37.6793,16.5898
3,27.4981,16.9118,26.6487,31.1197,16.3681
4,46.6863,18.3251,19.0706,22.7478,28.2868
5,29.3178,16.5818,19.7664,15.9122,14.284
6,19.0903,18.6954,16.5933,23.2051,18.4335
7,17.2002,14.743,14.027,16.474,32.0831
8,12.3864,19.8857,20.1976,16.6354,20.5551
9,16.9314,26.5795,14.5881,21.2117,13.9518
10,19.186,15.8513,25.2954,20.9994,25.0991
11,15.6315,22.8991,17.5538,19.7778,33.07
12,17.7708,16.8491,14.3078,18.403,17.5101
13,25.5297,12.6513,19.834,20.6511,16.1699
14,16.8153,14.7084,19.6463,20.9852,23.214
15,21.4326,27.8875,14.026,16.3571,16.254
16,11.9598,16.3366,34.9117,18.9235,38.2622
17,26.2091,21.8314,11.2929,14.6942,29.912
18,13.5098,13.3365,17.4221,49.5558,21.6273
19,20.0801,46.9541,15.8312,20.9599,19.799
20,16.3291,16.0473,23.6128,20.3841,15.3552
21,29.7945,14.9933,37.882,13.7242,26.3867
22,19.3914,18.5953,22.1365,20.7247,18.0609
23,32.8657,15.7391,17.2667,17.072,18.4345
24,16.4893,22.9765,11.8252,27.6631,23.5409
25,13.0717,31.5951,37.6144,41.6991,16.1958
26,25.6673,21.6828,21.3125,14.8798,19.0009
27,20.5249,49.0052,17.6679,22.335,16.1267
28,20.4678,14.9327,19.334,15.8026,15.267
29,23.9668,13.9115,47.9659,34.1348,17.2106
30,27.1936,25.1689,22.6488,20.3117,17.1675
31,18.4772,13.1984,30.2235,14.4471,18.9133
32,15.8796,17.0026,16.7773,20.2351,18.4214
33,27.9742,17.3587,5.3334,27.8142,17.9508
34,19.548,35.5757,32.6651,18.3228,23.4844
35,27.6017,13.7983,20.1346,24.7064,19.7819
36,15.3493,17.1885,15.6763,26.6819,15.8786
37,26.7276,13.5043,20.7023,24.7105,15.8761
38,16.3283,35.9031,20.5325,35.1622,15.6681
39,23.8865,13.8404,20.1029,33.9322,28.8822
40,20.2963,12.3085,13.2152,31.6361,22.437
95% confidence interval,19.5909~24.5159,17.5514~22.9486,18.0411~23.1782,20.8374~25.8425,18.6385~22.2251
average elapsed time,22.0534,20.2500,20.6096,23.3400,20.4318
