조건,도메인,P001,,,,,,,,P002,,,,,,,,P003,,,,,,,,P004,,,,,,,
,,조작성공률 (%),조작시간 (s),SAGAT1,SAGAT2,SAGAT3,Fatigue,NASA-RTLX,SART,조작성공률 (%),조작시간 (s),SAGAT1,SAGAT2,SAGAT3,Fatigue,NASA-RTLX,SART,조작성공률 (%),조작시간 (s),SAGAT1,SAGAT2,SAGAT3,Fatigue,NASA-RTLX,SART,조작성공률 (%),조작시간 (s),SAGAT1,SAGAT2,SAGAT3,Fatigue,NASA-RTLX,SART
C3: Ours1,Waste,100,3,0.5,0.5,1,5,2.5,2.8,100,10,1,0.5,1,3,2,3.5,100,8,1,1,0.5,1,2.33333,4,100,17,0,1,1,5,3.66667,3.7
,Tomato,100,11,0.5,0.5,0.5,5,2,1.7,100,18,0.5,0.5,1,4,1.83333,3.4,100,15,0.5,0.5,0.5,2,1.83333,3.9,0,40,0.5,0.5,1,1,1.5,3.3
C4: Ours2,Waste,100,12,1,0,0.5,5,2.33333,2.9,100,11,1,0.5,0.5,2,1.66667,3.2,100,10,1,0,0.5,2,1.66667,3.6,100,9,1,0.5,0,5,2.83333,3.9
,Tomato,100,3,1,0,1,5,1.83333,2.4,100,17,0.5,1,1,4,1.33333,3.1,100,9,0.5,1,0.5,2,1.83333,3.9,0,20,0.5,0,1,3,1.66667,3.2
C5: KnowNo,Waste,0,13,0.5,1,0,6,3.33333,3.2,0,66,0.5,0.5,0.5,3,2.83333,4.2,0,15,0.5,1,1,3,1.83333,3.6,0,47,1,0,0,5,4,4.3
,Tomato,100,5,0.5,0.5,0.5,6,1.33333,1.8,100,19,0.5,0,0.5,4,1.83333,3.3,100,36,0.5,0,0.5,2,2.16667,3.7,100,14,0.5,0.5,1,3,1.83333,3.2


조건,도메인,P_ALL,,,,,,,,,P_ALL_outlier_removed,,,,,,,
,,조작성공률 (%),조작시간 (s),SAGAT1,SAGAT2,SAGAT3,Fatigue,NASA-RTLX,SART,,조작성공률 (%),조작시간 (s),SAGAT1,SAGAT2,SAGAT3,Fatigue,NASA-RTLX,SART
C1: All,Waste,91.67,28.75,0.916667,0.375,0.375,2.66667,2.05556,3.10833,,100,25.3,0.95,0.35,0.4,2.5,1.96667,3.15
,Tomato,66.67,33.5,0.875,0.458333,0.708333,2.83333,2.20833,3.25833,,70,33.6,0.9,0.45,0.75,2.8,2.08333,3.3
C2: No,Waste,,0.42,0.958333,0.25,0.791667,2.58333,1.65278,3.39167,,,0.3,1,0.2,0.85,2.4,1.63333,3.41
,Tomato,,1.67,0.75,0.291667,0.833333,2.16667,1.72222,3.19167,,,0.6,0.75,0.25,0.9,2,1.65,3.23
C3: Ours1,Waste,91.67,9.83,0.791667,0.625,0.75,3.08333,2.26389,3.40833,,100,9.7,0.85,0.6,0.75,3.1,2.21667,3.48
,Tomato,75,25.82,0.625,0.416667,0.833333,3,1.88889,3.1,,80,22,0.6,0.4,0.85,3,1.8,3.13
C4: Ours2,Waste,100,9.83,0.875,0.0833333,0.625,2.75,1.88889,3.21667,,100,9.5,0.9,0.05,0.65,2.7,1.81667,3.29
,Tomato,75,15.33,0.666667,0.458333,0.958333,2.58333,1.80556,3.05833,,80,15.1,0.65,0.45,1,2.5,1.8,3.06
C5: KnowNo,Waste,8.33,27.08,0.75,0.458333,0.583333,3.25,2.54167,3.35,,0,24.6,0.75,0.45,0.6,3.2,2.53333,3.41
,Tomato,100,21.92,0.625,0.5,0.625,2.91667,1.80556,3.01667,,100,19.8,0.6,0.5,0.6,2.8,1.73333,3.1
