,,,,,,,,,,,,,,,,,
,"화면에 표시된 폐기물이 종이인가요?=T 
 화면에 표시된 폐기물이 종이인가요?=T","T
 T","T
T",x,"질문 수정 필요
현재 문구: 
화면에 표시된 폐기물이 캔인가요?=T 
 화면에 표시된 폐기물이 종이인가요?=T",,,,,,,,,,,,
,,,,,,"세 번째 토마토가 줄기에 달려 있나요?=F
 네 번째 토마토가 줄기에 달려 있나요?=F
 화면에 표시된 토마토가 익었나요?=T 
 화면에 표시된 토마토가 안 익었나요?=T","F
 F
 T
 T","F
F
T
T",,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"화면에 표시된 폐기물이 캔인가요?=T 
 화면에 표시된 폐기물이 캔인가요?=T","T
 T","T
T",o,,"화면에 표시된 토마토가 익었나요?=T 
 화면에 표시된 토마토가 익었나요?=T","T
 T","T
T",,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,화면에 표시된 토마토가 익었나요?=T,T,T,,,,,,,,,
,로봇 손이 비어 있나요?=T,T,T,o,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,R5(s1),정답,사용자답,,,T2(s3),정답,사용자답,,,,,,,,,
,"A. 화면에 표시된 폐기물을 잡을까요? 
 B. 책상 위에 있는 폐기물의 종류를 확인할까요?",B,A,o,,,,,,,,,,,,,
,"A. 첫 번째 폐기물을 잡을까요? 
 B. 두 번째 폐기물을 잡을까요?",A,A,o,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"A. 세 번째 폐기물을 잡을까요?
 B. 네 번째 폐기물을 잡을까요?",A,A,o,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,T1(s5),정답,사용자답,bad,,R5(s4),정답,사용자답,,,,,,,,,
,지금 로봇이 1번 줄기 위치에 있나요?=T,T,T,o,,"A. 화면에 표시된 폐기물을 잡을까요? 
 B. 책상 위에 있는 폐기물의 종류를 확인할까요?",B,B,0,,,,,,,,
,"세 번째 토마토가 줄기에 달려 있나요?=F
 네 번째 토마토가 줄기에 달려 있나요?=F
 화면에 표시된 토마토가 익었나요?=T 
 화면에 표시된 토마토가 안 익었나요?=T","F
 F
 T
 T","F
F
T
T",o,,"A. 첫 번째 폐기물을 잡을까요?
 B. 두 번째 폐기물을 잡을까요?",A,A,0,,,,,,,,
,화면에 표시된 토마토가 썩었나요?=T,T,T,o,,,,,,,,,,,,,
,토마토가 폐기되었나요?=T,T,T,"page5->page6, 질문이 안나옴 PC에서도 안됨",,"A. 화면에 표시된 폐기물을 잡을까요?
 B. 책상 위에 있는 폐기물의 종류를 확인할까요?",A,A,x,,[PC확인] p3-4 사이 영상 마치고 질문으로 안 넘어가지는데 확인 한 번만 부탁드립니다!  PC에서는 문제없이 나옵니다,,,,,,
,지금 로봇이 2번 줄기 위치에 있나요?=T,T,T,o,,,,,,,,,,,,,
