run,logs/wastesorting/scene_01_step50/thres_0-1,logs/wastesorting/scene_02_step50/thres_0-1,logs/wastesorting/scene_03_step50/thres_0-1,logs/wastesorting/scene_04_step50/thres_0-1,logs/wastesorting/scene_05_step50/thres_0-1
1,7.9492,8.7365,2.7061,9.9382,8.3193
2,9.3553,8.4278,4.1528,2.801,2.7736
3,5.2096,7.0314,6.6586,5.432,5.9459
4,8.109,12.3781,7.0046,12.143,11.1577
5,7.7209,11.5261,7.5826,8.7954,2.7533
6,8.7816,5.8384,13.6742,4.1658,7.3108
7,3.8785,8.451,8.5816,10.1408,7.0486
8,8.6726,9.3231,4.1382,6.0268,8.4264
9,9.3928,10.7067,5.156,5.9493,13.5736
10,5.9395,9.1834,10.8013,8.8418,10.7974
11,4.1747,2.6799,14.3132,7.7962,8.6543
12,4.3926,9.4979,10.7911,8.7309,12.5578
13,9.2214,8.512,7.1515,4.2951,7.6784
14,2.6559,4.0886,10.2677,10.0081,9.088
15,11.8863,8.4249,4.7529,3.9572,4.0558
16,4.0856,2.5657,8.9371,7.625,7.3597
17,4.2099,6.4429,8.692,7.8256,2.6284
18,6.0618,2.8446,8.6042,3.6575,7.9734
19,2.7337,6.4364,8.7079,4.1583,7.598
20,10.0105,5.2491,11.7235,4.1463,11.002
21,4.257,2.6076,2.7634,10.5461,9.0
22,2.7135,4.8894,2.6682,4.0677,10.8312
23,10.338,9.6049,7.6365,2.6411,8.6613
24,3.9819,8.6704,10.1596,2.5356,8.9684
25,9.0915,12.7188,8.943,8.5231,15.5222
26,8.5974,17.3868,9.9329,9.2986,6.6096
27,4.2542,2.6911,6.0116,8.0669,7.7609
28,7.3005,10.2513,9.4989,2.6039,7.5033
29,4.4767,7.8924,3.8203,4.089,2.6194
30,4.3379,3.8997,9.5816,13.0458,10.8743
31,4.3275,6.4161,6.7301,2.6186,4.9312
32,9.8319,6.8395,4.158,3.9274,7.7718
33,8.639,3.9512,9.8906,8.4404,6.0989
34,4.2782,8.9236,3.9229,2.65,2.6371
35,2.7877,7.9055,9.1298,8.4733,3.8901
36,9.0862,2.7356,11.5323,2.6768,4.2163
37,10.0928,8.6468,8.5302,7.7473,12.595
38,6.1216,8.7635,9.1802,7.7155,10.7621
39,7.9203,4.1781,10.3867,7.5464,10.1688
40,8.9993,9.8954,6.963,7.3756,2.6118
95% confidence interval,5.8276~7.4661,6.4124~8.4482,6.9821~8.8097,5.6164~7.4347,6.7443~8.7925
average elapsed time,6.6469,7.4303,7.8959,6.5256,7.7684
