run,logs/wastesorting/scene_01_step50/thres_0-1,logs/wastesorting/scene_02_step50/thres_0-1,logs/wastesorting/scene_03_step50/thres_0-1,logs/wastesorting/scene_04_step50/thres_0-1,logs/wastesorting/scene_05_step50/thres_0-1
1,9,10,3,11,10
2,10,10,5,3,3
3,6,8,8,6,7
4,9,14,8,14,14
5,9,12,9,10,3
6,10,7,16,5,9
7,4,10,10,12,8
8,10,10,5,7,10
9,11,12,5,7,16
10,7,11,13,10,13
11,5,3,16,8,10
12,5,11,13,10,14
13,10,10,7,5,9
14,3,5,12,11,11
15,14,10,6,5,5
16,5,3,11,9,9
17,5,7,10,9,3
18,7,3,10,4,10
19,3,8,10,5,9
20,11,6,14,5,13
21,5,3,3,13,11
22,3,6,3,5,12
23,12,11,9,3,10
24,4,10,12,3,11
25,11,14,11,10,19
26,10,22,12,11,7
27,5,3,7,9,9
28,9,12,12,3,9
29,5,9,4,5,3
30,5,4,12,16,13
31,5,8,8,3,5
32,11,8,5,5,9
33,10,5,12,10,7
34,5,10,4,3,3
35,3,9,11,10,4
36,10,3,14,3,5
37,11,10,10,9,15
38,7,10,11,9,13
39,9,5,13,9,11
40,10,11,8,9,3
95% confidence interval,6.6390~8.5110,7.3760~9.7740,8.1789~10.4211,6.5338~8.6662,7.8791~10.3709
average step,7.5750,8.5750,9.3000,7.6000,9.1250
