run,logs/wastesorting/scene_01_step50/thres_0-1,logs/wastesorting/scene_02_step50/thres_0-1,logs/wastesorting/scene_03_step50/thres_0-1,logs/wastesorting/scene_04_step50/thres_0-1,logs/wastesorting/scene_05_step50/thres_0-1
1,1,1,0,1,1
2,1,1,0,0,0
3,0,0,0,0,0
4,1,1,0,1,1
5,1,1,1,1,0
6,1,0,1,0,1
7,0,1,1,1,0
8,1,1,0,0,1
9,1,1,0,0,1
10,0,1,1,1,1
11,0,0,1,0,1
12,0,1,1,1,1
13,1,1,0,0,1
14,0,0,1,1,1
15,1,1,0,0,0
16,0,0,1,0,1
17,0,0,1,1,0
18,0,0,1,0,1
19,0,0,1,0,1
20,1,0,1,0,1
21,0,0,0,1,1
22,0,0,0,0,1
23,1,1,1,0,1
24,0,1,1,0,1
25,1,1,1,1,1
26,1,1,1,1,0
27,0,0,0,1,1
28,0,1,1,0,1
29,0,1,0,0,0
30,0,0,1,1,1
31,0,0,0,0,0
32,1,0,0,0,0
33,1,0,1,1,0
34,0,1,0,0,0
35,0,1,1,1,0
36,1,0,1,0,0
37,1,1,1,1,1
38,0,1,1,1,1
39,1,0,1,1,1
40,1,1,0,1,0
95% confidence interval,0.3183~0.6317,0.3939~0.7061,0.4462~0.7538,0.3183~0.6317,0.4731~0.7769
success rate,0.4750,0.5500,0.6000,0.4750,0.6250
