run,logs/wastesorting/scene_01_step50/thres_0-1,logs/wastesorting/scene_02_step50/thres_0-1,logs/wastesorting/scene_03_step50/thres_0-1,logs/wastesorting/scene_04_step50/thres_0-1,logs/wastesorting/scene_05_step50/thres_0-1
1,10.0,30.0,0.0,25.0,0.0
2,5.0,20.0,5.0,0.0,0.0
3,0.0,5.0,5.0,0.0,0.0
4,5.0,10.0,5.0,0.0,20.0
5,20.0,20.0,30.0,20.0,5.0
6,10.0,5.0,5.0,5.0,25.0
7,5.0,5.0,0.0,20.0,0.0
8,10.0,0.0,0.0,10.0,20.0
9,20.0,15.0,5.0,0.0,20.0
10,0.0,20.0,15.0,20.0,20.0
11,0.0,0.0,10.0,0.0,20.0
12,0.0,10.0,20.0,20.0,25.0
13,20.0,15.0,0.0,0.0,20.0
14,5.0,5.0,20.0,25.0,15.0
15,15.0,0.0,10.0,0.0,0.0
16,0.0,0.0,5.0,0.0,20.0
17,0.0,5.0,15.0,15.0,5.0
18,5.0,0.0,0.0,0.0,25.0
19,0.0,5.0,15.0,10.0,10.0
20,20.0,5.0,0.0,0.0,25.0
21,10.0,0.0,0.0,20.0,5.0
22,0.0,5.0,5.0,0.0,30.0
23,20.0,25.0,20.0,0.0,25.0
24,0.0,5.0,10.0,0.0,5.0
25,20.0,15.0,0.0,25.0,20.0
26,10.0,15.0,10.0,20.0,5.0
27,5.0,0.0,15.0,20.0,15.0
28,5.0,15.0,30.0,5.0,25.0
29,0.0,20.0,0.0,0.0,0.0
30,5.0,0.0,15.0,20.0,5.0
31,5.0,5.0,10.0,0.0,0.0
32,15.0,10.0,10.0,5.0,0.0
33,15.0,0.0,15.0,25.0,0.0
34,5.0,20.0,0.0,0.0,0.0
35,5.0,25.0,5.0,5.0,0.0
36,20.0,0.0,5.0,0.0,5.0
37,10.0,25.0,25.0,10.0,25.0
38,0.0,15.0,20.0,10.0,5.0
39,5.0,0.0,10.0,10.0,5.0
40,10.0,10.0,0.0,15.0,5.0
95% confidence interval,5.6589~10.0911,6.8757~12.3743,6.5880~11.9120,6.0600~11.9400,8.1977~14.5523
average reward,7.8750,9.6250,9.2500,9.0000,11.3750
