run,logs/wastesorting/scene_01_step50/thres_0-4,logs/wastesorting/scene_02_step50/thres_0-4,logs/wastesorting/scene_03_step50/thres_0-4,logs/wastesorting/scene_04_step50/thres_0-4,logs/wastesorting/scene_05_step50/thres_0-4
1,1,1,1,0,1
2,1,1,1,1,1
3,1,0,1,0,0
4,0,0,1,1,0
5,0,1,1,1,0
6,1,1,0,1,0
7,0,0,0,0,0
8,0,0,0,1,0
9,0,0,1,1,1
10,1,1,1,0,1
11,1,0,0,1,0
12,0,0,0,1,1
13,1,0,1,1,1
14,1,0,0,0,0
15,0,1,1,0,1
16,1,1,0,0,1
17,1,0,0,1,1
18,1,0,1,1,1
19,0,0,0,1,1
20,1,1,0,0,1
21,1,1,0,1,0
22,0,1,1,0,1
23,0,1,0,1,1
24,0,0,0,1,1
25,0,0,0,0,1
26,1,1,0,1,0
27,1,1,1,0,1
28,0,0,0,0,0
29,0,1,1,0,0
30,0,1,1,0,0
31,0,1,0,1,0
32,1,0,0,0,0
33,0,1,1,1,1
34,0,0,1,1,1
35,1,0,1,1,1
36,0,1,0,1,1
37,0,0,1,1,0
38,1,0,0,0,0
39,0,0,1,0,0
40,1,1,0,0,1
95% confidence interval,0.3183~0.6317,0.3183~0.6317,0.3183~0.6317,0.3939~0.7061,0.3939~0.7061
success rate,0.4750,0.4750,0.4750,0.5500,0.5500
