run,logs/wastesorting/scene_01_step50/thres_0-4,logs/wastesorting/scene_02_step50/thres_0-4,logs/wastesorting/scene_03_step50/thres_0-4,logs/wastesorting/scene_04_step50/thres_0-4,logs/wastesorting/scene_05_step50/thres_0-4
1,20.0,20.0,5.0,0.0,10.0
2,25.0,30.0,20.0,20.0,0.0
3,15.0,5.0,10.0,15.0,10.0
4,5.0,10.0,25.0,25.0,5.0
5,15.0,15.0,20.0,10.0,0.0
6,10.0,10.0,5.0,15.0,10.0
7,10.0,5.0,5.0,10.0,0.0
8,5.0,10.0,5.0,25.0,0.0
9,5.0,0.0,30.0,20.0,10.0
10,15.0,15.0,20.0,10.0,10.0
11,10.0,15.0,10.0,10.0,5.0
12,5.0,5.0,5.0,20.0,5.0
13,15.0,0.0,5.0,15.0,20.0
14,5.0,5.0,5.0,10.0,15.0
15,5.0,20.0,5.0,10.0,25.0
16,25.0,10.0,10.0,15.0,10.0
17,25.0,10.0,5.0,20.0,25.0
18,25.0,10.0,15.0,15.0,15.0
19,10.0,5.0,10.0,25.0,30.0
20,5.0,20.0,0.0,5.0,10.0
21,25.0,10.0,0.0,25.0,5.0
22,10.0,20.0,10.0,0.0,15.0
23,0.0,15.0,10.0,10.0,15.0
24,5.0,5.0,5.0,20.0,25.0
25,5.0,5.0,10.0,10.0,25.0
26,15.0,25.0,15.0,25.0,15.0
27,25.0,15.0,10.0,5.0,15.0
28,15.0,5.0,10.0,0.0,0.0
29,10.0,15.0,0.0,5.0,10.0
30,10.0,15.0,20.0,5.0,5.0
31,0.0,15.0,5.0,10.0,0.0
32,20.0,0.0,5.0,0.0,5.0
33,5.0,30.0,20.0,20.0,20.0
34,5.0,5.0,30.0,10.0,5.0
35,15.0,0.0,5.0,25.0,20.0
36,10.0,0.0,10.0,5.0,10.0
37,0.0,0.0,10.0,20.0,5.0
38,10.0,0.0,5.0,10.0,0.0
39,15.0,10.0,20.0,5.0,5.0
40,25.0,0.0,0.0,10.0,20.0
95% confidence interval,9.5740~14.4260,7.6966~12.8034,7.9341~12.8159,10.4468~15.3032,8.2753~13.4747
average reward,12.0000,10.2500,10.3750,12.8750,10.8750
