run,logs/wastesorting/scene_01_step50/thres_0-4,logs/wastesorting/scene_02_step50/thres_0-4,logs/wastesorting/scene_03_step50/thres_0-4,logs/wastesorting/scene_04_step50/thres_0-4,logs/wastesorting/scene_05_step50/thres_0-4
1,10.4876,11.7874,8.3236,54.2849,11.5455
2,12.7774,7.8227,14.6539,10.4965,11.1029
3,10.8781,4.3813,8.76,54.5994,53.014
4,53.4088,53.9361,8.0031,9.4264,52.5338
5,54.4994,9.7548,12.2392,11.3831,4.4068
6,8.4348,7.9267,52.2604,15.1593,53.2322
7,54.0137,50.3865,6.2691,52.3763,54.348
8,53.8607,54.735,4.5514,7.7542,4.2015
9,54.9584,51.9638,11.5177,10.4884,9.4506
10,9.9353,7.9978,9.3672,54.0478,10.4647
11,10.374,53.8017,52.8171,8.5453,52.7132
12,53.1717,53.017,54.077,8.6354,8.2655
13,8.8951,52.9564,9.1666,11.618,8.1678
14,9.3952,54.5535,52.8294,54.4404,52.127
15,52.0223,8.1604,9.3895,54.3644,9.0004
16,8.7849,10.9109,53.4694,53.8062,9.1878
17,8.0867,55.1742,51.7972,9.3036,10.0396
18,12.2132,52.4158,8.9952,11.4624,8.3312
19,54.4361,52.3676,53.916,10.8099,12.2164
20,9.2042,9.5539,53.8599,54.553,11.1927
21,10.2061,10.0295,53.3946,8.5781,5.9239
22,55.687,10.0769,12.6396,55.133,8.1834
23,53.5698,8.0899,55.008,7.8529,9.092
24,53.2579,53.724,53.6419,9.2617,8.0656
25,6.1723,54.7422,53.5961,52.1594,10.6726
26,9.5481,10.5087,52.1155,9.5513,54.0859
27,9.3796,10.0559,8.5696,54.0499,11.2496
28,52.4136,53.432,54.0686,2.7103,2.7992
29,52.1355,8.1636,11.3375,4.4864,53.2055
30,52.1657,17.4174,8.2344,2.6695,54.0899
31,54.2634,9.4152,53.2477,8.3797,2.7698
32,8.6392,54.7506,52.3424,51.975,52.6316
33,53.0924,9.1025,8.1446,8.439,8.6394
34,55.3175,53.317,10.1033,8.1648,7.9542
35,11.0315,5.1188,9.1037,8.8869,8.0863
36,52.5288,10.397,52.7265,8.9062,10.0409
37,54.9051,2.7377,12.2652,10.5176,53.3063
38,15.5937,54.2117,54.8371,52.7576,53.6727
39,54.1575,54.308,9.0808,51.1866,50.7086
40,8.9949,9.5838,51.4483,6.1334,8.2211
95% confidence interval,24.9409~38.7040,22.0867~36.0526,23.4372~37.1713,17.7528~31.2149,16.3895~29.5575
average elapsed time,31.8224,29.0696,30.3042,24.4839,22.9735
