run,logs/wastesorting/scene_01_step50/thres_0-4,logs/wastesorting/scene_02_step50/thres_0-4,logs/wastesorting/scene_03_step50/thres_0-4,logs/wastesorting/scene_04_step50/thres_0-4,logs/wastesorting/scene_05_step50/thres_0-4
1,1,6,5,0,3
2,0,4,9,1,2
3,0,0,1,0,0
4,1,0,4,1,2
5,1,3,7,1,0
6,1,4,0,2,0
7,0,0,1,0,0
8,0,0,0,0,1
9,1,0,0,0,0
10,1,0,4,0,1
11,2,0,0,1,0
12,1,0,0,0,1
13,1,0,1,0,0
14,1,0,0,0,0
15,1,0,1,1,4
16,4,1,0,0,1
17,0,0,0,2,0
18,0,0,0,1,0
19,0,1,0,0,1
20,1,0,0,1,1
21,0,1,0,0,4
22,0,0,1,0,0
23,0,1,0,0,0
24,0,0,0,0,0
25,1,0,0,0,0
26,0,4,0,0,0
27,0,4,0,0,0
28,1,0,0,0,0
29,0,0,4,0,0
30,4,2,0,0,0
31,0,0,0,5,0
32,0,0,3,2,0
33,0,0,2,0,1
34,0,0,0,1,1
35,0,0,1,0,4
36,0,1,2,1,0
37,0,0,2,0,0
38,3,0,0,1,0
39,0,0,0,0,3
40,0,1,0,0,1
95% confidence interval,0.3319~0.9681,0.3496~1.3004,0.5484~1.8516,0.2274~0.8226,0.3939~1.1561
average question,0.6500,0.8250,1.2000,0.5250,0.7750
