domain,scene,seed,reference,comparison,reference_source,comparison_source,reference_success,comparison_success,questions_delta,steps_delta,seconds_delta,reward_delta
wastesorting,01,304491485,ours,value_what,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/ours/run_11_seed_304491485/exp_wastesorting_20260921_014239_198519.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/value_what/run_11_seed_304491485/exp_wastesorting_20260921_042533_963573.txt,1,1,-3.0,0.0,-1.5354999999999999,0.0
wastesorting,01,3143992301,ours,value_what,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/ours/run_10_seed_3143992301/exp_wastesorting_20260921_014237_632512.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/value_what/run_10_seed_3143992301/exp_wastesorting_20260921_042530_860102.txt,1,1,-8.0,0.0,-2.3375,0.0
wastesorting,01,3156193605,ours,value_what,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/ours/run_39_seed_3156193605/exp_wastesorting_20260921_014323_498523.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/value_what/run_39_seed_3156193605/exp_wastesorting_20260921_042718_871215.txt,1,1,-6.0,0.0,-2.2769000000000004,0.0
wastesorting,01,3175035907,ours,value_what,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/ours/run_38_seed_3175035907/exp_wastesorting_20260921_014321_984382.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/value_what/run_38_seed_3175035907/exp_wastesorting_20260921_042715_079570.txt,1,1,-3.0,-2.0,-1.8708000000000002,-15.0
wastesorting,01,3176006814,ours,value_what,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/ours/run_06_seed_3176006814/exp_wastesorting_20260921_014231_153801.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/value_what/run_06_seed_3176006814/exp_wastesorting_20260921_042516_069749.txt,1,1,-7.0,0.0,-2.7427,0.0
wastesorting,01,3267154761,ours,value_what,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/ours/run_35_seed_3267154761/exp_wastesorting_20260921_014317_361486.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/value_what/run_35_seed_3267154761/exp_wastesorting_20260921_042703_283525.txt,1,1,-2.0,0.0,-1.33,0.0
wastesorting,01,3276452260,ours,value_what,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/ours/run_20_seed_3276452260/exp_wastesorting_20260921_014253_730560.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/value_what/run_20_seed_3276452260/exp_wastesorting_20260921_042608_612379.txt,1,1,-4.0,-1.0,-2.2009,-20.0
wastesorting,01,3622402991,ours,value_what,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/ours/run_02_seed_3622402991/exp_wastesorting_20260921_014224_895172.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/value_what/run_02_seed_3622402991/exp_wastesorting_20260921_042459_734875.txt,1,1,-6.0,0.0,-1.74,0.0
wastesorting,01,3656921932,ours,value_what,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/ours/run_30_seed_3656921932/exp_wastesorting_20260921_014309_468091.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/value_what/run_30_seed_3656921932/exp_wastesorting_20260921_042646_244328.txt,1,1,-7.0,0.0,-2.4,0.0
wastesorting,01,3722475659,ours,value_what,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/ours/run_34_seed_3722475659/exp_wastesorting_20260921_014315_787398.txt,experiments_logs/analysis_recent/when_what_mechanisms_20260921/00_raw/wastesorting/scene_01/value_what/run_34_seed_3722475659/exp_wastesorting_20260921_042700_389501.txt,1,1,0.0,0.0,-1.0573,0.0
