domain,scene,seed,reference,comparison,reference_source,comparison_source,reference_success,comparison_success,questions_delta,steps_delta,seconds_delta,reward_delta
tomato,02,69,0.0,0.05,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-0/scene_02/run_7/exp_tomato_20260917_062556_207374.txt,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-05/scene_02/run_7/exp_tomato_20260917_062555_455473.txt,0,1,63.0,37.0,0.05720000000000003,-110.0
tomato,02,70,0.0,0.05,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-0/scene_02/run_8/exp_tomato_20260917_062603_304762.txt,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-05/scene_02/run_8/exp_tomato_20260917_062602_581107.txt,0,1,58.0,33.0,-0.3903,-105.0
tomato,02,71,0.0,0.05,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-0/scene_02/run_9/exp_tomato_20260917_062623_542762.txt,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-05/scene_02/run_9/exp_tomato_20260917_062622_765960.txt,0,1,56.0,36.0,0.012299999999999978,-90.0
tomato,02,72,0.0,0.05,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-0/scene_02/run_10/exp_tomato_20260917_062638_047895.txt,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-05/scene_02/run_10/exp_tomato_20260917_062637_287353.txt,0,1,61.0,37.0,0.06130000000000002,-100.0
tomato,03,73,0.0,0.05,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-0/scene_03/run_1/exp_tomato_20260917_062645_374904.txt,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-05/scene_03/run_1/exp_tomato_20260917_062644_618382.txt,0,1,63.0,34.0,-0.21300000000000008,-90.0
tomato,03,74,0.0,0.05,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-0/scene_03/run_2/exp_tomato_20260917_062652_347914.txt,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-05/scene_03/run_2/exp_tomato_20260917_062651_587919.txt,0,1,58.0,36.0,0.0007000000000000339,-110.0
tomato,03,75,0.0,0.05,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-0/scene_03/run_3/exp_tomato_20260917_062659_538728.txt,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-05/scene_03/run_3/exp_tomato_20260917_062658_790630.txt,0,1,60.0,37.0,0.04399999999999993,-100.0
tomato,03,76,0.0,0.05,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-0/scene_03/run_4/exp_tomato_20260917_062708_854333.txt,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-05/scene_03/run_4/exp_tomato_20260917_062708_088031.txt,0,1,57.0,36.0,0.006800000000000028,-90.0
tomato,03,77,0.0,0.05,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-0/scene_03/run_5/exp_tomato_20260917_062715_561794.txt,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-05/scene_03/run_5/exp_tomato_20260917_062714_801432.txt,0,1,60.0,37.0,0.07589999999999997,-100.0
tomato,03,78,0.0,0.05,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-0/scene_03/run_6/exp_tomato_20260917_062721_977067.txt,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-05/scene_03/run_6/exp_tomato_20260917_062721_221129.txt,0,1,61.0,37.0,0.059699999999999975,-80.0
tomato,03,79,0.0,0.05,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-0/scene_03/run_7/exp_tomato_20260917_062732_822613.txt,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-05/scene_03/run_7/exp_tomato_20260917_062732_106171.txt,0,0,60.0,0.0,-3.8284000000000002,95.0
tomato,03,80,0.0,0.05,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-0/scene_03/run_8/exp_tomato_20260917_062740_569549.txt,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-05/scene_03/run_8/exp_tomato_20260917_062739_819137.txt,0,1,57.0,37.0,0.05620000000000003,-100.0
tomato,03,81,0.0,0.05,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-0/scene_03/run_9/exp_tomato_20260917_062747_714174.txt,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-05/scene_03/run_9/exp_tomato_20260917_062746_960704.txt,0,1,58.0,37.0,0.0696,-100.0
tomato,03,82,0.0,0.05,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-0/scene_03/run_10/exp_tomato_20260917_062754_891441.txt,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-05/scene_03/run_10/exp_tomato_20260917_062754_122778.txt,0,1,59.0,36.0,-0.0046000000000000485,-90.0
tomato,04,83,0.0,0.05,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-0/scene_04/run_1/exp_tomato_20260917_062801_675412.txt,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-05/scene_04/run_1/exp_tomato_20260917_062800_992452.txt,0,1,64.0,37.0,-0.014399999999999968,-90.0
tomato,04,84,0.0,0.05,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-0/scene_04/run_2/exp_tomato_20260917_062809_091247.txt,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-05/scene_04/run_2/exp_tomato_20260917_062808_409029.txt,0,1,62.0,37.0,-0.005400000000000071,-90.0
tomato,04,85,0.0,0.05,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-0/scene_04/run_3/exp_tomato_20260917_062816_348011.txt,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-05/scene_04/run_3/exp_tomato_20260917_062815_649569.txt,0,1,57.0,36.0,-0.06420000000000003,-90.0
tomato,04,86,0.0,0.05,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-0/scene_04/run_4/exp_tomato_20260917_062823_525738.txt,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-05/scene_04/run_4/exp_tomato_20260917_062822_838765.txt,0,1,63.0,37.0,-0.01090000000000002,-80.0
tomato,04,87,0.0,0.05,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-0/scene_04/run_5/exp_tomato_20260917_062833_868921.txt,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-05/scene_04/run_5/exp_tomato_20260917_062833_183720.txt,0,0,61.0,0.0,-3.6151999999999997,50.0
tomato,04,88,0.0,0.05,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-0/scene_04/run_6/exp_tomato_20260917_062844_434876.txt,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-05/scene_04/run_6/exp_tomato_20260917_062843_760954.txt,0,1,60.0,36.0,-0.1018,-80.0
tomato,04,89,0.0,0.05,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-0/scene_04/run_7/exp_tomato_20260917_062851_076367.txt,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-05/scene_04/run_7/exp_tomato_20260917_062850_385237.txt,0,1,64.0,37.0,0.0029000000000000137,-90.0
tomato,04,90,0.0,0.05,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-0/scene_04/run_8/exp_tomato_20260917_062857_664237.txt,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-05/scene_04/run_8/exp_tomato_20260917_062856_967312.txt,0,1,59.0,36.0,-0.05630000000000002,-90.0
tomato,04,91,0.0,0.05,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-0/scene_04/run_9/exp_tomato_20260917_062904_683801.txt,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-05/scene_04/run_9/exp_tomato_20260917_062903_992897.txt,0,1,62.0,37.0,0.01969999999999994,-110.0
tomato,04,92,0.0,0.05,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-0/scene_04/run_10/exp_tomato_20260917_062911_722183.txt,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-05/scene_04/run_10/exp_tomato_20260917_062911_031212.txt,0,1,61.0,33.0,-0.41659999999999997,-80.0
tomato,05,100,0.0,0.05,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-0/scene_05/run_8/exp_tomato_20260917_063022_795918.txt,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-05/scene_05/run_8/exp_tomato_20260917_063022_012880.txt,0,1,61.0,37.0,0.05810000000000004,-100.0
tomato,05,101,0.0,0.05,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-0/scene_05/run_9/exp_tomato_20260917_063029_594907.txt,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-05/scene_05/run_9/exp_tomato_20260917_063028_846859.txt,0,1,62.0,37.0,0.052200000000000024,-100.0
tomato,05,102,0.0,0.05,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-0/scene_05/run_10/exp_tomato_20260917_063037_180821.txt,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-05/scene_05/run_10/exp_tomato_20260917_063036_434120.txt,0,1,59.0,37.0,0.0595,-110.0
tomato,05,93,0.0,0.05,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-0/scene_05/run_1/exp_tomato_20260917_062919_154991.txt,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-05/scene_05/run_1/exp_tomato_20260917_062918_397852.txt,0,1,63.0,33.0,-0.35130000000000006,-90.0
tomato,05,94,0.0,0.05,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-0/scene_05/run_2/exp_tomato_20260917_062930_607839.txt,experiments_logs/gamma/20260917_062335_2011515/tomato/gamma_0-05/scene_05/run_2/exp_tomato_20260917_062929_845813.txt,0,0,60.0,0.0,-3.7005000000000003,70.0
