domain,reference,comparison,n_pairs,reference_unmatched,comparison_unmatched,reference_only_success,comparison_only_success,success_delta_pp,exact_mcnemar_p,p_holm,difference_direction,questions_paired_n,questions_delta_mean,questions_delta_ci95_normal_low,questions_delta_ci95_normal_high,steps_paired_n,steps_delta_mean,steps_delta_ci95_normal_low,steps_delta_ci95_normal_high,seconds_paired_n,seconds_delta_mean,seconds_delta_ci95_normal_low,seconds_delta_ci95_normal_high,reward_paired_n,reward_delta_mean,reward_delta_ci95_normal_low,reward_delta_ci95_normal_high
all,0.0,0.05,100,0,0,0,47,-47.0,1.4210854715202004e-14,2.842170943040401e-14,reference minus comparison,100,37.97,33.51551260210173,42.42448739789827,100,19.91,16.940689683162848,22.879310316837152,100,-0.14411100000000002,-0.270120910919855,-0.01810108908014499,100,-41.85,-51.890044752464135,-31.80995524753587
all,0.0,0.1,100,0,0,0,48,-48.0,7.105427357601002e-15,2.1316282072803006e-14,reference minus comparison,100,38.29,33.860334667251024,42.719665332748974,100,20.32,17.325214005193764,23.314785994806236,100,-0.331898,-0.5234998493257439,-0.14029615067425616,100,-42.7,-53.04813813442151,-32.3518618655785
all,0.0,0.2,100,0,0,0,49,-49.0,3.552713678800501e-15,1.4210854715202004e-14,reference minus comparison,100,38.18,33.71195076897239,42.648049231027606,100,20.84,17.837212257232256,23.842787742767744,100,-0.356574,-0.5088953117715546,-0.20425268822844544,100,-46.25,-56.48214195599793,-36.01785804400207
all,0.0,0.3,100,0,0,0,47,-47.0,1.4210854715202004e-14,2.842170943040401e-14,reference minus comparison,100,37.06,32.685999846568464,41.43400015343154,100,20.01,17.026947927251978,22.993052072748025,100,-0.67569,-0.9411284250335024,-0.4102515749664976,100,-42.45,-52.99230957365265,-31.907690426347354
all,0.0,0.4,100,0,0,0,50,-50.0,1.7763568394002505e-15,8.881784197001252e-15,reference minus comparison,100,37.3,33.03208349958323,41.567916500416764,100,20.37,17.500837243628112,23.23916275637189,100,-0.764429,-0.9405685893846024,-0.5882894106153976,100,-43.75,-53.22405522903322,-34.27594477096678
tomato,0.0,0.05,50,0,0,0,47,-94.0,1.4210854715202004e-14,2.842170943040401e-14,reference minus comparison,50,60.44,59.816019671177806,61.06398032882219,50,33.68,31.258771305719577,36.10122869428042,50,-0.289794,-0.5361881035714373,-0.043399896428562706,50,-83.5,-94.8155686672495,-72.1844313327505
tomato,0.0,0.1,50,0,0,0,48,-96.0,7.105427357601002e-15,2.1316282072803006e-14,reference minus comparison,50,60.62,59.84833092877914,61.39166907122085,50,34.64,32.628896144599466,36.651103855400535,50,-0.605576,-0.9748485554269084,-0.23630344457309166,50,-87.3,-98.01034304699162,-76.58965695300837
tomato,0.0,0.2,50,0,0,0,49,-98.0,3.552713678800501e-15,1.4210854715202004e-14,reference minus comparison,50,60.7,59.95656225044244,61.44343774955757,50,35.64,34.20162198163798,37.078378018362024,50,-0.623132,-0.9103722057356309,-0.33589179426436905,50,-93.9,-101.70121140241935,-86.09878859758066
tomato,0.0,0.3,50,0,0,0,47,-94.0,1.4210854715202004e-14,2.842170943040401e-14,reference minus comparison,50,59.08,58.34806110162041,59.81193889837959,50,33.88,31.480105966890452,36.27989403310955,50,-1.200316,-1.6915007580545018,-0.7091312419454981,50,-86.4,-98.18987817998334,-74.61012182001667
tomato,0.0,0.4,50,0,0,0,50,-100.0,1.7763568394002505e-15,8.881784197001252e-15,reference minus comparison,50,58.78,58.0014531718424,59.5585468281576,50,34.62,33.43884642525472,35.80115357474528,50,-1.335784,-1.6078634467246429,-1.0637045532753573,50,-89.4,-94.80498865362222,-83.9950113463778
wastesorting,0.0,0.05,50,0,0,0,0,0.0,1.0,1.0,reference minus comparison,50,15.5,14.709541249176329,16.29045875082367,50,6.14,5.954188022143422,6.325811977856578,50,0.0015720000000000022,-0.009577441587625853,0.012721441587625858,50,-0.2,-2.8995918511301455,2.499591851130145
wastesorting,0.0,0.1,50,0,0,0,0,0.0,1.0,1.0,reference minus comparison,50,15.96,15.245140727752222,16.67485927224778,50,6.0,5.790471036555281,6.209528963444719,50,-0.058219999999999994,-0.07362910264329865,-0.042810897356701336,50,1.9,-0.5711033127993388,4.371103312799338
wastesorting,0.0,0.2,50,0,0,0,0,0.0,1.0,1.0,reference minus comparison,50,15.66,14.886869356124073,16.433130643875927,50,6.04,5.892264567990459,6.187735432009541,50,-0.090016,-0.10033474967023194,-0.07969725032976806,50,1.4,-1.0892786644198744,3.8892786644198742
wastesorting,0.0,0.3,50,0,0,0,0,0.0,1.0,1.0,reference minus comparison,50,15.04,14.176162552624827,15.903837447375171,50,6.14,5.954188022143422,6.325811977856578,50,-0.151064,-0.16805580677181206,-0.13407219322818795,50,1.5,-1.189262762979403,4.1892627629794035
wastesorting,0.0,0.4,50,0,0,0,0,0.0,1.0,1.0,reference minus comparison,50,15.82,15.011032887684117,16.628967112315884,50,6.12,5.946132438317842,6.293867561682158,50,-0.193074,-0.2055155269521515,-0.1806324730478485,50,1.9,-0.6949043398255115,4.494904339825512
