domain,scene,seed,reference,comparison,reference_source,comparison_source,reference_success,comparison_success,questions_delta,steps_delta,seconds_delta,reward_delta
wastesorting,05,3580047091,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/wastesorting/scene_05_step50/thres_0-8/exp_wastesorting_20260922_195506_022220.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/wastesorting/scene_05_step50/thres_0-0/exp_wastesorting_20260922_195457_741921.txt,1,1,9.0,0.0,0.014799999999999924,0.0
wastesorting,05,3697258970,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/wastesorting/scene_05_step50/thres_0-8/exp_wastesorting_20260922_195606_426368.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/wastesorting/scene_05_step50/thres_0-0/exp_wastesorting_20260922_195600_168534.txt,1,0,10.0,5.0,0.14400000000000002,25.0
wastesorting,05,3835051922,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/wastesorting/scene_05_step50/thres_0-8/exp_wastesorting_20260922_200025_805771.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/wastesorting/scene_05_step50/thres_0-0/exp_wastesorting_20260922_200018_889491.txt,1,0,9.0,1.0,0.00880000000000003,5.0
wastesorting,05,4063890635,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/wastesorting/scene_05_step50/thres_0-8/exp_wastesorting_20260922_195652_062954.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/wastesorting/scene_05_step50/thres_0-0/exp_wastesorting_20260922_195646_526654.txt,1,0,8.0,7.0,0.2219,30.0
wastesorting,05,4266485061,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/wastesorting/scene_05_step50/thres_0-8/exp_wastesorting_20260922_195720_118792.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/wastesorting/scene_05_step50/thres_0-0/exp_wastesorting_20260922_195714_518339.txt,1,0,8.0,7.0,0.24670000000000003,30.0
wastesorting,05,505995326,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/wastesorting/scene_05_step50/thres_0-8/exp_wastesorting_20260922_195454_962468.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/wastesorting/scene_05_step50/thres_0-0/exp_wastesorting_20260922_195448_022888.txt,1,1,6.0,0.0,0.01419999999999999,0.0
wastesorting,05,515831047,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/wastesorting/scene_05_step50/thres_0-8/exp_wastesorting_20260922_195835_942134.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/wastesorting/scene_05_step50/thres_0-0/exp_wastesorting_20260922_195828_930311.txt,1,1,8.0,0.0,-0.009199999999999986,0.0
wastesorting,05,614521323,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/wastesorting/scene_05_step50/thres_0-8/exp_wastesorting_20260922_195712_021013.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/wastesorting/scene_05_step50/thres_0-0/exp_wastesorting_20260922_195704_575533.txt,1,1,9.0,0.0,0.018100000000000005,0.0
wastesorting,05,716413817,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/wastesorting/scene_05_step50/thres_0-8/exp_wastesorting_20260922_195807_727248.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/wastesorting/scene_05_step50/thres_0-0/exp_wastesorting_20260922_195759_320207.txt,1,1,8.0,0.0,0.0036999999999999256,0.0
wastesorting,05,793649145,0.8,0.0,experiments_logs/analysis_recent/threshold_20260912/00_raw/wastesorting/scene_05_step50/thres_0-8/exp_wastesorting_20260922_195746_652322.txt,experiments_logs/analysis_recent/threshold_20260912/00_raw/wastesorting/scene_05_step50/thres_0-0/exp_wastesorting_20260922_195739_839481.txt,1,1,8.0,-2.0,-0.03479999999999994,-15.0
