run,logs/tomato/scene_01_step50/thres_0-9,logs/tomato/scene_02_step50/thres_0-9,logs/tomato/scene_03_step50/thres_0-9,logs/tomato/scene_04_step50/thres_0-9,logs/tomato/scene_05_step50/thres_0-9
1,5.0,10.0,5.0,5.0,10.0
2,5.0,10.0,0.0,5.0,5.0
3,10.0,0.0,0.0,5.0,5.0
4,5.0,10.0,5.0,10.0,15.0
5,5.0,0.0,5.0,0.0,10.0
6,15.0,10.0,0.0,5.0,5.0
7,10.0,5.0,10.0,10.0,10.0
8,10.0,10.0,15.0,5.0,10.0
9,5.0,15.0,10.0,10.0,10.0
10,0.0,5.0,10.0,10.0,5.0
11,5.0,10.0,10.0,10.0,5.0
12,5.0,15.0,15.0,5.0,5.0
13,15.0,15.0,10.0,10.0,10.0
14,10.0,5.0,5.0,10.0,10.0
15,10.0,10.0,15.0,5.0,5.0
16,10.0,5.0,5.0,0.0,10.0
17,0.0,15.0,5.0,5.0,10.0
18,5.0,10.0,10.0,10.0,5.0
19,15.0,10.0,10.0,10.0,5.0
20,10.0,5.0,5.0,5.0,10.0
21,5.0,0.0,5.0,10.0,5.0
22,10.0,10.0,15.0,5.0,15.0
23,5.0,5.0,10.0,5.0,5.0
24,5.0,10.0,15.0,5.0,10.0
25,15.0,5.0,5.0,5.0,5.0
26,5.0,0.0,10.0,5.0,10.0
27,10.0,15.0,5.0,5.0,10.0
28,5.0,5.0,15.0,10.0,10.0
29,5.0,0.0,15.0,10.0,5.0
30,10.0,0.0,5.0,5.0,5.0
31,10.0,10.0,5.0,10.0,5.0
32,10.0,0.0,10.0,10.0,15.0
33,5.0,10.0,15.0,10.0,10.0
34,15.0,5.0,10.0,10.0,5.0
35,10.0,10.0,5.0,5.0,10.0
36,10.0,5.0,0.0,10.0,10.0
37,5.0,0.0,10.0,0.0,5.0
38,10.0,0.0,10.0,5.0,5.0
39,10.0,5.0,10.0,10.0,10.0
40,15.0,0.0,5.0,0.0,5.0
95% confidence interval,7.0069~9.4931,5.1985~8.3015,6.8225~9.6775,5.7240~7.7760,7.0200~8.9800
average reward,8.2500,6.7500,8.2500,6.7500,8.0000
