run,logs/tomato/scene_01_step50/thres_0-9,logs/tomato/scene_02_step50/thres_0-9,logs/tomato/scene_03_step50/thres_0-9,logs/tomato/scene_04_step50/thres_0-9,logs/tomato/scene_05_step50/thres_0-9
1,50,19,32,21,22
2,19,14,16,16,18
3,36,21,18,38,25
4,15,23,16,22,22
5,14,15,29,10,19
6,16,50,17,20,26
7,24,33,14,22,17
8,31,15,18,20,29
9,14,25,19,25,20
10,4,23,13,20,17
11,21,31,32,17,21
12,16,28,19,35,14
13,28,17,20,15,22
14,30,16,26,19,18
15,19,18,26,28,18
16,18,19,32,21,21
17,5,18,20,30,33
18,13,16,38,18,23
19,21,14,16,15,16
20,17,14,25,14,15
21,25,22,13,37,32
22,17,15,19,23,13
23,23,15,15,31,14
24,18,19,24,16,25
25,15,16,19,23,24
26,20,15,24,15,17
27,16,32,16,14,19
28,18,15,23,25,17
29,19,13,16,19,18
30,25,19,16,30,19
31,18,20,14,15,13
32,18,23,17,15,16
33,15,17,22,27,20
34,32,14,22,20,22
35,30,21,20,38,14
36,18,25,20,24,17
37,41,18,18,30,14
38,13,25,21,14,14
39,45,23,19,22,22
40,13,16,15,19,23
95% confidence interval,18.2587~24.2413,18.1073~22.4927,18.6680~22.2820,19.8542~24.2958,18.2101~21.2399
average step,21.2500,20.3000,20.4750,22.0750,19.7250
