run,logs/tomato/scene_01_step50/thres_0-9,logs/tomato/scene_02_step50/thres_0-9,logs/tomato/scene_03_step50/thres_0-9,logs/tomato/scene_04_step50/thres_0-9,logs/tomato/scene_05_step50/thres_0-9
1,69,26,49,27,25
2,15,13,18,16,23
3,48,32,22,70,28
4,16,21,17,29,25
5,16,16,29,10,14
6,24,18,15,32,25
7,17,39,16,24,16
8,27,22,13,21,50
9,14,38,25,43,29
10,7,19,12,20,21
11,22,56,37,22,27
12,22,27,27,49,16
13,29,12,16,20,45
14,20,23,19,30,16
15,21,13,34,21,25
16,24,25,59,22,22
17,7,27,24,54,48
18,12,13,54,25,29
19,32,16,13,13,15
20,19,15,27,17,17
21,41,27,12,57,46
22,16,20,29,20,13
23,48,15,12,49,20
24,16,19,33,15,32
25,17,23,20,38,31
26,24,12,30,17,13
27,17,54,12,17,16
28,14,11,29,51,19
29,14,15,24,32,20
30,12,17,11,31,24
31,30,29,15,12,12
32,17,46,26,20,17
33,16,17,24,36,21
34,50,12,13,23,18
35,30,26,15,67,11
36,15,25,17,20,21
37,59,29,12,33,12
38,13,40,15,16,17
39,80,24,31,14,24
40,14,21,11,19,31
95% confidence interval,19.9554~30.2446,20.3892~27.2608,19.3161~26.5339,24.0686~33.5314,20.2873~26.4127
average question,25.1000,23.8250,22.9250,28.8000,23.3500
