run,logs/tomato/scene_01_step50/thres_0-9,logs/tomato/scene_02_step50/thres_0-9,logs/tomato/scene_03_step50/thres_0-9,logs/tomato/scene_04_step50/thres_0-9,logs/tomato/scene_05_step50/thres_0-9
1,47.5082,17.4635,29.4971,19.1466,19.1692
2,16.5448,12.2702,14.0088,14.0598,16.008
3,33.877,19.2003,16.0433,35.0507,22.6703
4,13.177,20.3836,14.0824,19.9607,20.4515
5,12.7459,13.6038,27.1386,8.9473,16.405
6,14.0945,46.7052,14.7535,17.9628,23.7228
7,21.1075,30.8439,13.0485,19.152,14.9787
8,28.725,13.9224,15.6874,18.0807,27.2964
9,12.771,23.9636,16.9194,24.0038,18.6781
10,3.1616,20.2832,11.7113,17.1887,15.5085
11,18.3031,29.367,29.9609,14.7607,19.9384
12,14.4098,25.2862,17.5323,31.6983,12.4957
13,24.7965,14.7663,17.0752,13.3684,20.0062
14,27.1039,14.3333,22.0782,17.9838,16.1386
15,16.431,15.4119,23.032,24.9712,16.0585
16,16.3998,16.758,29.3468,18.9503,18.7891
17,3.9937,16.4377,18.3135,28.5056,30.8429
18,11.9468,14.4954,35.4105,16.0701,20.9418
19,19.3119,12.8614,14.8631,13.5094,14.144
20,14.8629,12.8129,22.4748,12.2204,13.0433
21,22.0539,20.0399,11.8756,34.069,29.3421
22,14.6521,13.3173,17.609,20.1289,11.7579
23,20.9193,14.0426,13.2183,29.2712,12.3289
24,14.5786,16.5753,22.1452,14.5873,23.115
25,13.4285,14.6836,16.7157,21.6208,22.572
26,17.7493,12.7082,21.9659,12.9668,14.2835
27,14.1634,29.2393,14.4287,13.0394,17.6134
28,15.4988,13.0421,20.83,23.646,15.4007
29,16.0195,11.2714,14.3942,17.5228,15.8369
30,23.5885,16.6027,13.904,28.4004,17.6977
31,16.0867,17.3614,12.7091,13.1506,11.5949
32,15.8353,22.1523,15.4313,13.6399,14.4631
33,13.8907,15.3201,19.0455,26.4437,17.9525
34,29.9654,12.1898,18.4459,17.5275,20.674
35,26.4594,18.3447,18.1541,34.6413,13.0045
36,15.8379,23.1086,17.8579,21.952,15.3371
37,37.9273,16.2393,15.7304,27.6432,12.1044
38,11.4615,22.882,18.1109,13.1238,12.8203
39,40.8106,20.2054,17.1492,19.88,20.5652
40,11.6659,13.9061,13.8988,17.0115,21.8493
95% confidence interval,16.2561~21.9371,16.2561~20.4640,16.7123~20.1176,18.0314~22.2614,16.4700~19.4100
average elapsed time,19.0966,18.3600,18.4149,20.1464,17.9400
