domain,domain_code,condition,condition_code,scenario,time_type,raw_seconds,raw_hms,video_seconds,video_hms,seconds,time_hms,source_row,source_column
분리수거,R,Ours2,4,2,survey,82,1:22,0,,82,1:22,68,19
토마토,T,Ours1,3,3,operation,241,4:01,226,3:46,15,0:15,76,1
토마토,T,Ours1,3,3,survey,101,1:41,0,,101,1:41,76,1
토마토,T,KnowNo,5,1,operation,204,3:24,187,3:07,17,0:17,76,7
토마토,T,KnowNo,5,1,survey,110,1:50,0,,110,1:50,76,7
분리수거,R,ALL,1,4,operation,161,2:41,147,2:27,14,0:14,76,13
분리수거,R,ALL,1,4,survey,127,2:07,0,,127,2:07,76,13
분리수거,R,ALL,1,5,operation,180,3:00,148,2:28,32,0:32,76,19
분리수거,R,ALL,1,5,survey,87,1:27,0,,87,1:27,76,19
토마토,T,ALL,1,3,operation,0,0:00,226,3:46,0,0:00,86,1
토마토,T,ALL,1,3,survey,0,0:00,0,,0,0:00,86,1
분리수거,R,Ours2,4,3,operation,0,0:00,146,2:26,0,0:00,86,7
분리수거,R,Ours2,4,3,survey,0,0:00,0,,0,0:00,86,7
분리수거,R,Ours2,4,4,operation,0,0:00,147,2:27,0,0:00,86,13
분리수거,R,Ours2,4,4,survey,0,0:00,0,,0,0:00,86,13
토마토,T,Ours2,4,5,operation,0,0:00,177,2:57,0,0:00,94,1
토마토,T,Ours2,4,5,survey,0,0:00,0,,0,0:00,94,1
분리수거,R,No,2,5,operation,0,0:00,148,2:28,0,0:00,94,7
분리수거,R,No,2,5,survey,0,0:00,0,,0,0:00,94,7
분리수거,R,KnowNo,5,3,operation,0,0:00,146,2:26,0,0:00,94,13
분리수거,R,KnowNo,5,3,survey,0,0:00,0,,0,0:00,94,13
토마토,T,KnowNo,5,2,operation,0,0:00,190,3:10,0,0:00,102,1
토마토,T,KnowNo,5,2,survey,0,0:00,0,,0,0:00,102,1
분리수거,R,ALL,1,1,operation,0,0:00,142,2:22,0,0:00,102,7
분리수거,R,ALL,1,1,survey,0,0:00,0,,0,0:00,102,7
분리수거,R,ALL,1,1,operation,0,0:00,142,2:22,0,0:00,102,13
분리수거,R,ALL,1,1,survey,0,0:00,0,,0,0:00,102,13
토마토,T,No,2,1,operation,0,0:00,187,3:07,0,0:00,110,1
토마토,T,No,2,1,survey,0,0:00,0,,0,0:00,110,1
분리수거,R,KnowNo,5,4,operation,0,0:00,147,2:27,0,0:00,110,7
분리수거,R,KnowNo,5,4,survey,0,0:00,0,,0,0:00,110,7
분리수거,R,Ours1,3,5,operation,0,0:00,148,2:28,0,0:00,110,13
분리수거,R,Ours1,3,5,survey,0,0:00,0,,0,0:00,110,13
토마토,T,Ours1,3,4,operation,0,0:00,219,3:39,0,0:00,118,1
토마토,T,Ours1,3,4,survey,0,0:00,0,,0,0:00,118,1
분리수거,R,Ours1,3,2,operation,0,0:00,141,2:21,0,0:00,118,7
분리수거,R,Ours1,3,2,survey,0,0:00,0,,0,0:00,118,7
분리수거,R,No,2,2,operation,0,0:00,141,2:21,0,0:00,118,13
분리수거,R,No,2,2,survey,0,0:00,0,,0,0:00,118,13
분리수거,R,KnowNo,5,4,operation,0,0:00,147,2:27,0,0:00,126,1
분리수거,R,KnowNo,5,4,survey,0,0:00,0,,0,0:00,126,1
토마토,T,ALL,1,4,operation,0,0:00,219,3:39,0,0:00,126,7
토마토,T,ALL,1,4,survey,0,0:00,0,,0,0:00,126,7
토마토,T,Ours1,3,4,operation,0,0:00,219,3:39,0,0:00,126,13
토마토,T,Ours1,3,4,survey,0,0:00,0,,0,0:00,126,13
분리수거,R,Ours1,3,1,operation,0,0:00,142,2:22,0,0:00,138,1
분리수거,R,Ours1,3,1,survey,0,0:00,0,,0,0:00,138,1
토마토,T,Ours1,3,5,operation,0,0:00,177,2:57,0,0:00,138,7
토마토,T,Ours1,3,5,survey,0,0:00,0,,0,0:00,138,7
토마토,T,ALL,1,2,operation,0,0:00,190,3:10,0,0:00,138,13
토마토,T,ALL,1,2,survey,0,0:00,0,,0,0:00,138,13
분리수거,R,Ours2,4,2,operation,0,0:00,141,2:21,0,0:00,146,1
분리수거,R,Ours2,4,2,survey,0,0:00,0,,0,0:00,146,1
토마토,T,KnowNo,5,2,operation,0,0:00,190,3:10,0,0:00,146,7
토마토,T,KnowNo,5,2,survey,0,0:00,0,,0,0:00,146,7
토마토,T,No,2,1,operation,0,0:00,187,3:07,0,0:00,146,13
토마토,T,No,2,1,survey,0,0:00,0,,0,0:00,146,13
분리수거,R,ALL,1,3,operation,0,0:00,146,2:26,0,0:00,154,1
분리수거,R,ALL,1,3,survey,0,0:00,0,,0,0:00,154,1
토마토,T,Ours2,4,1,operation,0,0:00,187,3:07,0,0:00,154,7
토마토,T,Ours2,4,1,survey,0,0:00,0,,0,0:00,154,7
토마토,T,Ours2,4,5,operation,0,0:00,177,2:57,0,0:00,154,13
토마토,T,Ours2,4,5,survey,0,0:00,0,,0,0:00,154,13
분리수거,R,No,2,5,operation,0,0:00,148,2:28,0,0:00,162,1
분리수거,R,No,2,5,survey,0,0:00,0,,0,0:00,162,1
토마토,T,No,2,3,operation,0,0:00,226,3:46,0,0:00,162,7
토마토,T,No,2,3,survey,0,0:00,0,,0,0:00,162,7
토마토,T,KnowNo,5,3,operation,0,0:00,226,3:46,0,0:00,162,13
토마토,T,KnowNo,5,3,survey,0,0:00,0,,0,0:00,162,13
분리수거,R,No,2,3,operation,147,2:27,146,2:26,1,0:01,172,1
분리수거,R,No,2,3,survey,141,2:21,0,,141,2:21,172,1
토마토,T,ALL,1,1,operation,238,3:58,187,3:07,51,0:51,172,7
토마토,T,ALL,1,1,survey,148,2:28,0,,148,2:28,172,7
분리수거,R,ALL,1,4,operation,175,2:55,147,2:27,28,0:28,180,1
분리수거,R,ALL,1,4,survey,101,1:41,0,,101,1:41,180,1
토마토,T,Ours2,4,4,operation,243,4:03,219,3:39,24,0:24,180,7
토마토,T,Ours2,4,4,survey,75,1:15,0,,75,1:15,180,7
분리수거,R,Ours2,4,2,operation,147,2:27,141,2:21,6,0:06,188,1
분리수거,R,Ours2,4,2,survey,95,1:35,0,,95,1:35,188,1
토마토,T,KnowNo,5,5,operation,237,3:57,177,2:57,60,1:00,188,7
토마토,T,KnowNo,5,5,survey,68,1:08,0,,68,1:08,188,7
분리수거,R,Ours1,3,5,operation,157,2:37,148,2:28,9,0:09,196,1
분리수거,R,Ours1,3,5,survey,74,1:14,0,,74,1:14,196,1
토마토,T,Ours1,3,2,operation,205,3:25,190,3:10,15,0:15,196,7
토마토,T,Ours1,3,2,survey,64,1:04,0,,64,1:04,196,7
분리수거,R,KnowNo,5,1,operation,159,2:39,142,2:22,17,0:17,204,1
