run,logs/tomato/scene_01_step50/thres_0-7,logs/tomato/scene_02_step50/thres_0-7,logs/tomato/scene_03_step50/thres_0-7,logs/tomato/scene_04_step50/thres_0-7,logs/tomato/scene_05_step50/thres_0-7
1,22,24,15,19,15
2,16,19,7,20,4
3,16,21,13,34,14
4,17,14,18,18,16
5,19,20,20,17,33
6,13,50,21,17,26
7,19,17,39,23,24
8,19,14,16,21,16
9,16,25,16,14,17
10,16,15,15,14,20
11,13,19,20,19,26
12,17,16,18,24,19
13,17,17,17,20,17
14,22,18,14,17,16
15,18,20,14,13,26
16,30,16,19,18,15
17,21,15,22,15,26
18,16,22,26,22,30
19,18,15,14,14,16
20,20,18,15,22,20
21,15,19,50,17,27
22,31,14,24,14,18
23,13,22,26,13,15
24,18,15,21,28,14
25,33,6,20,21,14
26,27,14,13,16,12
27,17,40,23,17,14
28,27,21,18,16,24
29,36,20,17,34,22
30,13,14,20,16,27
31,21,26,50,17,24
32,23,30,23,20,17
33,20,26,13,15,16
34,17,28,4,14,29
35,13,16,16,22,16
36,16,22,21,15,16
37,29,20,18,14,17
38,25,16,15,21,20
39,16,20,26,45,13
40,23,23,18,17,22
95% confidence interval,18.1471~21.7529,17.8645~22.4855,17.0782~22.6718,17.3321~21.3179,17.4877~21.1623
average step,19.9500,20.1750,19.8750,19.3250,19.3250
