run,logs/tomato/scene_01_step50/thres_0-7,logs/tomato/scene_02_step50/thres_0-7,logs/tomato/scene_03_step50/thres_0-7,logs/tomato/scene_04_step50/thres_0-7,logs/tomato/scene_05_step50/thres_0-7
1,13,48,20,21,12
2,13,31,7,24,7
3,12,28,12,40,16
4,14,15,16,14,26
5,11,29,13,19,34
6,12,49,26,18,20
7,20,13,44,25,44
8,20,12,17,22,15
9,13,23,14,12,28
10,17,20,21,15,20
11,11,20,18,11,17
12,11,12,13,28,12
13,12,17,16,15,21
14,28,23,16,24,11
15,29,18,17,11,29
16,58,17,35,12,11
17,33,11,33,19,25
18,18,25,28,24,21
19,16,15,19,13,17
20,14,24,12,28,16
21,11,12,79,15,24
22,42,13,34,12,23
23,11,36,31,12,13
24,17,19,18,49,18
25,33,7,18,17,12
26,36,12,12,15,9
27,15,63,30,27,11
28,31,25,18,12,34
29,34,16,11,51,37
30,11,15,15,11,28
31,41,36,114,27,43
32,22,40,29,25,20
33,18,37,11,15,13
34,11,24,8,13,44
35,12,17,13,20,13
36,16,16,17,16,14
37,39,19,22,13,24
38,25,15,12,32,31
39,15,23,41,63,12
40,37,47,21,20,13
95% confidence interval,17.7262~24.8738,19.6921~27.4079,17.7394~29.8106,17.8751~25.1249,17.8669~24.0331
average question,21.3000,23.5500,23.7750,21.5000,20.9500
