run,logs/tomato/scene_01_step50/thres_0-7,logs/tomato/scene_02_step50/thres_0-7,logs/tomato/scene_03_step50/thres_0-7,logs/tomato/scene_04_step50/thres_0-7,logs/tomato/scene_05_step50/thres_0-7
1,19.0286,22.9687,13.6612,16.9043,12.9038
2,14.5482,17.7672,5.2633,18.7092,3.336
3,14.1656,19.4781,11.3265,30.3329,12.3174
4,14.5489,12.9448,16.179,16.2042,14.8743
5,16.7791,18.4714,18.4256,15.587,31.3077
6,11.9623,46.5736,18.0872,14.707,22.8338
7,16.7163,15.5092,34.5756,20.7207,22.2854
8,16.53,12.3129,14.5555,19.0835,14.1163
9,14.702,21.8608,13.7738,12.7248,15.0842
10,14.1648,13.5209,13.3732,12.7942,17.7721
11,11.9014,16.8048,18.3332,17.2679,23.044
12,14.9846,13.8337,15.588,21.6075,16.4796
13,14.7156,15.2707,15.7341,17.2178,15.0644
14,19.9031,15.2907,11.7891,15.7311,14.4659
15,16.319,17.854,12.2231,11.3909,22.8599
16,27.9893,14.3489,17.5658,15.9587,12.7718
17,18.4515,12.903,20.3628,14.3284,24.0781
18,14.4161,19.2561,23.7199,19.4334,27.1642
19,16.2533,13.869,13.2425,12.0774,13.6086
20,17.4629,15.9885,13.5729,19.4053,17.3559
21,12.8294,15.8228,44.6779,15.4312,24.922
22,28.3758,12.243,22.3106,12.1402,15.8817
23,11.4662,19.9908,23.0898,12.1772,13.2767
24,16.1974,13.9678,18.32,25.7328,12.55
25,30.2949,4.4753,17.9369,17.837,11.9841
26,24.4094,12.7495,12.069,14.4221,10.567
27,15.3966,37.6988,20.27,15.3062,12.8394
28,24.2538,19.1056,15.9698,13.2771,22.3574
29,31.6475,17.7936,15.3083,30.7653,20.9169
30,11.8567,13.4274,17.7005,14.3132,24.436
31,19.4414,24.3886,47.8756,15.0147,22.8785
32,20.4996,27.1042,20.652,18.9433,14.8266
33,17.2611,23.9432,11.6442,13.1791,14.3537
34,14.3123,25.6295,3.3812,12.453,28.1777
35,11.527,14.2661,14.6413,19.6563,14.4287
36,14.3181,19.4633,18.7624,13.3644,14.0333
37,27.4134,17.7997,16.0222,12.3093,15.3571
38,22.2409,14.2136,13.2728,19.4923,18.0994
39,14.7379,18.3001,24.6825,43.0222,11.8254
40,21.5657,21.5942,16.1204,15.0265,20.0642
95% confidence interval,16.2168~19.5626,16.0648~20.4754,15.2914~20.5116,15.5091~19.2933,15.6667~19.2083
average elapsed time,17.8897,18.2701,17.9015,17.4012,17.4375
