run,logs/wastesorting/scene_01_step50/thres_0-5,logs/wastesorting/scene_02_step50/thres_0-5,logs/wastesorting/scene_03_step50/thres_0-5,logs/wastesorting/scene_04_step50/thres_0-5,logs/wastesorting/scene_05_step50/thres_0-5
1,50,50,12,10,4
2,50,9,9,9,13
3,50,16,50,50,13
4,12,50,15,12,12
5,10,50,9,9,50
6,50,9,9,3,50
7,50,15,17,11,50
8,50,50,9,11,9
9,50,11,9,9,11
10,50,10,5,11,50
11,9,11,50,50,9
12,18,11,9,10,50
13,50,11,11,50,50
14,20,50,11,50,3
15,50,50,9,50,10
16,14,9,50,50,50
17,50,9,11,50,50
18,10,50,12,9,50
19,13,9,10,11,10
20,9,50,9,10,11
21,50,13,50,50,50
22,12,12,12,10,7
23,9,12,11,50,50
24,50,5,8,11,50
25,5,11,50,50,50
26,10,10,11,50,10
27,9,10,12,10,11
28,11,50,50,50,16
29,50,11,9,12,10
30,13,9,50,12,50
31,10,50,50,3,50
32,10,50,50,9,50
33,9,13,10,50,11
34,50,5,14,11,10
35,9,11,12,9,11
36,9,50,19,50,50
37,50,13,13,9,16
38,50,5,3,50,50
39,3,50,9,50,9
40,12,17,13,12,6
95% confidence interval,21.2455~33.5545,17.5905~29.2595,14.3326~24.7674,19.6052~32.0448,21.7769~34.3231
average step,27.4000,23.4250,19.5500,25.8250,28.0500
