run,logs/tomato/scene_01_step50/thres_0-8,logs/tomato/scene_02_step50/thres_0-8,logs/tomato/scene_03_step50/thres_0-8,logs/tomato/scene_04_step50/thres_0-8,logs/tomato/scene_05_step50/thres_0-8
1,23.4301,28.147,15.8179,13.1067,14.3033
2,13.8852,12.6501,21.2487,15.0012,13.9839
3,21.3444,11.5681,13.492,18.7776,18.0898
4,17.5736,19.3833,16.4138,15.262,23.5682
5,47.3485,16.781,15.4996,27.5454,13.9215
6,11.6201,14.3918,27.5929,15.9984,27.7455
7,15.5085,17.789,17.0093,3.2746,11.243
8,15.9393,24.3315,13.5267,17.0267,17.6763
9,15.5849,33.5499,31.0782,17.4702,18.9524
10,35.7898,23.9086,17.2737,20.136,12.2687
11,47.694,16.7754,27.6345,15.0603,16.116
12,12.4942,20.3851,43.6139,18.2072,27.693
13,16.658,13.2134,18.1213,14.0806,14.7232
14,11.9613,13.1988,17.6435,22.0568,15.9799
15,15.0389,16.6991,13.3204,14.5057,25.8364
16,17.9317,26.9242,13.0291,14.8437,13.1418
17,13.9313,14.9582,17.1264,23.3024,19.7651
18,23.7205,24.9245,15.0883,22.6822,15.387
19,18.699,29.1565,15.6546,16.7918,16.4429
20,11.3085,19.6878,12.6244,16.2321,15.4491
21,22.5034,11.3838,19.8784,21.0403,14.6377
22,20.8466,21.0626,20.4667,14.484,17.938
23,20.6033,12.4875,13.4694,16.7809,14.2333
24,15.6698,29.8342,11.7653,17.3568,18.6461
25,16.3862,12.6486,17.5831,44.754,21.2526
26,16.6408,32.1799,13.1116,15.071,11.4884
27,13.9448,12.9925,21.7968,17.0292,16.2715
28,23.4466,24.9349,15.5625,24.111,13.3737
29,23.6115,13.0501,23.6616,11.9733,16.4303
30,16.7874,16.7684,14.1168,19.2385,13.8182
31,13.4185,18.7239,18.7989,16.0432,18.1208
32,14.7816,18.9072,12.4726,14.7423,12.7732
33,36.4343,12.5517,13.9574,24.2829,13.1341
34,17.2168,12.5807,25.1794,21.2845,13.1803
35,14.5849,14.59,15.9936,20.5377,12.6894
36,15.1775,22.718,14.3288,15.7656,15.4345
37,28.1,33.2293,13.0171,15.1734,14.8562
38,18.6683,17.9819,13.3429,32.1054,26.3554
39,19.0097,13.3508,21.6168,12.2764,17.4495
40,11.9342,22.5721,13.6332,12.3375,13.1026
95% confidence interval,17.0134~22.3480,17.2925~21.3560,15.9769~19.8512,16.1801~20.2073,15.3411~18.0326
average elapsed time,19.6807,19.3243,17.9141,18.1937,16.6868
