run,logs/tomato/scene_01_step50/thres_0-8,logs/tomato/scene_02_step50/thres_0-8,logs/tomato/scene_03_step50/thres_0-8,logs/tomato/scene_04_step50/thres_0-8,logs/tomato/scene_05_step50/thres_0-8
1,35,49,17,15,14
2,16,14,38,17,15
3,41,12,14,16,20
4,17,25,15,12,24
5,81,20,16,60,20
6,12,16,64,25,28
7,16,15,14,6,13
8,23,29,12,24,15
9,28,59,57,16,28
10,59,53,15,35,15
11,94,20,31,21,17
12,14,28,107,35,48
13,12,13,23,20,16
14,12,12,37,37,17
15,24,16,14,21,49
16,21,38,15,16,16
17,16,15,24,28,24
18,36,36,21,35,14
19,17,43,24,15,20
20,13,28,12,16,15
21,27,12,32,31,15
22,35,23,17,21,21
23,27,16,12,27,19
24,15,50,11,28,18
25,31,16,13,44,34
26,19,48,12,16,11
27,15,12,43,22,18
28,19,43,13,23,19
29,31,12,24,11,22
30,21,26,14,24,13
31,12,20,23,18,24
32,15,28,13,20,12
33,75,11,20,32,17
34,20,14,41,22,16
35,24,23,18,32,16
36,18,28,18,12,18
37,20,48,11,23,17
38,34,19,15,63,43
39,28,13,30,12,16
40,13,39,16,12,12
95% confidence interval,21.2597~33.0403,21.7364~30.3636,18.4774~29.8226,20.3374~27.8126,17.4341~23.0159
average question,27.1500,26.0500,24.1500,24.0750,20.2250
