global_index,baseline,domain,scene,iteration,seed,max_steps,n_simulations,max_depth,query_cost,answer_accuracy,prompt_version,qhat,temperature,expert,status,log_path
1,query_action_pomcp,tomato,01,1,2030859206,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_01_step50/query_as_action
2,query_action_pomcp,tomato,01,2,2222960263,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_01_step50/query_as_action
3,query_action_pomcp,tomato,01,3,1273020582,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_01_step50/query_as_action
4,query_action_pomcp,tomato,01,4,866496583,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_01_step50/query_as_action
5,query_action_pomcp,tomato,01,5,2698243041,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_01_step50/query_as_action
6,query_action_pomcp,tomato,01,6,1911303750,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_01_step50/query_as_action
7,query_action_pomcp,tomato,01,7,796400590,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_01_step50/query_as_action
8,query_action_pomcp,tomato,01,8,1201029111,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_01_step50/query_as_action
9,query_action_pomcp,tomato,01,9,3389846695,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_01_step50/query_as_action
10,query_action_pomcp,tomato,01,10,2508123787,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_01_step50/query_as_action
11,query_action_pomcp,tomato,01,11,2741500852,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_01_step50/query_as_action
12,query_action_pomcp,tomato,01,12,4065849833,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_01_step50/query_as_action
13,query_action_pomcp,tomato,01,13,821007751,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_01_step50/query_as_action
14,query_action_pomcp,tomato,01,14,965164034,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_01_step50/query_as_action
15,query_action_pomcp,tomato,01,15,3049697230,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_01_step50/query_as_action
16,query_action_pomcp,tomato,01,16,597016452,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_01_step50/query_as_action
17,query_action_pomcp,tomato,01,17,2027029533,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_01_step50/query_as_action
18,query_action_pomcp,tomato,01,18,3736902642,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_01_step50/query_as_action
19,query_action_pomcp,tomato,01,19,323427982,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_01_step50/query_as_action
20,query_action_pomcp,tomato,01,20,311025495,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_01_step50/query_as_action
21,query_action_pomcp,tomato,01,21,871806833,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_01_step50/query_as_action
22,query_action_pomcp,tomato,01,22,217537032,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_01_step50/query_as_action
23,query_action_pomcp,tomato,01,23,532817344,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_01_step50/query_as_action
24,query_action_pomcp,tomato,01,24,3466707993,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_01_step50/query_as_action
25,query_action_pomcp,tomato,01,25,1649478604,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_01_step50/query_as_action
26,query_action_pomcp,tomato,01,26,2204152357,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_01_step50/query_as_action
27,query_action_pomcp,tomato,01,27,1233339309,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_01_step50/query_as_action
28,query_action_pomcp,tomato,01,28,3357973338,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_01_step50/query_as_action
29,query_action_pomcp,tomato,01,29,3649707942,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_01_step50/query_as_action
30,query_action_pomcp,tomato,01,30,3325784884,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_01_step50/query_as_action
31,query_action_pomcp,tomato,01,31,3877458541,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_01_step50/query_as_action
32,query_action_pomcp,tomato,01,32,3638621671,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_01_step50/query_as_action
33,query_action_pomcp,tomato,01,33,1084618528,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_01_step50/query_as_action
34,query_action_pomcp,tomato,01,34,405999239,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_01_step50/query_as_action
35,query_action_pomcp,tomato,01,35,4028845444,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_01_step50/query_as_action
36,query_action_pomcp,tomato,01,36,2607182153,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_01_step50/query_as_action
37,query_action_pomcp,tomato,01,37,338448945,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_01_step50/query_as_action
38,query_action_pomcp,tomato,01,38,3008854274,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_01_step50/query_as_action
39,query_action_pomcp,tomato,01,39,3373062200,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_01_step50/query_as_action
40,query_action_pomcp,tomato,01,40,1025671343,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_01_step50/query_as_action
41,query_action_pomcp,tomato,02,1,233361013,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_02_step50/query_as_action
42,query_action_pomcp,tomato,02,2,3206958523,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_02_step50/query_as_action
43,query_action_pomcp,tomato,02,3,2306136433,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_02_step50/query_as_action
44,query_action_pomcp,tomato,02,4,1150817657,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_02_step50/query_as_action
45,query_action_pomcp,tomato,02,5,418694264,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_02_step50/query_as_action
46,query_action_pomcp,tomato,02,6,2833878170,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_02_step50/query_as_action
47,query_action_pomcp,tomato,02,7,2876796507,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_02_step50/query_as_action
48,query_action_pomcp,tomato,02,8,2661673954,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_02_step50/query_as_action
49,query_action_pomcp,tomato,02,9,3533124505,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_02_step50/query_as_action
50,query_action_pomcp,tomato,02,10,3751400244,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_02_step50/query_as_action
51,query_action_pomcp,tomato,02,11,4031054018,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_02_step50/query_as_action
52,query_action_pomcp,tomato,02,12,1337352578,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_02_step50/query_as_action
53,query_action_pomcp,tomato,02,13,2571575672,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_02_step50/query_as_action
54,query_action_pomcp,tomato,02,14,1903174235,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_02_step50/query_as_action
55,query_action_pomcp,tomato,02,15,1422635806,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_02_step50/query_as_action
56,query_action_pomcp,tomato,02,16,559761095,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_02_step50/query_as_action
57,query_action_pomcp,tomato,02,17,2324409209,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_02_step50/query_as_action
58,query_action_pomcp,tomato,02,18,474952343,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_02_step50/query_as_action
59,query_action_pomcp,tomato,02,19,1408900490,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_02_step50/query_as_action
60,query_action_pomcp,tomato,02,20,1969507524,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_02_step50/query_as_action
61,query_action_pomcp,tomato,02,21,850676597,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_02_step50/query_as_action
62,query_action_pomcp,tomato,02,22,464102713,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_02_step50/query_as_action
63,query_action_pomcp,tomato,02,23,2639844527,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,complete,experiments_logs/system_log/tomato/scene_02_step50/query_as_action
