global_index,baseline,domain,scene,iteration,seed,max_steps,n_simulations,max_depth,query_cost,answer_accuracy,prompt_version,qhat,temperature,expert,status,log_path
1,query_action_pomcp,tomato,01,1,2030859206,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,failed,experiments_logs/system_log/tomato/scene_01_step50/query_as_action
2,query_action_pomcp,tomato,02,1,233361013,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,failed,experiments_logs/system_log/tomato/scene_02_step50/query_as_action
3,query_action_pomcp,tomato,03,1,2973460405,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,failed,experiments_logs/system_log/tomato/scene_03_step50/query_as_action
4,query_action_pomcp,tomato,04,1,1589093347,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,failed,experiments_logs/system_log/tomato/scene_04_step50/query_as_action
5,query_action_pomcp,tomato,05,1,3945754139,50,100,20,1.0,1.0,v2,0.8404,5.0,exact_oracle,failed,experiments_logs/system_log/tomato/scene_05_step50/query_as_action
6,query_action_pomcp,wastesorting,01,1,4064545001,50,100,20,1.0,1.0,v2,0.8704,5.0,exact_oracle,failed,experiments_logs/system_log/wastesorting/scene_01_step50/query_as_action
7,query_action_pomcp,wastesorting,02,1,2156641990,50,100,20,1.0,1.0,v2,0.8704,5.0,exact_oracle,failed,experiments_logs/system_log/wastesorting/scene_02_step50/query_as_action
8,query_action_pomcp,wastesorting,03,1,935228514,50,100,20,1.0,1.0,v2,0.8704,5.0,exact_oracle,failed,experiments_logs/system_log/wastesorting/scene_03_step50/query_as_action
9,query_action_pomcp,wastesorting,04,1,3291161639,50,100,20,1.0,1.0,v2,0.8704,5.0,exact_oracle,failed,experiments_logs/system_log/wastesorting/scene_04_step50/query_as_action
10,query_action_pomcp,wastesorting,05,1,630828154,50,100,20,1.0,1.0,v2,0.8704,5.0,exact_oracle,failed,experiments_logs/system_log/wastesorting/scene_05_step50/query_as_action
