domain,reference,comparison,n_pairs,reference_unmatched,comparison_unmatched,reference_only_success,comparison_only_success,success_delta_pp,exact_mcnemar_p,p_holm,difference_direction,questions_paired_n,questions_delta_mean,questions_delta_ci95_normal_low,questions_delta_ci95_normal_high,steps_paired_n,steps_delta_mean,steps_delta_ci95_normal_low,steps_delta_ci95_normal_high,seconds_paired_n,seconds_delta_mean,seconds_delta_ci95_normal_low,seconds_delta_ci95_normal_high,reward_paired_n,reward_delta_mean,reward_delta_ci95_normal_low,reward_delta_ci95_normal_high
all,ours,ours_when_only,400,0,0,0,1,-0.25,1.0,1.0,reference minus comparison,400,-9.0125,-9.672047412487135,-8.352952587512863,400,-0.0525,-0.22979079715611134,0.12479079715611135,400,-0.019132749999999997,-0.0841412496874826,0.0458757496874826,400,-0.1375,-0.6594221157773714,0.38442211577737145
all,ours,ours_what_only,400,0,0,114,0,28.5,9.62964972193618e-35,1.925929944387236e-34,reference minus comparison,400,4.9725,4.357721346044926,5.5872786539550745,400,0.48,-0.11149586710580561,1.0714958671058055,400,0.10282600000000003,-0.10400923853187716,0.3096612385318772,400,2.8,1.3573887687201924,4.242611231279807
all,ours,random,400,0,0,118,0,29.5,6.018531076210112e-36,1.8055593228630336e-35,reference minus comparison,400,1.2425,0.378597230775799,2.106402769224201,400,0.5175,-0.11642265431332521,1.151422654313325,400,0.10336000000000001,-0.12401858503843421,0.33073858503843423,400,2.875,1.3345190214153815,4.415480978584618
tomato,ours,ours_when_only,200,0,0,0,1,-0.5,1.0,1.0,reference minus comparison,200,-4.515,-5.023592914923996,-4.006407085076003,200,-0.11,-0.4611564154964016,0.2411564154964016,200,-0.0234605,-0.15309230671921478,0.10617130671921479,200,-0.25,-1.2512950596509567,0.7512950596509567
tomato,ours,ours_what_only,200,0,0,66,0,33.0,2.710505431213761e-20,5.421010862427522e-20,reference minus comparison,200,5.12,4.177003851581302,6.062996148418698,200,0.49,-0.5747586661082797,1.5547586661082797,200,0.16870500000000005,-0.24193084392958547,0.5793408439295855,200,4.225,1.5559968921104539,6.894003107889546
tomato,ours,random,200,0,0,70,0,35.0,1.6940658945086007e-21,5.082197683525802e-21,reference minus comparison,200,3.04,1.9557623249903426,4.124237675009658,200,0.57,-0.5846513702933064,1.7246513702933064,200,0.1788765,-0.2729678407692183,0.6307208407692183,200,4.475,1.5960974105810535,7.353902589418945
wastesorting,ours,ours_when_only,200,0,0,0,0,0.0,1.0,1.0,reference minus comparison,200,-13.51,-14.349511934656354,-12.670488065343646,200,0.005,-0.04604441382295021,0.0560444138229502,200,-0.014804999999999999,-0.026711516372714447,-0.002898483627285552,200,-0.025,-0.3237776280528067,0.27377762805280664
wastesorting,ours,ours_what_only,200,0,0,48,0,24.0,7.105427357601002e-15,2.1316282072803006e-14,reference minus comparison,200,4.825,4.034096718385558,5.615903281614442,200,0.47,-0.048913114384405154,0.9889131143844051,200,0.036947,-0.015625487848139843,0.08951948784813984,200,1.375,0.30567810823808794,2.444321891761912
wastesorting,ours,random,200,0,0,48,0,24.0,7.105427357601002e-15,2.1316282072803006e-14,reference minus comparison,200,-0.555,-1.8559611618533798,0.7459611618533798,200,0.465,-0.06239387614830022,0.9923938761483002,200,0.0278435,-0.026380243676524535,0.08206724367652454,200,1.275,0.21233306933836205,2.337666930661638
