global_index,domain,threshold,scene,seed_mode
1,tomato,0.9,1,random
2,tomato,0.9,1,random
3,tomato,0.9,1,random
4,tomato,0.9,1,random
5,tomato,0.9,1,random
6,tomato,0.9,1,random
7,tomato,0.9,1,random
8,tomato,0.9,1,random
9,tomato,0.9,1,random
10,tomato,0.9,1,random
11,tomato,0.9,1,random
12,tomato,0.9,1,random
13,tomato,0.9,1,random
14,tomato,0.9,1,random
15,tomato,0.9,1,random
16,tomato,0.9,1,random
17,tomato,0.9,1,random
18,tomato,0.9,1,random
19,tomato,0.9,1,random
20,tomato,0.9,1,random
21,tomato,0.9,1,random
22,tomato,0.9,1,random
23,tomato,0.9,1,random
24,tomato,0.9,1,random
25,tomato,0.9,1,random
26,tomato,0.9,1,random
27,tomato,0.9,1,random
28,tomato,0.9,1,random
29,tomato,0.9,1,random
30,tomato,0.9,1,random
31,tomato,0.9,1,random
32,tomato,0.9,1,random
33,tomato,0.9,1,random
34,tomato,0.9,1,random
35,tomato,0.9,1,random
36,tomato,0.9,1,random
37,tomato,0.9,1,random
38,tomato,0.9,1,random
39,tomato,0.9,1,random
40,tomato,0.9,1,random
41,tomato,0.9,2,random
42,tomato,0.9,2,random
43,tomato,0.9,2,random
44,tomato,0.9,2,random
45,tomato,0.9,2,random
46,tomato,0.9,2,random
47,tomato,0.9,2,random
48,tomato,0.9,2,random
49,tomato,0.9,2,random
50,tomato,0.9,2,random
51,tomato,0.9,2,random
52,tomato,0.9,2,random
53,tomato,0.9,2,random
54,tomato,0.9,2,random
55,tomato,0.9,2,random
56,tomato,0.9,2,random
57,tomato,0.9,2,random
58,tomato,0.9,2,random
59,tomato,0.9,2,random
60,tomato,0.9,2,random
61,tomato,0.9,2,random
62,tomato,0.9,2,random
63,tomato,0.9,2,random
64,tomato,0.9,2,random
65,tomato,0.9,2,random
66,tomato,0.9,2,random
67,tomato,0.9,2,random
68,tomato,0.9,2,random
69,tomato,0.9,2,random
70,tomato,0.9,2,random
71,tomato,0.9,2,random
72,tomato,0.9,2,random
73,tomato,0.9,2,random
74,tomato,0.9,2,random
75,tomato,0.9,2,random
76,tomato,0.9,2,random
77,tomato,0.9,2,random
78,tomato,0.9,2,random
79,tomato,0.9,2,random
80,tomato,0.9,2,random
81,tomato,0.9,3,random
82,tomato,0.9,3,random
83,tomato,0.9,3,random
84,tomato,0.9,3,random
85,tomato,0.9,3,random
86,tomato,0.9,3,random
87,tomato,0.9,3,random
88,tomato,0.9,3,random
89,tomato,0.9,3,random
90,tomato,0.9,3,random
91,tomato,0.9,3,random
92,tomato,0.9,3,random
93,tomato,0.9,3,random
94,tomato,0.9,3,random
95,tomato,0.9,3,random
96,tomato,0.9,3,random
97,tomato,0.9,3,random
98,tomato,0.9,3,random
99,tomato,0.9,3,random
100,tomato,0.9,3,random
101,tomato,0.9,3,random
102,tomato,0.9,3,random
103,tomato,0.9,3,random
104,tomato,0.9,3,random
105,tomato,0.9,3,random
106,tomato,0.9,3,random
107,tomato,0.9,3,random
108,tomato,0.9,3,random
109,tomato,0.9,3,random
110,tomato,0.9,3,random
111,tomato,0.9,3,random
112,tomato,0.9,3,random
113,tomato,0.9,3,random
114,tomato,0.9,3,random
115,tomato,0.9,3,random
116,tomato,0.9,3,random
117,tomato,0.9,3,random
118,tomato,0.9,3,random
119,tomato,0.9,3,random
120,tomato,0.9,3,random
121,tomato,0.9,4,random
122,tomato,0.9,4,random
123,tomato,0.9,4,random
124,tomato,0.9,4,random
125,tomato,0.9,4,random
126,tomato,0.9,4,random
127,tomato,0.9,4,random
128,tomato,0.9,4,random
129,tomato,0.9,4,random
130,tomato,0.9,4,random
131,tomato,0.9,4,random
132,tomato,0.9,4,random
133,tomato,0.9,4,random
134,tomato,0.9,4,random
135,tomato,0.9,4,random
136,tomato,0.9,4,random
137,tomato,0.9,4,random
138,tomato,0.9,4,random
139,tomato,0.9,4,random
140,tomato,0.9,4,random
141,tomato,0.9,4,random
142,tomato,0.9,4,random
143,tomato,0.9,4,random
144,tomato,0.9,4,random
145,tomato,0.9,4,random
146,tomato,0.9,4,random
147,tomato,0.9,4,random
148,tomato,0.9,4,random
149,tomato,0.9,4,random
150,tomato,0.9,4,random
151,tomato,0.9,4,random
152,tomato,0.9,4,random
153,tomato,0.9,4,random
154,tomato,0.9,4,random
155,tomato,0.9,4,random
156,tomato,0.9,4,random
157,tomato,0.9,4,random
158,tomato,0.9,4,random
159,tomato,0.9,4,random
160,tomato,0.9,4,random
161,tomato,0.9,5,random
162,tomato,0.9,5,random
163,tomato,0.9,5,random
164,tomato,0.9,5,random
165,tomato,0.9,5,random
166,tomato,0.9,5,random
167,tomato,0.9,5,random
168,tomato,0.9,5,random
169,tomato,0.9,5,random
170,tomato,0.9,5,random
171,tomato,0.9,5,random
172,tomato,0.9,5,random
173,tomato,0.9,5,random
174,tomato,0.9,5,random
175,tomato,0.9,5,random
176,tomato,0.9,5,random
177,tomato,0.9,5,random
178,tomato,0.9,5,random
179,tomato,0.9,5,random
180,tomato,0.9,5,random
181,tomato,0.9,5,random
182,tomato,0.9,5,random
183,tomato,0.9,5,random
184,tomato,0.9,5,random
185,tomato,0.9,5,random
186,tomato,0.9,5,random
187,tomato,0.9,5,random
188,tomato,0.9,5,random
189,tomato,0.9,5,random
190,tomato,0.9,5,random
191,tomato,0.9,5,random
192,tomato,0.9,5,random
193,tomato,0.9,5,random
194,tomato,0.9,5,random
195,tomato,0.9,5,random
196,tomato,0.9,5,random
197,tomato,0.9,5,random
198,tomato,0.9,5,random
199,tomato,0.9,5,random
200,tomato,0.9,5,random
201,tomato,1.0,1,random
202,tomato,1.0,1,random
203,tomato,1.0,1,random
204,tomato,1.0,1,random
205,tomato,1.0,1,random
206,tomato,1.0,1,random
207,tomato,1.0,1,random
208,tomato,1.0,1,random
209,tomato,1.0,1,random
210,tomato,1.0,1,random
211,tomato,1.0,1,random
212,tomato,1.0,1,random
213,tomato,1.0,1,random
214,tomato,1.0,1,random
215,tomato,1.0,1,random
216,tomato,1.0,1,random
217,tomato,1.0,1,random
218,tomato,1.0,1,random
219,tomato,1.0,1,random
220,tomato,1.0,1,random
221,tomato,1.0,1,random
222,tomato,1.0,1,random
223,tomato,1.0,1,random
224,tomato,1.0,1,random
225,tomato,1.0,1,random
226,tomato,1.0,1,random
227,tomato,1.0,1,random
228,tomato,1.0,1,random
229,tomato,1.0,1,random
230,tomato,1.0,1,random
231,tomato,1.0,1,random
232,tomato,1.0,1,random
233,tomato,1.0,1,random
234,tomato,1.0,1,random
235,tomato,1.0,1,random
236,tomato,1.0,1,random
237,tomato,1.0,1,random
238,tomato,1.0,1,random
239,tomato,1.0,1,random
240,tomato,1.0,1,random
241,tomato,1.0,2,random
242,tomato,1.0,2,random
243,tomato,1.0,2,random
244,tomato,1.0,2,random
245,tomato,1.0,2,random
246,tomato,1.0,2,random
247,tomato,1.0,2,random
248,tomato,1.0,2,random
249,tomato,1.0,2,random
250,tomato,1.0,2,random
251,tomato,1.0,2,random
252,tomato,1.0,2,random
253,tomato,1.0,2,random
254,tomato,1.0,2,random
255,tomato,1.0,2,random
256,tomato,1.0,2,random
257,tomato,1.0,2,random
258,tomato,1.0,2,random
259,tomato,1.0,2,random
260,tomato,1.0,2,random
261,tomato,1.0,2,random
262,tomato,1.0,2,random
263,tomato,1.0,2,random
264,tomato,1.0,2,random
265,tomato,1.0,2,random
266,tomato,1.0,2,random
267,tomato,1.0,2,random
268,tomato,1.0,2,random
269,tomato,1.0,2,random
270,tomato,1.0,2,random
271,tomato,1.0,2,random
272,tomato,1.0,2,random
273,tomato,1.0,2,random
274,tomato,1.0,2,random
275,tomato,1.0,2,random
276,tomato,1.0,2,random
277,tomato,1.0,2,random
278,tomato,1.0,2,random
279,tomato,1.0,2,random
280,tomato,1.0,2,random
281,tomato,1.0,3,random
282,tomato,1.0,3,random
283,tomato,1.0,3,random
284,tomato,1.0,3,random
285,tomato,1.0,3,random
286,tomato,1.0,3,random
287,tomato,1.0,3,random
288,tomato,1.0,3,random
289,tomato,1.0,3,random
290,tomato,1.0,3,random
291,tomato,1.0,3,random
292,tomato,1.0,3,random
293,tomato,1.0,3,random
294,tomato,1.0,3,random
295,tomato,1.0,3,random
296,tomato,1.0,3,random
297,tomato,1.0,3,random
298,tomato,1.0,3,random
299,tomato,1.0,3,random
300,tomato,1.0,3,random
301,tomato,1.0,3,random
302,tomato,1.0,3,random
303,tomato,1.0,3,random
304,tomato,1.0,3,random
305,tomato,1.0,3,random
306,tomato,1.0,3,random
307,tomato,1.0,3,random
308,tomato,1.0,3,random
309,tomato,1.0,3,random
310,tomato,1.0,3,random
311,tomato,1.0,3,random
312,tomato,1.0,3,random
313,tomato,1.0,3,random
314,tomato,1.0,3,random
315,tomato,1.0,3,random
316,tomato,1.0,3,random
317,tomato,1.0,3,random
318,tomato,1.0,3,random
319,tomato,1.0,3,random
320,tomato,1.0,3,random
321,tomato,1.0,4,random
322,tomato,1.0,4,random
323,tomato,1.0,4,random
324,tomato,1.0,4,random
325,tomato,1.0,4,random
326,tomato,1.0,4,random
327,tomato,1.0,4,random
328,tomato,1.0,4,random
329,tomato,1.0,4,random
330,tomato,1.0,4,random
331,tomato,1.0,4,random
332,tomato,1.0,4,random
333,tomato,1.0,4,random
334,tomato,1.0,4,random
335,tomato,1.0,4,random
336,tomato,1.0,4,random
337,tomato,1.0,4,random
338,tomato,1.0,4,random
339,tomato,1.0,4,random
340,tomato,1.0,4,random
341,tomato,1.0,4,random
342,tomato,1.0,4,random
343,tomato,1.0,4,random
344,tomato,1.0,4,random
345,tomato,1.0,4,random
346,tomato,1.0,4,random
347,tomato,1.0,4,random
348,tomato,1.0,4,random
349,tomato,1.0,4,random
350,tomato,1.0,4,random
351,tomato,1.0,4,random
352,tomato,1.0,4,random
353,tomato,1.0,4,random
354,tomato,1.0,4,random
355,tomato,1.0,4,random
356,tomato,1.0,4,random
357,tomato,1.0,4,random
358,tomato,1.0,4,random
359,tomato,1.0,4,random
360,tomato,1.0,4,random
361,tomato,1.0,5,random
362,tomato,1.0,5,random
363,tomato,1.0,5,random
364,tomato,1.0,5,random
365,tomato,1.0,5,random
366,tomato,1.0,5,random
367,tomato,1.0,5,random
368,tomato,1.0,5,random
369,tomato,1.0,5,random
370,tomato,1.0,5,random
371,tomato,1.0,5,random
372,tomato,1.0,5,random
373,tomato,1.0,5,random
374,tomato,1.0,5,random
375,tomato,1.0,5,random
376,tomato,1.0,5,random
377,tomato,1.0,5,random
378,tomato,1.0,5,random
379,tomato,1.0,5,random
380,tomato,1.0,5,random
381,tomato,1.0,5,random
382,tomato,1.0,5,random
383,tomato,1.0,5,random
384,tomato,1.0,5,random
385,tomato,1.0,5,random
386,tomato,1.0,5,random
