domain,domain_code,condition,condition_code,scenario,time_type,seconds,time_hms,source_row,source_column
토마토,T,No,2,1,operation,0,0:00,110,1
토마토,T,No,2,1,survey,0,0:00,110,1
분리수거,R,KnowNo,5,4,operation,0,0:00,110,7
분리수거,R,KnowNo,5,4,survey,0,0:00,110,7
분리수거,R,Ours1,3,5,operation,0,0:00,110,13
분리수거,R,Ours1,3,5,survey,0,0:00,110,13
토마토,T,Ours1,3,4,operation,0,0:00,118,1
토마토,T,Ours1,3,4,survey,0,0:00,118,1
분리수거,R,Ours1,3,2,operation,0,0:00,118,7
분리수거,R,Ours1,3,2,survey,0,0:00,118,7
분리수거,R,No,2,2,operation,0,0:00,118,13
분리수거,R,No,2,2,survey,0,0:00,118,13
분리수거,R,KnowNo,5,4,operation,0,0:00,126,1
분리수거,R,KnowNo,5,4,survey,0,0:00,126,1
토마토,T,ALL,1,4,operation,0,0:00,126,7
토마토,T,ALL,1,4,survey,0,0:00,126,7
토마토,T,Ours1,3,4,operation,0,0:00,126,13
토마토,T,Ours1,3,4,survey,0,0:00,126,13
분리수거,R,Ours1,3,1,operation,0,0:00,138,1
분리수거,R,Ours1,3,1,survey,0,0:00,138,1
토마토,T,Ours1,3,5,operation,0,0:00,138,7
토마토,T,Ours1,3,5,survey,0,0:00,138,7
토마토,T,ALL,1,2,operation,0,0:00,138,13
토마토,T,ALL,1,2,survey,0,0:00,138,13
분리수거,R,Ours2,4,2,operation,0,0:00,146,1
분리수거,R,Ours2,4,2,survey,0,0:00,146,1
토마토,T,KnowNo,5,2,operation,0,0:00,146,7
토마토,T,KnowNo,5,2,survey,0,0:00,146,7
토마토,T,No,2,1,operation,0,0:00,146,13
토마토,T,No,2,1,survey,0,0:00,146,13
분리수거,R,ALL,1,3,operation,0,0:00,154,1
분리수거,R,ALL,1,3,survey,0,0:00,154,1
토마토,T,Ours2,4,1,operation,0,0:00,154,7
토마토,T,Ours2,4,1,survey,0,0:00,154,7
토마토,T,Ours2,4,5,operation,0,0:00,154,13
토마토,T,Ours2,4,5,survey,0,0:00,154,13
분리수거,R,No,2,5,operation,0,0:00,162,1
분리수거,R,No,2,5,survey,0,0:00,162,1
